unit,n_spk,M,mu,p_rayleigh,cell_type,M_real_same_n,M_null_median,p_shuffle
98,358,0.07513762021516564,2.924671862822213,0.13250339836695813,excitatory,0.07513762021516565,0.04526833538883134,0.14950166112956811
101,2415,0.08051680215854028,-1.9898924420317903,1.5868616931947401e-07,excitatory,0.07615850859118098,0.020624000665870397,0.0033222591362126247
103,1810,0.0348294523759675,2.676385444481571,0.11128127625329416,excitatory,0.034829452375967504,0.019418634805502228,0.09634551495016612
107,53901,0.2042245995847245,1.2258923768594907,0.0,inhibitory,0.21634102664592808,0.019882586175203512,0.0033222591362126247
109,1437,0.0320245727842366,-1.7294697124326688,0.22906515929102994,excitatory,0.0320245727842366,0.022337149887289416,0.26578073089701
110,710,0.15977193901145068,-2.3371622707831623,1.3450877763652412e-08,excitatory,0.15977193901145068,0.032206446954180144,0.0033222591362126247
111,186,0.13303791159021178,0.0931767096844995,0.03717830148967658,excitatory,0.13303791159021172,0.06282683005350878,0.0664451827242525
112,3703,0.0380089965148496,2.460645487924191,0.00474974583450806,excitatory,0.04806299612495704,0.01899515768630112,0.023255813953488372
113,4087,0.03360734478497125,0.741375820267235,0.009891524899590167,excitatory,0.046463586636111755,0.02008693214279006,0.03986710963455149
114,1237,0.12531073770591325,-2.5835525355465165,3.6653570760045337e-09,excitatory,0.12531073770591322,0.023637608781626622,0.0033222591362126247
116,2201,0.08391061737255887,-2.0095949219970968,1.8605514122588152e-07,excitatory,0.08201546013187296,0.019811962494468732,0.0033222591362126247
117,856,0.09908652447635743,-1.407196138255158,0.0002238963651203717,excitatory,0.09908652447635743,0.028098604276798334,0.0033222591362126247
118,1445,0.14057409077641778,-2.0522522544566986,3.9703443833264696e-13,excitatory,0.14057409077641778,0.022935034208594867,0.0033222591362126247
120,1755,0.10930166997180013,-2.6457501067943956,7.839070761782425e-10,excitatory,0.10930166997180013,0.02073699975290673,0.0033222591362126247
121,4316,0.11360647745892642,2.489341956454142,6.426743903562355e-25,excitatory,0.12112203361159805,0.019086212802799853,0.0033222591362126247
123,1012,0.0354538734529793,-0.27249186533014585,0.28025346068741575,excitatory,0.03545387345297929,0.02536777593205928,0.2857142857142857
125,2282,0.1855857941772217,-1.671098606920139,7.342179402689767e-35,excitatory,0.18099663489629803,0.019474593746825253,0.0033222591362126247
126,999,0.09438219392945618,-2.141812616262596,0.00013651302421363286,excitatory,0.09438219392945618,0.027359997032450137,0.0033222591362126247
