unit,cell_type,n_run,n_slow,n_fast,M_slow,M_fast
93,excitatory,1125,990,134,0.1342231902645517,0.2862231861951462
94,excitatory,803,664,139,0.1613682909090562,0.2189130781117409
95,excitatory,2715,2435,279,0.0070623728270085215,0.11102689996759446
96,excitatory,691,585,106,0.11338974739992798,0.038628257925675244
97,inhibitory,51361,37083,14207,0.14220572467978004,0.18562170999930935
98,excitatory,358,238,120,0.04844844753225887,0.12824627350178938
101,excitatory,2415,1692,723,0.048465697023283884,0.16596649492860044
103,excitatory,1810,1463,346,0.02172853172190621,0.09619398179607398
107,inhibitory,53901,41114,12721,0.19323905602791044,0.24532280389776875
109,excitatory,1437,1159,269,0.024438043333395883,0.1967772351414294
110,excitatory,710,583,124,0.1426265794317859,0.29620568336392084
111,excitatory,186,150,35,0.21905817134523883,0.2697501621323871
112,excitatory,3703,2609,1090,0.02370253246478723,0.1200245473898746
113,excitatory,4087,2688,1392,0.0762040878236485,0.08357371159973817
114,excitatory,1237,821,416,0.12634625559654794,0.13206737739749672
116,excitatory,2201,1618,582,0.08002585145066468,0.09599309342781621
117,excitatory,856,669,187,0.11548903448601176,0.07501873546294437
118,excitatory,1445,778,667,0.12947179197342998,0.17542388508322812
120,excitatory,1755,1649,106,0.11271149859658397,0.09919292590322233
121,excitatory,4316,4062,254,0.1264636193880665,0.2517247139210359
123,excitatory,1012,244,768,0.18233169885562528,0.03352301330703923
125,excitatory,2282,1594,687,0.1831166860484697,0.20464688793706104
126,excitatory,999,879,120,0.09374643862859086,0.10877463863313809
129,excitatory,2545,1900,640,0.03912953166712987,0.11393488135497461
135,inhibitory,12080,9353,2717,0.22876213312088836,0.2898407027340761
136,inhibitory,33513,24905,8573,0.37364263723554103,0.47839667600433716
137,excitatory,1854,1034,820,0.0463146653053743,0.0722224122175775
140,inhibitory,17681,12678,4972,0.17006646771555944,0.17017438619262795
143,excitatory,1406,1070,329,0.07339496917945862,0.10766413565875985
144,excitatory,225,190,35,0.19289955849547424,0.20566402646286344
145,excitatory,1508,978,530,0.1296044539368208,0.25903773139783104
146,excitatory,2381,1022,1359,0.10579534030413254,0.12201879199523026
147,excitatory,137,105,32,0.14711125928720928,0.17404469360771324
148,excitatory,2046,1498,541,0.47687061355148513,0.5784646643906052
151,excitatory,3180,2559,593,0.18281891569275946,0.26451733005499123
161,excitatory,2418,1996,421,0.0388320128174633,0.047105815530373976
163,excitatory,1392,1026,364,0.11984365405471904,0.10814246138738678
168,inhibitory,30917,23402,7481,0.37386231136969295,0.5181483290154033
169,excitatory,555,446,109,0.2713502765138519,0.24498200260085562
171,excitatory,1276,972,299,0.2496802625420655,0.2993322347266132
172,excitatory,357,304,53,0.09916551819767533,0.244107506378419
173,excitatory,2603,2077,526,0.09691881246232596,0.2672317941127157
175,excitatory,1357,929,428,0.11575177918272171,0.23116886363715272
176,excitatory,4057,2604,1443,0.07865658953210959,0.06289705318639889
177,excitatory,1063,696,367,0.22454221677755917,0.2413239770506522
178,inhibitory,22434,16983,5422,0.28954811206996006,0.34601427090526143
179,excitatory,2005,848,1157,0.040310758417392636,0.13770024813977202
180,excitatory,3674,3371,303,0.19064373244243982,0.1623114048012668
181,excitatory,3242,2741,501,0.11623697354655292,0.14740680723261487
182,excitatory,2184,1354,830,0.19147172942302804,0.101052617267718
183,excitatory,2269,1998,270,0.12344004220602355,0.04158791891196445
186,excitatory,895,707,187,0.057037591705191695,0.16468999446188792
201,excitatory,1986,1532,444,0.02746985621202786,0.10565558292789373
202,excitatory,1142,564,574,0.10897332433575273,0.1811008146331551
203,excitatory,1043,716,327,0.08544978201462433,0.10546825797529706
204,excitatory,1225,878,345,0.09692111103585949,0.1594555799376833
210,excitatory,748,685,63,0.13780379099626455,0.09997330938388306
211,excitatory,880,689,190,0.055005700695403906,0.09796060025254934
214,inhibitory,10383,9324,1055,0.015180088931112116,0.0378624244701823
215,excitatory,1198,731,467,0.08867796852375945,0.1176147072149432
216,excitatory,1368,1079,289,0.31078893816224423,0.32526693623834807
217,excitatory,1621,1213,405,0.1907558949897633,0.16024771657827805
219,excitatory,849,600,249,0.09014499122411504,0.08587084912554224
220,excitatory,426,173,253,0.04310815283275697,0.08500984710923112
221,excitatory,865,806,59,0.06508591699970283,0.21149599556302032
222,excitatory,2332,1700,631,0.06808071054762005,0.11269201901275817
225,excitatory,772,648,124,0.19803936273260261,0.3416165290882423
229,excitatory,2318,2021,297,0.02163242862083457,0.14658057042524997
236,excitatory,428,355,72,0.10863977459817098,0.3120309908805587
237,excitatory,1742,1530,212,0.04240308992057135,0.13352619345808495
238,excitatory,1248,823,423,0.10409715987060733,0.21365732668746443
240,excitatory,3548,2760,786,0.02488106669425777,0.12889988023169946
241,excitatory,1402,1229,173,0.24954300899227774,0.2822365512491809
242,excitatory,1211,791,417,0.05255122934358426,0.06651286464799021
250,inhibitory,50000,35747,14209,0.25416522875722186,0.30108591578706734
253,excitatory,682,539,143,0.034566191588967406,0.1348213716354725
255,excitatory,2667,2396,271,0.2015212093974809,0.11987338556045833
256,inhibitory,15265,12770,2471,0.4845504391291612,0.45495596180217285
257,excitatory,3936,3114,819,0.07783249218696908,0.12470349907020585
258,excitatory,2565,1660,905,0.13523257207001474,0.13625247089308162
259,excitatory,6076,4513,1558,0.049791924730026374,0.021952661336338865
263,excitatory,3048,2683,365,0.19133657571849047,0.09473679998098913
264,excitatory,317,270,47,0.11258224058104999,0.2929711254162222
266,excitatory,1135,1034,99,0.20593019701529627,0.17343547776195542
267,inhibitory,3175,2232,941,0.24343396393803035,0.2531408847970111
268,excitatory,2394,1892,502,0.13849535982672484,0.10879334200559787
269,excitatory,813,712,101,0.05140587546604194,0.08327299474996641
270,excitatory,681,438,242,0.0969159040616092,0.11704120400527666
271,excitatory,223,162,61,0.08877430464663022,0.08064321242089705
272,excitatory,1053,807,246,0.0393210364495298,0.09643848396621181
