session,subject,unit,mean_rate_hz,baseline_hz,evoked_hz,driven_hz,p_responsive,p_frequency,bf_hz,bf_idx,best_hz,selectivity_index,sparseness,bf_split_a,bf_split_b,bf_split_match,split_half_r,q_responsive,q_frequency,responsive,enhanced,suppressed,freq_tuned,latency_s,tune_2000,tune_4000,tune_8000,tune_16000,tune_32000
LA11_ses-1,LA11,11,0.26691955112038335,0.3048207331811468,0.2336511346851081,-0.07116959849603867,0.027917549381217162,0.6221248146907219,4000.0,1,0.0,0.5974043531161282,,16000.0,4000.0,False,0.5039706470983965,0.03231834534278834,0.6412251379487705,False,False,False,False,,-0.05855562784645413,0.0,-0.25727826675693977,-0.026863666890530557,-0.013477088948787063
LA11_ses-1,LA11,12,14.520025193559123,15.090640526386464,15.087954881160199,-0.0026856452262656104,7.094797377673295e-05,0.7190352793628619,2000.0,0,0.29277813923227064,0.038068508143604886,0.7665781361660808,2000.0,16000.0,False,-0.6886409056527518,9.419646235893923e-05,0.7283331493546231,True,False,True,False,,0.29277813923227064,-0.02054794520547945,-0.48070412999322953,0.17461383478844864,0.006738544474393531
LA11_ses-1,LA11,13,8.447539007672113,8.868000537129046,8.336242782328455,-0.5317577548005908,3.952324343642654e-12,1.1977785150020768e-06,4000.0,1,0.5821917808219178,0.12319202387177182,0.8901425295042222,32000.0,4000.0,False,0.8951934384197732,6.587207239404423e-12,2.05458358412765e-06,True,False,True,False,,-1.0084580351333767,0.5821917808219178,-1.8821936357481381,-0.45668233713901946,0.1347708894878706
LA11_ses-1,LA11,14,1.6478630397277796,1.6369007654088894,1.6624143950584127,0.0255136296495233,5.93098797420802e-11,0.5573350312640959,4000.0,1,0.3493150684931507,0.1566716745765724,0.7989328102676548,4000.0,4000.0,True,0.5088659745948617,9.546453246156743e-11,0.5899717673291105,True,True,False,False,,0.05204944697462589,0.3493150684931507,-0.13540961408259986,0.08730691739422432,-0.2223719676549865
LA11_ses-1,LA11,15,2.957893572962895,2.956895394118437,3.1314623338257017,0.17456693970726467,6.61305522997775e-08,0.11515945698781678,8000.0,2,0.5551794177386594,0.06785811615198155,0.666854918787283,8000.0,32000.0,False,-0.13376814463695222,9.961974224645969e-08,0.13463916613003454,True,True,False,False,0.0190000000000001,-0.08458035133376708,0.10273972602739725,0.5551794177386594,-0.08059100067159167,0.3908355795148248
LA11_ses-1,LA11,16,0.3237561520554699,0.32227742715187324,0.2927353296629515,-0.029542097488921712,0.0557690920790622,0.6845416465812502,4000.0,1,0.0958904109589041,0.3222699315306951,1.0,4000.0,4000.0,True,0.02911065303387367,0.06300834922394047,0.6994229867243208,False,False,False,False,,-0.09108653220559532,0.0958904109589041,-0.06093432633716994,-0.04701141705842848,-0.04043126684636118
LA11_ses-1,LA11,17,12.905892286161977,13.59070766751712,12.139116422720559,-1.4515912447965624,9.491851123002201e-36,0.005221857350098052,4000.0,1,0.03424657534246575,0.14575008879633408,1.0,4000.0,16000.0,False,0.5360864918103363,2.5062752965230534e-35,0.00734812261840145,True,False,True,False,,-2.394274560832791,0.03424657534246575,-3.2633716993906567,-1.0476830087306916,-0.5390835579514824
LA11_ses-1,LA11,18,5.472913164340477,5.247750772123003,9.217134416543574,3.969383644420572,7.223214849078968e-24,5.768115679189067e-66,8000.0,2,11.293161814488828,0.5250124838621951,0.6443329539813539,8000.0,8000.0,True,0.9924652096362535,1.502172999587219e-23,1.8073429128125743e-65,True,True,False,True,0.0190000000000001,5.191932335718933,0.2191780821917808,11.293161814488828,2.5990597716588315,0.4784366576819407
LA11_ses-1,LA11,19,7.787012715496597,8.126762454679737,8.330871491875923,0.2041090371961864,0.0007085831220643643,0.0022583660434008857,8000.0,2,1.3337846987136086,0.07317116435933792,0.8835616540763191,8000.0,8000.0,True,0.9629890283879826,0.0009149287565116791,0.0032760248160444948,True,True,False,True,0.023000000000000104,-0.07807417046193885,-0.547945205479452,1.3337846987136086,0.27535258562793824,0.04043126684636118
LA11_ses-1,LA11,20,1.3391128126855452,1.336108500067141,1.130656640257822,-0.20545185980931918,8.97462408390561e-08,0.6719351223425152,2000.0,0,0.10409889394925179,0.16353349804848355,0.810014452267623,2000.0,2000.0,True,0.8053524614297435,1.3181479123236367e-07,0.6895404093907906,True,False,True,False,,0.10409889394925179,0.04794520547945205,-0.2166553825321598,-0.4768300873069174,-0.4919137466307278
