unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_spikes_run,is_place_cell
179,right,11.990276906705736,0.684696728964652,0.14,0.42000000000000004,0.30000000000000004,0.28,376,True
183,right,7.906337773258132,2.1207089891266393,0.02,0.14,0.02,0.12000000000000001,124,True
186,right,2.7798253255287415,1.0743232270271452,0.9,1.42,1.18,0.5199999999999999,64,True
201,right,4.142338940712454,0.4413061287409489,0.02,0.22,0.02,0.2,165,False
202,right,3.8562511298921933,0.4262592422919629,0.9,1.46,1.34,0.5599999999999999,110,False
203,right,2.359290457473781,0.18466494582072085,0.5800000000000001,1.5,1.22,0.9199999999999999,95,False
204,right,3.534330305040247,0.48570021508916583,0.02,0.22,0.1,0.2,128,False
215,right,3.174920912295742,0.6865318507315149,1.1400000000000001,1.58,1.34,0.43999999999999995,116,True
216,right,6.385917364115676,1.5321581207803685,0.33999999999999997,0.78,0.62,0.44000000000000006,147,True
219,right,7.144551521051882,0.6014718766288565,0.02,0.30000000000000004,0.1,0.28,244,True
220,right,7.514145111301272,1.2750669987602585,0.8200000000000001,1.58,1.22,0.76,193,True
221,right,1.2460886281025554,2.0593185230601048,0.02,0.18,0.06,0.16,26,True
222,right,1.88135698053833,0.6426836132664764,0.02,0.42000000000000004,0.22,0.4,61,True
225,right,2.6677464188146343,1.386570998417517,0.30000000000000004,0.66,0.45999999999999996,0.36,44,True
229,right,1.1246094774259408,0.47265014020689855,0.30000000000000004,0.78,0.42000000000000004,0.48,41,False
237,right,3.6900108495029875,1.2277161637756853,1.34,1.58,1.5,0.24,58,True
238,right,1.6239652848407453,0.5429855863107955,0.02,0.26,0.1,0.24000000000000002,61,True
240,right,8.429565873839707,0.6588652487267417,0.38,1.02,0.62,0.64,294,True
241,right,1.09815579617307,2.282304337443621,0.02,0.14,0.02,0.12000000000000001,18,True
242,right,4.747057176444098,1.2123315255444342,1.1400000000000001,1.58,1.58,0.43999999999999995,77,True
253,right,1.4706076422689554,1.0541880453746277,0.78,1.58,1.34,0.8,46,True
255,right,2.6518934383668324,0.6702260945832532,0.02,0.14,0.02,0.12000000000000001,80,True
257,right,3.755376959569063,0.0865608093322967,0.02,1.58,0.02,1.56,239,False
258,right,6.594989418363935,0.1642030412193718,0.02,0.26,0.06,0.24000000000000002,407,False
259,right,21.058659905359406,0.20382957949322367,0.02,1.1400000000000001,0.66,1.12,1159,False
264,right,1.2373065669069894,0.912658948067294,0.02,0.22,0.02,0.2,33,True
268,right,14.221481127596526,0.36194280371113624,0.02,0.30000000000000004,0.02,0.28,628,False
270,right,5.449212778277406,0.824918672949142,0.26,0.7,0.42000000000000004,0.43999999999999995,149,True
7,left,6.406739868660058,0.570853975613433,0.02,0.66,0.26,0.64,233,True
9,left,9.146362966403315,1.8737012109330524,1.46,1.58,1.58,0.1200000000000001,92,True
11,left,1.8605574663617934,0.6325244018941467,0.02,0.30000000000000004,0.18,0.28,61,True
12,left,3.2951902536357385,0.42796343698936745,0.30000000000000004,0.94,0.7,0.6399999999999999,130,False
16,left,11.526177066494014,0.4815524437172788,0.45999999999999996,1.5,1.1400000000000001,1.04,584,False
21,left,1.4854157770163585,0.642808338387485,0.45999999999999996,0.9,0.54,0.44000000000000006,44,True
23,left,5.933626901408183,0.9352943621476234,0.38,0.7,0.5,0.31999999999999995,151,True
27,left,11.52120393565958,0.6485611933969305,0.14,0.8200000000000001,0.62,0.68,381,True
33,left,15.897766058074462,0.7106772128627508,0.02,0.26,0.02,0.24000000000000002,399,True
39,left,19.629106855660357,0.19417882542827158,0.02,0.8200000000000001,0.1,0.8,1180,False
41,left,3.5177008000249788,0.24674067909576725,0.02,0.5800000000000001,0.02,0.56,116,False
50,left,29.119064392749582,0.23753572392237132,0.22,1.46,0.74,1.24,1415,False
51,left,16.633990542153345,1.541630350606084,0.54,0.9,0.74,0.36,270,True
52,left,8.20292996641684,0.09963352670428298,0.02,1.5,1.22,1.48,547,False
53,left,1.8125057546335355,0.46030086732569314,0.02,0.54,0.26,0.52,62,False
54,left,6.413490744929189,0.2815481586648291,1.18,1.58,1.58,0.40000000000000013,222,False
55,left,7.524578161325083,0.2888667154429266,0.02,0.94,0.1,0.9199999999999999,283,False
57,left,39.91180050273154,0.9263559845759846,1.18,1.58,1.46,0.40000000000000013,1009,True
58,left,8.235287246561217,1.0144506838883882,0.33999999999999997,0.8200000000000001,0.5800000000000001,0.4800000000000001,206,True
70,left,1.4902268164944799,2.237102571141851,0.02,0.14,0.02,0.12000000000000001,18,True
74,left,2.1926021855285622,0.9552461554645764,0.42000000000000004,0.8200000000000001,0.62,0.4,55,True
76,left,4.530984167981095,0.8079453966924875,1.42,1.58,1.58,0.16000000000000014,105,True
82,left,9.19610943122319,1.077142779951029,0.42000000000000004,1.02,0.74,0.6,266,True
84,left,1.0409211432590157,1.3654190260757042,0.14,0.26,0.22,0.12,22,True
86,left,2.7516478088975926,0.6324677242545438,1.3,1.58,1.58,0.28,76,True
92,left,1.9856725290360893,1.3406222719838006,0.02,0.33999999999999997,0.02,0.31999999999999995,37,True
94,left,2.546149050724423,0.8824963345963595,0.45999999999999996,0.94,0.74,0.48,60,True
95,left,2.9438318252193416,1.8217807795386067,0.02,0.14,0.06,0.12000000000000001,40,True
96,left,1.3205586983400759,1.4232756035103238,0.9,1.22,1.1,0.31999999999999995,22,True
