session,maze,track_len,unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_field_spikes,is_place_cell,slope_cycles,slope_deg,phi0,rho,pval
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,57,right,11.066831987693147,0.5724670417622368,0.86,1.5,1.26,0.64,218,True,-0.9225,-332.1,-0.7563888305501871,-0.4306165948887464,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,58,right,2.608929048330744,0.9075693073608655,0.98,1.58,1.3,0.6000000000000001,39,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,70,right,2.53172677937027,1.87466943036134,0.02,0.14,0.02,0.12000000000000001,21,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,76,right,4.548032046001066,0.7557882955095067,1.3800000000000001,1.58,1.58,0.19999999999999996,34,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,79,right,1.5477406416387072,0.6605817873860563,0.8200000000000001,1.18,0.94,0.3599999999999999,24,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,82,right,7.93516240518859,0.8941896125266271,0.30000000000000004,0.94,0.54,0.6399999999999999,238,True,-0.7225,-260.1,-0.5216060040200801,-0.28060509653741483,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,84,right,1.019050368921326,1.6646929291739336,0.06,0.33999999999999997,0.18,0.27999999999999997,20,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,92,right,27.781034090169374,1.6387021511841489,0.02,0.26,0.06,0.24000000000000002,620,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,93,right,3.55023448619669,1.1005861384912357,0.02,0.14,0.06,0.12000000000000001,54,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,95,right,10.886353418086179,2.2959134200142506,0.02,0.1,0.02,0.08,87,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,96,right,3.3598902760101548,1.1822025662670004,0.02,0.1,0.02,0.08,30,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,98,right,1.0998316124832515,0.9730872298443193,1.1,1.58,1.3,0.48,15,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,101,right,1.3481496312627848,1.547618549748954,0.02,0.22,0.02,0.2,19,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,103,right,3.2558527803533965,0.6589527112786475,0.98,1.58,1.3800000000000001,0.6000000000000001,49,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,109,right,5.164904303696664,1.658219661214468,1.1,1.58,1.42,0.48,78,True,-0.95,-342.0,0.12297452418783049,0.38329434410168073,0.005988023952095809
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,110,right,1.124330429933499,1.3511577655859104,1.46,1.58,1.58,0.1200000000000001,3,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,111,right,1.3194249790861303,1.5894730599433482,0.02,0.14,0.02,0.12000000000000001,14,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,112,right,6.665902070116666,2.35294354498564,0.02,0.1,0.02,0.08,48,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,113,right,15.43738650662707,0.7467307241280514,0.06,0.5800000000000001,0.26,0.52,418,True,-1.5,-540.0,-0.7125823435830274,-0.4019977053681811,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,114,right,1.865260452556706,1.354971118751518,1.1400000000000001,1.46,1.26,0.31999999999999984,18,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,116,right,2.1460660102011335,0.3278265713038721,0.78,1.58,1.1,0.8,62,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,117,right,1.2258952392134963,0.7204608593580026,1.1,1.34,1.18,0.24,7,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,118,right,6.518350938148645,0.40971301206518984,0.02,0.54,0.42000000000000004,0.52,152,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,125,right,6.440678405877004,0.2812573830065851,0.02,0.62,0.02,0.6,188,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,129,right,8.39869984703233,0.22836771427658525,1.1,1.58,1.58,0.48,112,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,137,right,3.0433918892327037,0.7751593141298867,0.02,0.18,0.02,0.16,46,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,143,right,2.496156531707994,1.387133433063813,0.33999999999999997,0.62,0.5,0.28,37,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,146,right,23.06548531771752,0.27364699933017833,0.22,1.58,1.3800000000000001,1.36,1064,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,148,right,7.8648285422323365,0.6765102522114814,0.66,1.58,1.54,0.92,189,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,151,right,8.107243492182977,0.7092600707446516,1.3800000000000001,1.58,1.54,0.19999999999999996,49,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,161,right,4.314533255125796,0.38852366808143984,0.74,1.58,1.1400000000000001,0.8400000000000001,137,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,163,right,4.71314512330625,0.5940191168573492,0.02,0.18,0.02,0.16,79,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,175,right,20.906794127710544,1.16149317426317,0.02,0.42000000000000004,0.26,0.4,575,True,-0.66,-237.60000000000002,-0.8071100515176088,-0.479233187406001,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,176,right,25.753155573228348,0.5136378564969786,0.02,0.7,0.18,0.6799999999999999,1167,True,-1.5,-540.0,-1.4590732170920544,0.07808730724361508,0.00998003992015968
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,177,right,11.785336852549976,1.045480948016934,0.5800000000000001,1.22,0.8200000000000001,0.6399999999999999,281,True,-0.65,-234.0,-1.0062526801617562,-0.27414270323615053,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,179,right,11.990276907118561,0.6846967289646521,0.14,0.42000000000000004,0.30000000000000004,0.28,208,True,-0.6625,-238.5,-1.2164744494170445,-0.22735578114610971,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,183,right,7.906337773530348,2.120708989126639,0.02,0.14,0.02,0.12000000000000001,84,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,186,right,2.7798253256244507,1.074323227027145,0.9,1.42,1.18,0.5199999999999999,49,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,201,right,4.142338940855074,0.4413061287409489,0.02,0.22,0.02,0.2,78,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,202,right,3.8562511300249636,0.426259242291963,0.9,1.46,1.34,0.5599999999999999,66,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,203,right,2.3592904575550118,0.18466494582072082,0.5800000000000001,1.5,1.22,0.9199999999999999,49,False,,,,,
