session,unit,direction,lo,hi,peak_pos,width,peak_rate,si,n_spikes,mrl,slope,phi0,rho,p,n
Achilles_11012013,61,left,232.0,288.0,254.0,56.0,16.13051871854311,1.3030937578587858,1184,0.12532090253048664,-4.285132379496478,5.594618979113225,-0.0953731830177708,0.0009328434259079366,1184
Achilles_11012013,63,left,188.0,224.0,206.0,36.0,7.651919501510359,1.162097742570449,353,0.08176245654310413,-3.6568138487785196,4.176618386424003,-0.26472944315302427,2.1956842921611042e-07,353
Achilles_11012013,64,left,256.0,292.0,274.0,36.0,2.8847095956299666,1.0703873748201054,127,0.02570507163653773,2.8148670176164545,4.142966336152005,0.21141446479096224,0.01708012385731017,127
Achilles_11012013,67,left,16.0,52.0,30.0,36.0,17.901650986579064,2.1540634785754738,390,0.0683996126160875,3.681946590007237,4.020135269904564,0.5666574639076799,0.0,390
Achilles_11012013,68,left,136.0,168.0,158.0,32.0,1.0660032910704786,1.6176841908715691,42,0.2555874826771567,-4.335397861953914,5.940606980595956,-0.3945122014818418,0.0190106189888668,42
Achilles_11012013,70,left,128.0,164.0,154.0,36.0,1.6653327460526368,0.9801733516575963,64,0.23378672264397393,-6.798406502368311,0.12158043168441575,-0.17942737357445368,0.13248724506015064,64
Achilles_11012013,72,left,56.0,92.0,74.0,36.0,12.052389137235867,1.0261765424544114,294,0.12245184526143235,-6.107256118578558,0.029202028309594886,-0.26989263775360733,2.653661073770408e-06,294
Achilles_11012013,73,left,76.0,112.0,94.0,36.0,24.72439678951263,1.196460280145919,621,0.06204688376810634,-5.026548245743669,5.568023182026504,-0.4470427652027011,0.0,621
Achilles_11012013,75,left,96.0,144.0,122.0,48.0,23.852461108573625,2.004570195400178,1016,0.10497012287655484,-3.2421236185046665,3.9972829961969323,-0.19461915820582146,7.817608782545449e-10,1016
Achilles_11012013,76,left,16.0,56.0,42.0,40.0,7.040358036934573,1.5007095850084484,140,0.08911345567435568,2.437875899185679,5.062299068135388,0.17320079256718798,0.034962546107562664,140
Achilles_11012013,78,left,184.0,232.0,206.0,48.0,9.126286704290843,0.9322061211047101,587,0.0845066246009804,-5.830795965062656,5.941540156424685,0.12392192580686465,0.0020535736396929405,587
Achilles_11012013,80,left,4.0,52.0,26.0,48.0,19.751168705294365,2.508973816279517,491,0.05948314509605603,-6.396282642708819,0.22163571396207463,0.22829255671675652,2.7561920257213046e-07,491
Achilles_11012013,81,left,252.0,292.0,270.0,40.0,2.7780544279325925,1.3085708783173209,117,0.2389793106822568,-4.310265120725195,0.08818699309331016,-0.5192190905774777,3.260689684925211e-07,117
Achilles_11012013,82,left,92.0,128.0,102.0,36.0,1.7151345964314826,2.3039705285064835,57,0.2143666169081683,3.9207076316800626,5.809638476908785,0.5887065093302194,1.9906928306001603e-05,57
Achilles_11012013,84,left,168.0,212.0,190.0,44.0,10.06259936712969,0.823903558113473,592,0.09792394192096893,-6.0821233773498395,0.4267882792573003,0.13999780484040947,0.0005587391402981368,592
Achilles_11012013,86,left,68.0,120.0,82.0,52.0,3.8614949498476547,1.312003163298392,111,0.2306446736598379,-3.970973114137498,5.2157650476643695,-0.6354202498445242,1.1479528438940179e-10,111
Achilles_11012013,88,left,20.0,52.0,38.0,32.0,7.464167081561052,1.052782747930993,136,0.07225559641757293,5.466371217246241,5.1553214633720295,0.13280373181941532,0.11870616656872057,136
Achilles_11012013,89,left,160.0,276.0,182.0,116.0,9.767631772469988,0.5429096608459366,1400,0.10928555174321239,-10.266724791931443,5.142854731332112,-0.09489281190367854,0.0003211491968000413,1400
Achilles_11012013,91,left,144.0,224.0,158.0,80.0,4.193129521177761,0.6967790492017774,428,0.06227413139390874,-4.850619057142641,5.510205955944126,-0.15447734560962864,0.001241936571711566,428
Achilles_11012013,92,left,216.0,256.0,234.0,40.0,10.963822802669602,1.3531415931515103,618,0.09002990837546404,-4.724955350999049,6.176881867973727,-0.29432683163289325,4.836131495267182e-13,618
Achilles_11012013,96,left,180.0,224.0,206.0,44.0,12.115570101298575,1.457785941672322,714,0.16207522731839746,-4.033804967209294,4.675974971933232,-0.4099017485220845,0.0,714
Achilles_11012013,99,left,36.0,76.0,54.0,40.0,3.742345447407528,0.8725659008431673,90,0.20547328433876058,-2.940530723760046,4.4785663657026,-0.19353708764482158,0.05755541757583549,90
Achilles_11012013,103,left,108.0,184.0,162.0,76.0,23.92467317064942,1.3975235831268176,2074,0.13183914712740216,-2.0483184101405456,2.995583270939573,-0.11874953894112997,4.697904576467238e-08,2074
Cicero_09102014,0,left,248.0,284.0,270.0,36.0,8.847208239457006,1.0425089002100845,144,0.2051572788128135,-3.292389100962103,3.257412960932858,-0.45055595074672766,2.040626634336462e-07,144
