session,unit,cell_type,channel,theta_delta,n_spikes,rate,mrl,ppc,pref,p_rayleigh,mrl_null_mean,p_shuffle,sig
Achilles-10252013,201,excitatory,105,4.206864355941898,1772,1.193882177110413,0.024551143187980982,3.8446242583123766e-05,3.2103804085135894,0.34371314047375884,0.021410037399713304,0.35323383084577115,False
Achilles-10252013,202,excitatory,105,4.206864355941898,984,0.7261109934934138,0.11220717716799058,0.011585964799878622,4.687559964613733,4.0293939575681684e-06,0.029612235813626143,0.004975124378109453,True
Achilles-10252013,203,excitatory,105,4.206864355941898,889,0.4080770747614785,0.05016034506137468,0.0013927674916949546,2.1667236368688125,0.10678620014432323,0.028255849840418137,0.0945273631840796,False
Achilles-10252013,204,excitatory,105,4.206864355941898,1104,0.47448354376701923,0.09963891483777533,0.00903029586441939,1.9476786025741852,1.6992189004915217e-05,0.02718349144035695,0.004975124378109453,True
Achilles-10252013,210,excitatory,105,4.206864355941898,485,0.31975503671912,0.009068675003819176,-0.0019837049170091446,1.9519108436591388,0.9609368743147589,0.04060445655618844,0.9701492537313433,False
Achilles-10252013,211,excitatory,105,4.206864355941898,769,0.7133173497886746,0.06618864908130788,0.0030845582792751957,1.4044418841179969,0.0343744273162386,0.03226590860944025,0.024875621890547265,True
Achilles-10252013,214,inhibitory,105,4.206864355941898,6073,6.8076527159105575,0.015913436111208476,8.858877255603858e-05,1.8177507217970315,0.21483569096267843,0.011329435359982692,0.22885572139303484,False
Achilles-10252013,215,excitatory,105,4.206864355941898,1000,0.7964760338694792,0.10443539618117338,0.009916668644162806,2.526640491510793,1.789196273685847e-05,0.02766257372699532,0.004975124378109453,True
Achilles-10252013,216,excitatory,105,4.206864355941898,1387,0.4796182124287867,0.2866213338011446,0.08148956084347524,1.0191561850518294,2.972891152843485e-51,0.024331822465632005,0.004975124378109453,True
Achilles-10252013,217,excitatory,105,4.206864355941898,1419,0.3443096533362875,0.18029307568510886,0.03182329807168891,1.8851856651861656,6.452398533522152e-21,0.024561667889367356,0.004975124378109453,True
Achilles-10252013,219,excitatory,105,4.206864355941898,746,0.4616612147624936,0.05318777953458535,0.001490455247379146,2.8572700022447193,0.12118132655813307,0.03322050822410793,0.11940298507462686,False
Achilles-10252013,220,excitatory,105,4.206864355941898,360,0.39499657805887517,0.05379528909152126,0.00011647890317137739,5.454493066283551,0.353058096542421,0.048459233526329956,0.34328358208955223,False
Achilles-10252013,221,excitatory,105,4.206864355941898,1044,0.4281854699117524,0.07528672671149358,0.004714752859601237,4.97219829779803,0.0026770187422242605,0.027659244171841325,0.009950248756218905,True
Achilles-10252013,222,excitatory,105,4.206864355941898,1935,1.3531716468243515,0.09245428347382596,0.008035151199945363,4.735902124803875,6.356651417819596e-08,0.019966990652715712,0.004975124378109453,True
Achilles-10252013,225,excitatory,105,4.206864355941898,553,0.3915830273842923,0.24862903491826668,0.06011678902794734,4.831002864343117,8.533540208085615e-16,0.0378619078470268,0.004975124378109453,True
Achilles-10252013,229,excitatory,105,4.206864355941898,1436,0.35044830749057937,0.08180200185406093,0.005999366509079058,4.3051123227590224,6.626435567900443e-05,0.023431600977132927,0.004975124378109453,True
Achilles-10252013,236,excitatory,105,4.206864355941898,352,0.43968827512610303,0.12670555205106834,0.01325103280922857,3.6272144463526534,0.003462154689279796,0.04995580718419196,0.009950248756218905,True
Achilles-10252013,237,excitatory,105,4.206864355941898,1224,0.9352841995359206,0.058770888139535474,0.002639180021485515,4.217357685530987,0.014557581582181239,0.02490841255533508,0.004975124378109453,True
Achilles-10252013,238,excitatory,105,4.206864355941898,999,0.6534224438346491,0.13610892915229292,0.017542199353095096,3.2895096692722516,8.491132208009786e-09,0.028063217274874628,0.004975124378109453,True
Achilles-10252013,240,excitatory,105,4.206864355941898,2506,0.8218338388806663,0.08896623575186635,0.007518949184137643,4.473810828096804,2.3463806213454248e-09,0.0172343524899652,0.004975124378109453,True
Achilles-10252013,241,excitatory,105,4.206864355941898,981,0.5197489468299753,0.2534765786849385,0.0632955293866604,2.941767797093552,1.5375583594819032e-28,0.0278499822043635,0.004975124378109453,True
Achilles-10252013,242,excitatory,105,4.206864355941898,1666,1.0495664338849806,0.059899099451977925,0.002989456410722602,2.3867459792684054,0.002526253423678227,0.021485607886510164,0.004975124378109453,True
Achilles-10252013,250,inhibitory,105,4.206864355941898,41652,13.533896551027281,0.25233962095836776,0.06365280405966364,1.6052813724722876,0.0,0.004518201005295152,0.004975124378109453,True
Achilles-10252013,253,excitatory,105,4.206864355941898,534,0.5077011209196828,0.11509437362822682,0.011395395356522791,2.9024270881213834,0.0008328603485341085,0.038862533924153224,0.004975124378109453,True
Achilles-10252013,255,excitatory,105,4.206864355941898,1868,0.5293298369586364,0.17543688398801432,0.030258966948085716,3.737351026138617,6.95975042151697e-26,0.019277692088894363,0.004975124378109453,True
Achilles-10252013,256,inhibitory,105,4.206864355941898,11507,7.554646607648478,0.47322571752232406,0.22387513166087553,1.6902708220034297,0.0,0.00867474050244572,0.004975124378109453,True
Achilles-10252013,257,excitatory,105,4.206864355941898,2907,1.5084451745681926,0.10339307153990415,0.010349690259400836,3.7329353004563113,2.950219981233715e-14,0.016453617991474666,0.004975124378109453,True
Achilles-10252013,258,excitatory,105,4.206864355941898,2108,1.4155334885600084,0.17247307989195687,0.02928647299946642,4.688948775674113,3.6972660804178377e-28,0.019298286061628887,0.004975124378109453,True
Achilles-10252013,259,excitatory,105,4.206864355941898,4963,1.6657266732970823,0.043853240873844665,0.0017219626615270138,3.3226192526353047,7.134316503416717e-05,0.012658656031216593,0.004975124378109453,True
Achilles-10252013,263,excitatory,105,4.206864355941898,1942,0.5012756137675268,0.1636956418585662,0.02629487020272727,0.6049393698783904,1.7885859450072365e-23,0.01955610445687161,0.004975124378109453,True
Achilles-10252013,264,excitatory,105,4.206864355941898,290,0.43185718828441294,0.06680835740713918,0.0010185931475349972,2.779321155108764,0.2742855245987558,0.05334695074350978,0.2736318407960199,False
Achilles-10252013,266,excitatory,105,4.206864355941898,890,0.7867230319420996,0.15551455251899965,0.023087121125100543,4.568503161785252,3.9827420175377935e-10,0.029310536683381173,0.004975124378109453,True
Achilles-10252013,267,inhibitory,105,4.206864355941898,2715,2.4388815584402095,0.24761344146860606,0.06096654772105426,2.192597736077287,3.770860126202675e-74,0.015609879318974264,0.004975124378109453,True
Achilles-10252013,268,excitatory,105,4.206864355941898,2176,0.7440393058599205,0.09908789883617894,0.00936315579310022,3.423173014611553,5.018997899251734e-10,0.01917998545932314,0.004975124378109453,True
Achilles-10252013,269,excitatory,105,4.206864355941898,575,0.3083096021043421,0.08005735978318321,0.004678186397014064,3.4071025107849513,0.02502235560231843,0.038066115762046195,0.04975124378109453,True
Achilles-10252013,270,excitatory,105,4.206864355941898,638,0.3453996947281711,0.12459826399914153,0.013979240307442155,4.0277168043936395,4.8416401138785815e-05,0.03419214888690196,0.004975124378109453,True
Achilles-10252013,271,excitatory,105,4.206864355941898,175,0.35486584365768664,0.12471460318471222,0.009895995076528968,3.8250662236354613,0.06556428907686782,0.07146045024973453,0.09950248756218906,False
Achilles-10252013,272,excitatory,105,4.206864355941898,892,0.6149554568210723,0.09817318003218006,0.008526455851455339,3.036469558275666,0.0001817213993042588,0.029447205995566435,0.004975124378109453,True
Achilles-11012013,1,excitatory,115,9.129317340045104,2530,0.44044088331714565,0.0324771362997556,0.0006597682431985939,0.6640959348064212,0.06934021508013709,0.018363331596394906,0.07960199004975124,False
Achilles-11012013,2,excitatory,115,9.129317340045104,2107,0.38996203913110444,0.30685310346700617,0.09372870309361397,4.96116319617035,5.388530453082953e-89,0.018579654071541263,0.004975124378109453,True
