session,unit,cell_type,n_RUN,mrl_RUN,p_RUN,ppc_RUN,pref_RUN,n_REM,mrl_REM,p_REM,ppc_REM,pref_REM,n_nonREM,mrl_nonREM,p_nonREM,ppc_nonREM,pref_nonREM,mrl_null_mean,mrl_null_p95,p_shuffle,sig_RUN,sig_REM,sig_nonREM
Achilles-10252013,49,inhibitory,11121,0.1583395552330403,1.403682300153139e-122,0.02498374131747179,1.7713805462206287,6311,0.2537306905887345,4.233221277868728e-180,0.06423098747711894,1.8918800308613717,8992,0.11637883659549118,8.527485492648517e-54,0.013434317672897541,1.752719689959674,0.008043997384164853,0.016754143371768653,0.004975124378109453,True,True,True
Achilles-10252013,50,excitatory,2031,0.11093670820490645,1.2993213184113985e-11,0.011820404928437769,3.4835701674977138,583,0.2083028580793606,7.976412100000184e-12,0.04174642102884817,0.3627059354172445,1037,0.1211920572544872,2.3122571603475565e-07,0.013736440914105382,1.7919044002796016,0.019923166020050852,0.039773496780938264,0.004975124378109453,True,True,True
Achilles-10252013,51,excitatory,1657,0.06939153801126643,0.00034020068618288165,0.004214228534010804,3.9730227147037267,123,0.16007043198056706,0.042467569334307245,0.017635842728826047,2.2294072425434366,370,0.09160074816394977,0.04474025924466912,0.005703408980358477,1.9410523271870503,0.01920642878513158,0.041333081838583044,0.004975124378109453,True,False,True
Achilles-10252013,52,excitatory,2457,0.03301793623703664,0.06864771894459966,0.0006834618756141544,2.5903215946522615,658,0.08637746793987594,0.0073370016178175524,0.005950353218796691,2.770277730561606,1420,0.10763622704840017,6.869579100221235e-08,0.010889000331194467,1.7146164630600589,0.018691891968256113,0.03495267521284367,0.07462686567164178,False,True,True
Achilles-10252013,53,excitatory,437,0.16090837051580126,1.1471997631757792e-05,0.023657309903201872,3.619387896251192,248,0.15410186302658233,0.002704949072320237,0.019794944448135055,1.4210585776448463,1255,0.11432572661162979,7.170740649422885e-08,0.012283346543399347,1.9537305239155585,0.03887743328900914,0.07399603648123229,0.004975124378109453,True,True,True
Achilles-10252013,54,excitatory,2073,0.0993965171355961,1.217565897200632e-09,0.009401810315414014,3.452567291265434,939,0.050321797219826804,0.09273091616757582,0.0014688848567504618,3.396832036430069,1645,0.10720157818291023,5.869670726140889e-09,0.010890896234958262,2.205677441813587,0.01948137899278527,0.03800528467062361,0.004975124378109453,True,False,True
Achilles-10252013,55,excitatory,3546,0.026541819040734965,0.08223849144078,0.0004225794325067745,0.2681817540060442,793,0.12127534380304818,8.302240911504551e-06,0.013463653091586108,0.3267748472897383,1362,0.12074291444300109,2.2285125906299154e-09,0.013854809398026904,2.13971090222575,0.015571814199895258,0.028539220286780367,0.0845771144278607,False,True,True
Achilles-10252013,56,excitatory,1016,0.08614105813755257,0.0005264707131230112,0.006442370844739042,1.226910588949615,129,0.13567664706924787,0.09288574559121066,0.010739466251827881,0.5066666946860873,576,0.14376380501410274,6.417675495694336e-06,0.018964845600188837,1.3333037261437113,0.02856436072586023,0.05500580880963433,0.004975124378109453,True,False,True
Achilles-10252013,57,excitatory,2192,0.10788943442156435,7.744948136231781e-12,0.011189030164807224,2.932692079054878,385,0.08604223994022392,0.05773825774553722,0.004818379728550677,2.8960211643724474,800,0.11249146369347494,3.9103039373995446e-05,0.011418602657221917,2.4279529432695806,0.01902300405343796,0.03465699446344103,0.004975124378109453,True,False,True
Achilles-10252013,58,excitatory,698,0.227824763306031,1.169470512074211e-16,0.050543870440837066,3.5805927904647206,411,0.045453689221504466,0.42803631363787886,-0.00036794740965770574,4.098171650366648,607,0.1417807190050768,4.768290040582956e-06,0.018484778506483668,1.552152074643251,0.03205935844885169,0.06052819919489433,0.004975124378109453,True,False,True
Achilles-10252013,59,excitatory,290,0.20226386397583043,6.350885768536546e-06,0.03759202247206103,2.6197562602486957,262,0.2282159905758652,1.0145839439847282e-06,0.04845067068538364,3.8932819813281836,771,0.05368066632897422,0.10840465983589932,0.001586654994584384,2.692178543788066,0.05153155115078458,0.09768721457393859,0.004975124378109453,True,True,False
Achilles-10252013,60,excitatory,72,,,,,184,0.14021909820892442,0.02663030645765675,0.014304353947892976,4.5672405286622535,410,0.1605840010775986,2.4211509547507557e-05,0.023405283068109965,1.5073411162660668,,,,False,True,True
Achilles-10252013,70,excitatory,1096,0.12889592743886105,1.1545402736650796e-08,0.015716090850150913,3.337850695395087,106,0.18212247441068496,0.02934619686440977,0.02396067754914175,0.3271453907613582,181,0.06218234549703941,0.49727761282112565,-0.0016674301079784156,1.8898967285167012,0.02707893651181429,0.05176560599068494,0.004975124378109453,True,True,False
Achilles-10252013,74,excitatory,381,0.17850898623092126,4.917415375829467e-06,0.02931773568667858,3.8318347929181718,577,0.08786103068814108,0.011574659787470683,0.005996851617599105,4.935095030466484,676,0.15162074633735748,1.6470145649515558e-07,0.02154142679503789,1.7177508864687727,0.043724518094134156,0.09525225858133762,0.004975124378109453,True,True,True
Achilles-10252013,76,excitatory,1342,0.08900864584076816,2.3719668750973883e-05,0.007182734812956444,3.169760892531329,417,0.024090236530518113,0.7852550240674679,-0.0018221116108842284,4.191338294693139,1120,0.11831709587193054,1.478606027271416e-07,0.01311779034551896,2.1177942699780528,0.025250399164960965,0.051225545280480615,0.004975124378109453,True,False,True
