session,unit_id,unit_name,layer,hemisphere,n_spikes,grid_score,grid_spacing,grid_orientation,shuffle_p,shuffle_z,arena_cm,duration_s,coverage
sub-10884/sub-10884_ses-01080402_behavior+ecephys.nwb,1,t3c2,MEC LIII,,531,-0.3217486253231685,47.08420935742828,-19.88048602172376,,,98.56037342293314,599.98,0.955
sub-10884/sub-10884_ses-02080405_behavior+ecephys.nwb,0,t3c1,MEC LIII,,570,0.9226130480403328,75.96356890028223,21.895517954854665,0.009900990099009901,3.462050197208309,97.82950139858451,599.98,0.938125
sub-10884/sub-10884_ses-02080405_behavior+ecephys.nwb,1,t3c3,MEC LIII,,863,0.06104487106751529,76.53982089896675,23.83569736925313,,,97.82950139858451,599.98,0.938125
sub-10884/sub-10884_ses-02080405_behavior+ecephys.nwb,2,t3c5,MEC LIII,,412,0.06825230588808823,44.35963361951216,16.705771616657547,,,97.82950139858451,599.98,0.938125
sub-10704/sub-10704_ses-25060402_behavior+ecephys.nwb,0,t2c1,MEC LVI,,1111,0.8969085678640606,41.737290456988575,21.675465309466848,0.019801980198019802,3.0383412072198057,100.0,599.98,0.8575
sub-10704/sub-10704_ses-25060402_behavior+ecephys.nwb,1,t2c3,MEC LVI,,1262,-0.19572639296628783,53.31334429882296,-17.108941984040076,,,100.0,599.98,0.8575
sub-10704/sub-10704_ses-25060402_behavior+ecephys.nwb,2,t2c4,MEC LVI,,2373,0.5276617800943376,36.76452796912867,24.085109458314363,0.039603960396039604,2.2276570730354743,100.0,599.98,0.8575
sub-10704/sub-10704_ses-26060402_behavior+ecephys.nwb,0,t2c1,MEC LVI,,1952,-0.09815671542997902,76.7885580753752,-18.87192288869181,,,100.0,599.98,0.892948717948718
sub-10704/sub-10704_ses-26060402_behavior+ecephys.nwb,1,t2c2,MEC LVI,,853,0.6277211090999699,44.627217083813946,24.804119718730295,0.0297029702970297,2.7484885007397737,100.0,599.98,0.892948717948718
sub-10704/sub-10704_ses-26060402_behavior+ecephys.nwb,2,t2c3,MEC LVI,,1156,-0.31154467936362296,121.98872898755852,-15.830315486258002,,,100.0,599.98,0.892948717948718
sub-10704/sub-10704_ses-26060402_behavior+ecephys.nwb,3,t2c5,MEC LVI,,4884,1.175385141014366,38.99517452179983,26.02146581891085,0.009900990099009901,6.447146636808877,100.0,599.98,0.892948717948718
sub-10704/sub-10704_ses-26060402_behavior+ecephys.nwb,4,t3c1,MEC LVI,,669,-0.46602062922825144,60.45245212056415,-23.05542751566834,,,100.0,599.98,0.892948717948718
sub-10884/sub-10884_ses-08070402_behavior+ecephys.nwb,0,t1c1,MEC LIII,,1313,-0.09991322212478822,121.98872898755852,-15.830315486258002,,,100.0,599.98,0.8512820512820513
sub-10884/sub-10884_ses-08070402_behavior+ecephys.nwb,1,t2c1,MEC LIII,,692,-0.20432767195647186,121.98872898755852,-15.830315486258002,,,100.0,599.98,0.8512820512820513
sub-10884/sub-10884_ses-08070402_behavior+ecephys.nwb,2,t2c3,MEC LIII,,1069,-0.14772547008296752,121.98872898755852,-15.830315486258002,,,100.0,599.98,0.8512820512820513
