event,epoch,start,end,dur,n_bins,n_active,n_spikes,direction,dir_mass,wcorr,slope,p_cycle,p_perm,p_max,significant,forward,speed
4418,POST_NREM,29594.71695,29594.85195,0.1349999999983993,7,19,29,rightward,0.40752857491546823,0.23488409213148434,2.877324144141242,0.5144855144855145,0.7272727272727273,0.7272727272727273,False,True,2.877324144141242
4419,POST_NREM,29594.92195,29595.18195,0.2599999999983993,13,27,61,rightward,0.4749211154043585,-0.13792592505167664,-0.6484067999838699,0.7482517482517482,0.7652347652347652,0.7652347652347652,False,False,0.6484067999838699
4420,POST_NREM,29595.52695,29595.64695,0.11999999999898137,6,19,39,leftward,0.20614514860057911,-0.6280246513260723,-8.04692821974036,0.024975024975024976,0.061938061938061936,0.061938061938061936,False,True,8.04692821974036
4421,POST_NREM,29607.53695,29607.75195,0.21500000000014552,11,29,48,leftward,0.6321389637567763,0.5479243093225475,4.946537256497197,0.002997002997002997,0.00999000999000999,0.00999000999000999,True,False,4.946537256497197
4422,POST_NREM,29610.71195,29611.11195,0.3999999999978172,20,56,133,rightward,0.5520018622520816,0.36722200504811836,1.6311729478844594,0.00999000999000999,0.12287712287712288,0.12287712287712288,False,True,1.6311729478844594
4423,POST_NREM,29612.32195,29612.46695,0.14500000000043656,7,18,37,leftward,0.6023777801931016,-0.2574279108948709,-2.873762198836311,0.5554445554445554,0.7082917082917083,0.7082917082917083,False,True,2.873762198836311
4424,POST_NREM,29612.48695,29612.59695,0.11000000000058208,5,23,32,leftward,0.7154489887937505,-0.3129526686225887,-5.202483579396745,0.5384615384615384,0.5924075924075924,0.5924075924075924,False,True,5.202483579396745
4425,POST_NREM,29615.80195,29616.16195,0.3600000000005821,18,34,79,leftward,0.4588794208138458,0.38466137084196733,1.6962145544281817,0.022977022977022976,0.06693306693306693,0.06693306693306693,False,False,1.6962145544281817
4426,POST_NREM,29616.87695,29617.00195,0.125,6,19,25,rightward,0.8121993645780359,-0.240563890497786,-3.2995031687586884,0.5804195804195804,0.6083916083916084,0.6083916083916084,False,False,3.2995031687586884
4427,POST_NREM,29626.48695,29626.64695,0.15999999999985448,8,21,38,rightward,0.28345849008890706,0.34026484492504877,3.1573549752389796,0.2907092907092907,0.4595404595404595,0.4595404595404595,False,True,3.1573549752389796
4428,POST_NREM,29629.32195,29629.46695,0.14500000000043656,7,22,44,rightward,0.4467502387217648,-0.3114406693203587,-3.028027649722632,0.37462537462537465,0.5654345654345654,0.5654345654345654,False,False,3.028027649722632
4429,POST_NREM,29631.56195,29631.90695,0.34500000000116415,17,49,126,rightward,0.6474971097869204,0.4967340357024543,2.341774312138868,0.005994005994005994,0.015984015984015984,0.015984015984015984,True,True,2.341774312138868
4430,POST_NREM,29633.24695,29633.33195,0.08499999999912689,4,15,19,rightward,0.7443431877621655,0.31954053159662316,4.258354546168739,0.3246753246753247,0.4985014985014985,0.4985014985014985,False,True,4.258354546168739
4431,POST_NREM,29633.54195,29633.64195,0.10000000000218279,5,15,23,rightward,0.5424118226678946,0.32506092553283455,5.413023072332663,0.5994005994005994,0.7522477522477522,0.7522477522477522,False,True,5.413023072332663
4432,POST_NREM,29641.98195,29642.16195,0.18000000000029104,9,21,34,leftward,0.1507744225773468,0.27175182128102787,2.853795814337766,0.4075924075924076,0.5334665334665335,0.5334665334665335,False,False,2.853795814337766
4433,POST_NREM,29643.89195,29644.00195,0.11000000000058208,5,15,26,leftward,0.3476481395210685,0.657699658569523,12.818189297642133,0.002997002997002997,0.1928071928071928,0.1928071928071928,False,False,12.818189297642133
4434,POST_NREM,29648.75695,29649.16695,0.4099999999998545,20,41,84,rightward,0.6970684651314711,0.36406549373935404,1.4518908988852237,0.005994005994005994,0.03396603396603397,0.03396603396603397,True,True,1.4518908988852237
4435,POST_NREM,29649.97695,29650.46695,0.4900000000016007,24,53,117,leftward,0.6243268505291196,0.21016163559837994,0.763898349755691,0.2097902097902098,0.2887112887112887,0.2887112887112887,False,False,0.763898349755691
4436,POST_NREM,29650.62195,29650.84195,0.22000000000116415,11,24,50,rightward,0.337828259891484,-0.3455632643133026,-2.4161946957990743,0.17582417582417584,0.27972027972027974,0.27972027972027974,False,False,2.4161946957990743
4437,POST_NREM,29653.19695,29653.29195,0.09499999999752617,5,16,21,leftward,0.3273457916841297,0.3623116767253834,6.378116026082918,0.15184815184815184,0.4165834165834166,0.4165834165834166,False,False,6.378116026082918
4438,POST_NREM,29655.12195,29655.46695,0.34500000000116415,17,50,105,rightward,0.3676651833830015,0.4175744453569233,2.1871548639971246,0.056943056943056944,0.11888111888111888,0.11888111888111888,False,True,2.1871548639971246
4439,POST_NREM,29656.69195,29656.91695,0.2249999999985448,11,32,54,leftward,0.5473150410490667,-0.4041272898454776,-3.5701169372621906,0.12787212787212787,0.26373626373626374,0.26373626373626374,False,True,3.5701169372621906
4440,POST_NREM,29674.33195,29674.52195,0.18999999999869033,9,33,46,rightward,0.40782815802352257,-0.46680315087885277,-3.8999209939315236,0.07092907092907093,0.22477522477522477,0.22477522477522477,False,False,3.8999209939315236
4441,POST_NREM,29675.01195,29675.18195,0.16999999999825377,8,22,41,leftward,0.6005224619616208,-0.554903689023266,-4.766960761908823,0.027972027972027972,0.12087912087912088,0.12087912087912088,False,True,4.766960761908823
4442,POST_NREM,29677.42695,29677.67695,0.25,12,25,47,rightward,0.4829803871892843,-0.40984099897962417,-2.975153972032867,0.05094905094905095,0.14085914085914086,0.14085914085914086,False,False,2.975153972032867
4443,POST_NREM,29680.91695,29681.22195,0.30500000000029104,15,40,72,leftward,0.6407250742265506,-0.251799123482211,-1.438270588754238,0.15284715284715283,0.3646353646353646,0.3646353646353646,False,True,1.438270588754238
4444,POST_NREM,29682.73695,29682.93695,0.2000000000007276,10,25,46,rightward,0.5490450872427817,0.22736557051582437,2.324122193282342,0.4165834165834166,0.6393606393606394,0.6393606393606394,False,True,2.324122193282342
4445,POST_NREM,29688.67695,29688.76695,0.09000000000014552,4,21,27,rightward,0.6473853964697599,-0.3788625827171307,-6.45797171246284,0.21878121878121878,0.3116883116883117,0.3116883116883117,False,False,6.45797171246284
4446,POST_NREM,29696.79695,29697.03195,0.23500000000058208,12,40,90,rightward,0.3938786629623154,-0.22876522489762155,-1.3964857850993775,0.3926073926073926,0.5894105894105894,0.5894105894105894,False,False,1.3964857850993775
4447,POST_NREM,29702.48195,29702.60195,0.11999999999898137,6,19,30,rightward,0.17706287003254698,0.10987254877126199,1.3512010135271226,0.8891108891108891,0.9150849150849151,0.9150849150849151,False,True,1.3512010135271226
4448,POST_NREM,29705.57695,29705.67695,0.10000000000218279,5,17,24,rightward,0.6907039053761094,0.25682558112635157,3.978917055296847,0.5794205794205795,0.7962037962037962,0.7962037962037962,False,True,3.978917055296847
4449,POST_NREM,29705.82195,29705.93695,0.11499999999796273,6,19,25,leftward,0.644609551960639,0.23994881434854617,3.8835277182075068,0.44955044955044954,0.7192807192807192,0.7192807192807192,False,False,3.8835277182075068
4450,POST_NREM,29713.63195,29713.93195,0.2999999999992724,15,32,59,leftward,0.42410189919173413,-0.16006010096592166,-0.8468831987878723,0.5894105894105894,0.7082917082917083,0.7082917082917083,False,True,0.8468831987878723
4451,POST_NREM,29721.11195,29721.28695,0.17500000000291038,9,22,37,rightward,0.6507509945701865,-0.032337824807719906,-0.21235343935134685,0.984015984015984,0.987012987012987,0.987012987012987,False,False,0.21235343935134685
4452,POST_NREM,29730.94695,29731.23195,0.2849999999998545,14,36,56,leftward,0.5491745482869338,-0.40048291933895497,-2.46361627305757,0.07092907092907093,0.09090909090909091,0.09090909090909091,False,True,2.46361627305757
4453,POST_NREM,29743.54695,29743.69195,0.14500000000043656,7,20,30,rightward,0.633181676059557,0.6187954511414266,9.66621893473028,0.03796203796203796,0.11788211788211789,0.11788211788211789,False,True,9.66621893473028
4454,POST_NREM,29745.83695,29746.00695,0.16999999999825377,8,35,61,leftward,0.526638767142326,0.4199106386218763,4.5999590776407056,0.24875124875124874,0.31368631368631367,0.31368631368631367,False,False,4.5999590776407056
4455,POST_NREM,29844.00195,29844.21695,0.21500000000014552,11,30,46,leftward,0.713032885816174,0.286100633259517,1.9161609219162639,0.3106893106893107,0.2947052947052947,0.3106893106893107,False,False,1.9161609219162639
4456,POST_NREM,29847.36695,29847.67695,0.3100000000013097,15,40,67,leftward,0.5031163994271499,0.29104109765534,1.9040572982092865,0.16783216783216784,0.3156843156843157,0.3156843156843157,False,False,1.9040572982092865
4457,POST_NREM,29852.31195,29852.55695,0.24499999999898137,12,39,77,rightward,0.8513260476851752,0.7088997476123722,4.559244004382805,0.001998001998001998,0.006993006993006993,0.006993006993006993,True,True,4.559244004382805
4458,POST_NREM,29854.71195,29854.97195,0.2599999999983993,13,27,62,leftward,0.5657520026507638,-0.34212134819138823,-1.8475173326483214,0.06693306693306693,0.23176823176823177,0.23176823176823177,False,True,1.8475173326483214
4459,POST_NREM,29861.04695,29861.19195,0.14500000000043656,7,15,25,leftward,0.41623662946596013,0.49730140889715474,5.2664374057654,0.030969030969030968,0.04295704295704296,0.04295704295704296,True,False,5.2664374057654
4460,POST_NREM,29865.12195,29865.22695,0.10499999999956344,5,21,31,rightward,0.23411078539792501,0.09988790827086397,1.5567835740865426,0.9300699300699301,0.8941058941058941,0.9300699300699301,False,True,1.5567835740865426
4461,POST_NREM,29874.02695,29874.16695,0.13999999999941792,7,21,27,rightward,0.47599320518224225,-0.12359159398164668,-1.5041670731560004,0.7852147852147852,0.8761238761238761,0.8761238761238761,False,False,1.5041670731560004
4462,POST_NREM,29877.11695,29877.29695,0.18000000000029104,9,23,41,leftward,0.4727483925725679,0.48556035980853296,4.174880482489809,0.03196803196803197,0.12887112887112886,0.12887112887112886,False,False,4.174880482489809
4463,POST_NREM,29877.53695,29877.78695,0.25,12,33,52,rightward,0.3895524062500206,0.32249189741819206,2.226894837271099,0.14985014985014986,0.31368631368631367,0.31368631368631367,False,True,2.226894837271099
4464,POST_NREM,29877.85195,29877.99195,0.13999999999941792,7,20,29,leftward,0.40221512187050273,0.2593808238438957,3.3308922019652085,0.44155844155844154,0.6603396603396603,0.6603396603396603,False,False,3.3308922019652085
4465,POST_NREM,29881.24195,29881.34695,0.10499999999956344,5,16,24,leftward,0.6800490144083586,0.7157053962682265,11.069258528103573,0.002997002997002997,0.1008991008991009,0.1008991008991009,False,False,11.069258528103573
4466,POST_NREM,29892.53695,29892.72695,0.18999999999869033,9,21,44,rightward,0.7171670665087783,-0.42612590225943836,-3.8141950505360116,0.06393606393606394,0.23876123876123875,0.23876123876123875,False,False,3.8141950505360116
4467,POST_NREM,29895.52195,29895.60695,0.08500000000276486,4,11,22,leftward,0.6801140101126368,0.05785297930041056,0.8791212030033123,0.9660339660339661,0.987012987012987,0.987012987012987,False,False,0.8791212030033123
4468,POST_NREM,29896.21695,29896.32695,0.1099999999969441,5,15,25,rightward,0.28169033667553073,0.2737459822302967,4.732233265276755,0.43356643356643354,0.7482517482517482,0.7482517482517482,False,True,4.732233265276755
4469,POST_NREM,29896.34695,29896.42695,0.08000000000174623,4,15,19,rightward,0.3581533738645333,-0.7688803824167592,-13.948568098686192,0.000999000999000999,0.08091908091908091,0.08091908091908091,False,False,13.948568098686192
4470,POST_NREM,29897.72695,29897.98195,0.25500000000101863,13,32,64,leftward,0.6736464080254964,0.1141508499060312,0.6373395606540008,0.7842157842157842,0.8431568431568431,0.8431568431568431,False,False,0.6373395606540008
4471,POST_NREM,29900.20195,29900.38195,0.18000000000029104,9,20,34,rightward,0.45830834434792983,0.28378714795657833,2.7268208162590324,0.23776223776223776,0.4115884115884116,0.4115884115884116,False,True,2.7268208162590324
4472,POST_NREM,29901.79695,29902.08695,0.2900000000008731,14,42,70,leftward,0.5004053780762766,-0.2021776623882777,-1.2305911560960907,0.2937062937062937,0.4985014985014985,0.4985014985014985,False,True,1.2305911560960907
4473,POST_NREM,29908.92695,29909.02195,0.09499999999752617,5,19,31,rightward,0.5792684154062572,0.2725478592567468,3.755576481842733,0.4745254745254745,0.7692307692307693,0.7692307692307693,False,True,3.755576481842733
