uid,n_spikes,R,pref_phase,p_rayleigh,cell_type,location,significant,R_null_mean,p_shuffle
96,625,0.09181473287402524,-1.724319513290156,0.005150220586182191,excitatory,lCA1,True,0.045435721798579506,0.0891089108910891
97,43149,0.14834208231082047,1.9430056896711088,0.0,inhibitory,lCA1,True,0.0064324325214425845,0.009900990099009901
98,293,0.10233159039838571,2.9671743726738975,0.0465036703481907,excitatory,lCA1,True,0.06144292655421642,0.0891089108910891
101,2143,0.10181634150394576,-1.9499850494048037,2.2485757091895118e-10,excitatory,lCA1,True,0.022472066179530136,0.009900990099009901
103,1425,0.056188562250434435,-2.963863760779254,0.011120720466856047,excitatory,lCA1,True,0.02545353880788269,0.04950495049504951
107,43463,0.20979675896028602,1.4545863927449965,0.0,inhibitory,lCA1,True,0.006674321486305502,0.009900990099009901
109,706,0.08708609794581308,-1.4467787746658496,0.004727797406450202,excitatory,lCA1,True,0.04151467416999072,0.0891089108910891
110,302,0.2084773239195837,-2.1855719470430053,1.9932103741556474e-06,excitatory,lCA1,True,0.06307403011460823,0.009900990099009901
111,150,0.17004126438767755,0.6703667674279803,0.013074327045070078,excitatory,lCA1,True,0.09030756623752786,0.04950495049504951
112,3085,0.0501023495646242,-3.132332501139269,0.00043328833217664794,excitatory,lCA1,True,0.02144076458806532,0.009900990099009901
113,3047,0.007969649929454706,-0.9524568374604507,0.8240441420701071,excitatory,lCA1,False,0.021264357021279757,0.900990099009901
114,1014,0.1461322219266695,-2.5455697852352923,3.9442541594760694e-10,excitatory,lCA1,True,0.03344673000982977,0.009900990099009901
116,1854,0.10572747422438117,-1.9401310521745814,9.987006956963628e-10,excitatory,lCA1,True,0.0238739206270384,0.009900990099009901
117,495,0.05756684384057031,-1.4183113801870797,0.19390226270987196,excitatory,lCA1,False,0.06369298772709148,0.504950495049505
118,1324,0.15478894052892067,-1.8641825306730904,1.6713966130858246e-14,excitatory,lCA1,True,0.030435656120784697,0.009900990099009901
120,1425,0.10248764823584906,-2.5709139989565153,3.1591324306913444e-07,excitatory,rCA1,True,0.03211218568215249,0.009900990099009901
121,2659,0.10287871297760029,-2.6844540518579705,5.993476005636886e-13,excitatory,rCA1,True,0.022250107168197045,0.009900990099009901
123,916,0.02917397285491141,-0.9327565659188618,0.45857723316585575,excitatory,rCA1,False,0.037050340532549894,0.594059405940594
125,1987,0.20151144757257916,-1.429148911293886,9.090460506882745e-36,excitatory,rCA1,True,0.024589339601583503,0.009900990099009901
126,812,0.09099499717071025,-2.2537542501660086,0.0012024036520866727,excitatory,rCA1,True,0.04338608722345379,0.0594059405940594
129,1996,0.04476474751147786,-2.375674767177628,0.01832022370106901,excitatory,rCA1,True,0.022821510500212708,0.0594059405940594
135,9921,0.25435735192321135,-2.158767771523042,1.7432156932639913e-279,inhibitory,rCA1,True,0.011322029541646043,0.009900990099009901
136,27666,0.4296851078803395,-1.7270826505459806,0.0,inhibitory,rCA1,True,0.010030905954662377,0.009900990099009901
137,1678,0.06966529833432392,-2.6801177883157075,0.0002905427411201614,excitatory,rCA1,True,0.026191610177683997,0.009900990099009901
140,14690,0.16844105566651332,1.771851121874517,9.777551323038928e-182,inhibitory,rCA1,True,0.00856262287355356,0.009900990099009901
143,1081,0.11394884357666651,1.9507753751813823,8.020696338425989e-07,excitatory,rCA1,True,0.03946570237509309,0.009900990099009901
144,186,0.11669927606152504,-2.973367073876192,0.07941388021701992,excitatory,rCA1,False,0.07436780381114898,0.12871287128712872
145,1333,0.19496253249039194,-2.814679107921406,9.890834317650813e-23,excitatory,rCA1,True,0.030501958063391135,0.009900990099009901
146,2105,0.12931937722882167,-0.9626400857933887,5.146882517021664e-16,excitatory,rCA1,True,0.023609295159536317,0.009900990099009901
147,112,0.21016389100358002,-1.8907067641715225,0.007105313168838544,excitatory,rCA1,True,0.0933395241008297,0.019801980198019802
148,1513,0.5252106620606812,-1.735605828260667,5.5573784625975747e-182,excitatory,rCA1,True,0.024787509949291055,0.009900990099009901
151,2474,0.20490170734341268,-1.9343111287126995,7.758139486780216e-46,excitatory,rCA1,True,0.022361267328134635,0.009900990099009901
161,1995,0.022643893168793366,-0.2833273365691478,0.3595406386060275,excitatory,rCA1,False,0.025042249080451873,0.5148514851485149
163,1132,0.11091710760604129,-1.8936180504697322,8.94904715051122e-07,excitatory,rCA1,True,0.030694199415156623,0.009900990099009901
168,24623,0.4414380772945621,-1.7750849818541148,0.0,inhibitory,rCA1,True,0.010475053018370073,0.009900990099009901
169,436,0.23182569263150246,-2.0121154995450943,6.662014083655711e-11,excitatory,rCA1,True,0.06803428588368376,0.009900990099009901
