session,maze,unit,direction,location,peak_rate,spatial_info,field_start,field_stop,field_peak,field_width,n_spikes_field,pref_phase,mrl,mrl_jitter,p_rayleigh,slope,phi0,rho,p_circlin,p_shuffle
Cicero-09012014,1.6mLinearMazeLinearizedPosition,56,1,rCA1,2.2138566536690027,0.3642143680703668,2.0,26.0,2.0,24.0,68,63.02998802236853,0.36405700023803733,0.08857826299297629,9.518468323181893e-05,1.13,0.43584698586713455,0.10551407543384887,0.3887774680861673,0.4435564435564436
Cicero-09012014,1.6mLinearMazeLinearizedPosition,60,1,rCA1,3.7336124376428197,0.5603776733557607,110.0,158.0,146.0,48.0,100,228.0356859446782,0.18910040237849313,0.10709742331402754,0.02759367629971658,-0.73,-0.07121251380698962,-0.5585581534163091,3.3682967970349864e-08,0.000999000999000999
Cicero-09012014,1.6mLinearMazeLinearizedPosition,61,1,rCA1,9.154286540374377,0.48694090259509965,58.0,122.0,86.0,64.0,396,78.67223320247055,0.1730891720238391,0.04853994434494077,6.530558464388941e-06,-0.5499999999999998,3.107089818492313,-0.16737868627025462,0.0009736823858312871,0.000999000999000999
Cicero-09012014,1.6mLinearMazeLinearizedPosition,65,1,rCA1,8.881820800528418,1.2450880013039725,138.0,158.0,158.0,20.0,105,207.43146320171772,0.10651965709447173,0.08286781498125224,0.3045012486431054,-0.7199999999999998,-0.42124425354915135,-0.5868770165726226,2.1783148618226278e-09,0.000999000999000999
Cicero-09012014,1.6mLinearMazeLinearizedPosition,66,1,rCA1,5.860710815683562,0.9711643590873232,62.0,106.0,86.0,44.0,214,129.11328082225498,0.1523274047273956,0.056642816716854394,0.00685386279883449,-0.5499999999999998,-2.457448514819378,-0.346397620189283,2.3183915542901445e-07,0.000999000999000999
Cicero-09012014,1.6mLinearMazeLinearizedPosition,72,1,rCA1,3.153944159485582,0.30573100661465824,98.0,158.0,142.0,60.0,101,223.89719341545683,0.1509696078245851,0.0935092261866502,0.09988798451981039,0.1299999999999999,-3.0436748651108707,0.009661174780493175,0.9238127478801481,0.962037962037962
Cicero-09012014,1.6mLinearMazeLinearizedPosition,1,-1,lCA1,2.495257507632776,0.6682121173167771,102.0,158.0,118.0,56.0,173,263.8596897983275,0.5907095038670632,0.07055717118600029,1.2156959836318679e-29,-0.25,-1.1096457108676703,-0.3076065899301875,0.00015134695660656838,0.000999000999000999
Cicero-09012014,1.6mLinearMazeLinearizedPosition,2,-1,lCA1,1.3416448413297035,0.39018715134727683,102.0,158.0,138.0,56.0,82,271.6506583637075,0.29536198224203225,0.1022856080147474,0.0006958362377792955,-0.31999999999999984,-0.9834832677853029,-0.07513486385945804,0.516025832775806,0.4975024975024975
Cicero-09012014,1.6mLinearMazeLinearizedPosition,4,-1,lCA1,5.271309848366363,0.652364587191224,2.0,26.0,2.0,24.0,89,278.31155344628866,0.5015896437259572,0.10870908847846814,4.358338683304154e-11,-0.10000000000000009,-1.035489359226744,-0.1027163646750814,0.3510913945862342,0.31868131868131866
Cicero-09012014,1.6mLinearMazeLinearizedPosition,16,-1,lCA1,8.483196742119693,0.5304877419444483,90.0,150.0,130.0,60.0,489,189.91055404975256,0.06129683564612558,0.036513776700829816,0.15926787153082392,1.1100000000000003,-2.595468064149956,-0.22883826683352762,4.209579849145939e-07,0.000999000999000999
Cicero-09012014,1.6mLinearMazeLinearizedPosition,21,-1,lCA1,4.634671043029508,1.6190830467872779,2.0,18.0,2.0,16.0,38,161.82229107126986,0.3551506583245082,0.16267787415822405,0.00755327702120376,,,,,
Cicero-09012014,1.6mLinearMazeLinearizedPosition,23,-1,lCA1,1.051702957388975,0.4920824577015125,2.0,54.0,18.0,52.0,34,229.2033175038203,0.5890420277108568,0.15730851772329113,2.7161419263767894e-06,,,,,
Cicero-09012014,1.6mLinearMazeLinearizedPosition,26,-1,lCA1,1.736469542056102,0.3562172870837962,2.0,110.0,18.0,108.0,111,171.57716156293088,0.24864488099779564,0.07798316475305005,0.0009685581128921077,-0.04999999999999982,-3.1390446682850017,-0.03321908780390486,0.7244105057744843,0.7412587412587412
