session,unit,direction,n_spikes,peak_rate,spatial_info,field_start,field_end,field_width,slope_deg,phase_offset_deg,rho,p_asym,p_shuf,significant,precessing
Achilles-10252013,270,R,115,5.334257366472005,0.5788663952483696,0.25960908398086857,0.7388873928686258,0.47927830888775724,270.0,207.2181077870955,-0.0023088132457208623,0.9801905987015249,0.9820359281437125,False,False
Achilles-10252013,7,L,140,6.557596176250942,0.6582166924406955,0.09984964768494944,0.6190678156466864,0.519218167961737,-360.0,154.89466976358148,-0.4023999526400429,3.920311120619857e-06,0.001996007984031936,True,True
Achilles-10252013,12,L,72,3.19194951120158,0.4966421067336639,0.4593083793507674,0.9385866882385246,0.47927830888775724,-381.6,11.58182655789708,-0.023420012321054146,0.8381923799372961,0.8562874251497006,False,False
Achilles-10252013,23,L,87,5.9722032401820275,0.8466067583244596,0.3794286612028078,0.698947533794646,0.3195188725918382,-340.2,314.72013397619315,-0.303645803129774,0.0034715112819707628,0.02594810379241517,True,True
Achilles-10252013,27,L,273,11.765785104456643,0.718670970016508,0.179729365832909,0.7788272519426056,0.5990978861096966,80.10000000000005,163.67472484564635,0.14170569389205556,0.019835406035966452,0.031936127744510975,True,False
Achilles-10252013,33,L,109,11.843670000407638,0.4693046533568956,0.09984964768494944,0.29954894305484836,0.19969929536989892,-58.49999999999995,283.5431454679762,-0.2406021789569993,0.009752326217014495,0.005988023952095809,True,True
Achilles-10252013,51,L,227,16.193599204836712,1.3086890769183788,0.539188097498727,0.898646829164545,0.359458731665818,-137.70000000000002,181.98144324516645,-0.3342427173816822,1.0088870061597532e-06,0.001996007984031936,True,True
Achilles-10252013,57,L,583,38.22764419281368,0.9094320291316235,1.1382859836084236,1.4977447152742416,0.359458731665818,-156.60000000000002,165.1543978181024,-0.3381199587589209,4.440892098500626e-16,0.001996007984031936,True,True
Achilles-10252013,58,L,166,8.689175866314724,0.9716165386431839,0.3394888021288281,0.8187671110165854,0.4792783088877573,-233.1,295.22614373204203,-0.6104708711851246,6.94999613415348e-13,0.001996007984031936,True,True
Achilles-10252013,82,L,238,9.606542580096376,0.8595099445687843,0.4193685202767876,1.0184664063864843,0.5990978861096967,-146.7,308.4486736730748,-0.2837021353476032,1.304881588559681e-05,0.001996007984031936,True,True
Achilles-10252013,101,L,386,19.922260811153315,0.9962533884863972,0.09984964768494944,0.5791279565727068,0.47927830888775735,-110.69999999999996,295.59838918627275,-0.17859824611377711,0.0003721260054034836,0.001996007984031936,True,True
Achilles-10252013,103,L,67,5.479156983110119,0.592467596887855,1.058406265460464,1.4977447152742416,0.43933844981377757,-30.599999999999987,154.06027693967715,-0.09633916917696643,0.4240557019997908,0.46107784431137727,False,False
Achilles-10252013,112,L,300,34.23065053544053,2.258043335559747,0.09984964768494944,0.29954894305484836,0.19969929536989892,-79.19999999999999,266.80127982029666,-0.18115182870520624,0.0016698399658703345,0.003992015968063872,True,True
Achilles-10252013,114,L,224,12.584974699227605,1.502094870766042,1.1382859836084236,1.4977447152742416,0.359458731665818,-190.8,237.96233744203477,-0.37885573899714226,2.6811423303740867e-08,0.001996007984031936,True,True
Achilles-10252013,116,L,153,8.956823283397217,0.7178582506482587,0.09984964768494944,0.4593083793507674,0.359458731665818,-278.1,311.1403929697288,0.03471858041220932,0.661520539561061,0.6946107784431138,False,False
Achilles-10252013,123,L,646,28.085318217836623,0.589803318243988,0.1397895067589292,0.7388873928686258,0.5990978861096966,-310.5,338.1094210037106,-0.28486315151151587,1.7896795156957523e-13,0.001996007984031936,True,True
Achilles-10252013,137,L,594,24.242084709303626,0.568095100055028,0.3394888021288281,0.9785265473125044,0.6390377451836764,-313.19999999999993,330.37906493720584,-0.535531773512768,0.0,0.001996007984031936,True,True
Achilles-10252013,143,L,72,4.934282397918999,1.4300125082888482,0.4593083793507674,0.8187671110165854,0.359458731665818,212.39999999999995,256.2645999433895,0.2202219969826794,0.08302561937865383,0.07584830339321358,False,False
Achilles-10252013,145,L,451,21.874731586370395,1.2619507425978078,1.0184664063864843,1.4977447152742416,0.47927830888775724,-223.19999999999996,310.499968615149,-0.5449148002802907,0.0,0.001996007984031936,True,True
Achilles-10252013,148,L,70,2.7415959927113223,0.5211609475456503,0.1397895067589292,0.8187671110165854,0.6789776042576562,3.600000000000083,252.95535306704323,0.008500030996523735,0.9433902309871696,0.936127744510978,False,False
Achilles-10252013,163,L,142,5.684954774941178,0.4330164745520122,0.8187671110165854,1.4977447152742416,0.6789776042576562,-196.2,304.979560887414,-0.13697386305480178,0.11487947989817782,0.09181636726546906,False,False
Achilles-10252013,173,L,419,19.528589278112438,1.151630698002871,0.3794286612028078,0.898646829164545,0.5192181679617371,-247.49999999999997,292.94916023368006,-0.6527797744116574,0.0,0.001996007984031936,True,True
Achilles-10252013,179,L,739,38.62829925445518,0.8256029818978302,0.9385866882385246,1.457804856200262,0.5192181679617373,-274.5,306.5818973884869,-0.4648921271654774,0.0,0.001996007984031936,True,True
Achilles-10252013,182,L,726,32.40540452206043,0.8436385792592092,0.7388873928686258,1.3379852789783226,0.5990978861096968,-273.59999999999997,312.5032275981737,-0.333977178797109,0.0,0.001996007984031936,True,True
Achilles-10252013,203,L,97,7.926080679240213,1.1643876877655346,0.09984964768494944,0.3794286612028078,0.2795790135178584,-81.9,272.0154114892587,-0.18859482754845927,0.07191663276742499,0.06387225548902195,False,False
Achilles-10252013,215,L,307,18.495222819166926,1.3617955794275494,1.098346124534444,1.4977447152742416,0.39939859073979767,-92.70000000000002,172.37920030326876,-0.1260331241908952,0.024596940262261002,0.02594810379241517,True,True
Achilles-10252013,229,L,116,5.790950016109759,1.0890979102467213,0.4992482384247472,0.9785265473125044,0.47927830888775724,-178.19999999999996,230.013208947829,-0.2813613599471249,0.0023643317713823997,0.001996007984031936,True,True
Achilles-10252013,238,L,302,14.114308586242858,1.0240823760714184,0.4992482384247472,1.058406265460464,0.5591580270357168,-236.7,297.91771670198136,-0.5124449968030445,0.0,0.001996007984031936,True,True
Achilles-10252013,240,L,290,13.119054741232187,0.5376104980579539,0.4193685202767876,0.9785265473125044,0.5591580270357168,-256.5,296.48303624418213,-0.23959512111434614,6.024063642340316e-05,0.001996007984031936,True,True
