session,unit,cell_type,mrl,pref_phase,rayleigh_p,entrained
Achilles-10252013,202,excitatory,0.17745249824193488,287.17971106012874,8.892986603301294e-08,True
Achilles-10252013,203,excitatory,0.07340522626035872,257.8487792973325,0.32465801685950063,False
Achilles-10252013,204,excitatory,0.13324482989798492,85.89023672896846,0.08459169416445406,False
Achilles-10252013,214,inhibitory,0.17692231463072564,175.17399794063232,0.023788959406575542,False
Achilles-10252013,215,excitatory,0.16680340716356487,128.78347189044067,3.3901019742361165e-06,True
Achilles-10252013,216,excitatory,0.34164755512062095,49.73741084867769,1.541746770054403e-08,True
Achilles-10252013,219,excitatory,0.05150492338492506,84.87379266880164,0.567371439648837,False
Achilles-10252013,220,excitatory,0.1369116137701385,289.26314551041986,0.04108093858676198,False
Achilles-10252013,222,excitatory,0.12736303197260704,256.17748568906217,0.0720484528780343,False
Achilles-10252013,225,excitatory,0.4069526320787864,260.20557800959034,4.79160038265467e-05,True
Achilles-10252013,229,excitatory,0.15677313443155266,142.7491417908216,0.018889201350870813,False
Achilles-10252013,238,excitatory,0.25220757266346366,200.16476097872547,7.079198012754807e-11,True
Achilles-10252013,240,excitatory,0.1922706907603813,256.4221946245292,3.210971853321206e-11,True
Achilles-10252013,242,excitatory,0.08264584329019321,170.65996581602883,0.3695324666656138,False
Achilles-10252013,250,inhibitory,0.3250094247703052,80.17267745048851,0.0,True
Achilles-10252013,253,excitatory,0.13725743234356336,231.357247798174,0.3772471674885448,False
Achilles-10252013,255,excitatory,0.2267907035615964,149.94761334714374,0.045037753468402233,False
Achilles-10252013,256,inhibitory,0.4439282899082203,109.36392524224271,7.996280737949628e-110,True
Achilles-10252013,257,excitatory,0.13096720995145777,219.12448341090567,0.00041895612994103645,True
Achilles-10252013,258,excitatory,0.15751475181152377,284.1859621323795,3.0405787988807956e-09,True
Achilles-10252013,259,excitatory,0.07580048798623293,193.04851221914615,0.0012734931818339703,True
Achilles-10252013,263,excitatory,0.3735769351725359,144.05389191720283,1.3067927839099494e-07,True
Achilles-10252013,267,inhibitory,0.25188261912896287,123.91771028970477,2.3505272758556204e-18,True
Achilles-10252013,268,excitatory,0.11072588982686495,89.72109170833166,0.002096613699271171,True
Achilles-10252013,270,excitatory,0.19233729368664096,254.72289077427513,0.0026893600961928176,True
Achilles-10252013,271,excitatory,0.15678008939922514,296.9932429402082,0.28679668206247383,False
Achilles-10252013,272,excitatory,0.0803111481725063,132.54539648456694,0.6179767013059555,False
Gatsby-08022013,2,inhibitory,0.14369083448595465,144.41857614189095,5.135136853669303e-64,True
Gatsby-08022013,3,inhibitory,0.14951639796814953,116.91268279166302,8.128510605981418e-61,True
Gatsby-08022013,5,excitatory,0.07389044923234016,141.6051173878938,0.5932548715579639,False
Gatsby-08022013,6,inhibitory,0.22726183353513693,92.28963672256313,3.799179803021638e-07,True
Gatsby-08022013,8,excitatory,0.12149784537513837,182.5205295041771,7.719618386845384e-06,True
Gatsby-08022013,10,excitatory,0.11029492512027203,218.4131810596623,0.06078699053433326,False
Gatsby-08022013,11,excitatory,0.12840952936719535,78.41646596761346,0.0005482457151907104,True
Gatsby-08022013,12,inhibitory,0.6413254583824932,257.64000958827,0.0,True
Gatsby-08022013,13,inhibitory,0.17305923566209952,92.37277093780708,7.4066514660234295e-155,True
Gatsby-08022013,14,excitatory,0.27295170547611547,111.87712082362957,0.02332640818462509,False
Gatsby-08022013,15,excitatory,0.2813093498542834,323.16300936498993,3.66622685463379e-07,True
Gatsby-08022013,17,excitatory,0.09812209233735877,197.16497772399939,4.22866516981371e-05,True
Gatsby-08022013,18,excitatory,0.20203922179789396,168.9995894782552,0.00022644593286816816,True
Gatsby-08022013,19,excitatory,0.33259212687602335,157.12597422795943,1.3723416567113148e-28,True
Gatsby-08022013,20,excitatory,0.14744489884013914,326.02173119880337,0.006206072280636323,True
Gatsby-08022013,21,excitatory,0.0920920218274622,302.7601165673158,2.566407212622755e-08,True
Gatsby-08022013,22,excitatory,0.30261459065369767,41.52024497178622,9.653963945103798e-12,True
Gatsby-08022013,23,excitatory,0.131499895777412,212.38425239086934,0.008803378863009529,True
Gatsby-08022013,24,excitatory,0.06407938651492137,173.34215484228216,0.5896718609126194,False
Gatsby-08022013,25,inhibitory,0.1613642182311076,183.43983706248713,4.8067761421165914e-51,True
Gatsby-08022013,28,excitatory,0.09876563734946704,233.6834330879296,0.1583026023132746,False
Gatsby-08022013,29,excitatory,0.11049251228761625,223.6110624784026,2.590039894615831e-08,True
Gatsby-08022013,30,excitatory,0.20402699879183453,209.49156575159483,3.96960738089637e-14,True
Gatsby-08022013,31,excitatory,0.06024807646984574,233.79740180252634,0.8293439600840886,False
Gatsby-08022013,33,excitatory,0.1724716031898087,252.22047672559995,6.782971930296474e-21,True
Gatsby-08022013,35,inhibitory,0.08832506844430871,180.94028951703802,1.0295625953132246e-16,True
Gatsby-08022013,37,excitatory,0.38987365512380945,286.3318599309812,2.9491579594741726e-06,True
Gatsby-08022013,40,excitatory,0.025992072019383725,28.631260420244093,0.9318230505472317,False
Gatsby-08022013,41,excitatory,0.11130287002263045,182.52997864409656,3.5944056143725675e-05,True
Gatsby-08022013,42,excitatory,0.24509073875382606,232.653061247746,0.0003712520397228786,True
Gatsby-08022013,43,excitatory,0.14075198356795493,182.5986487950053,0.00042861749262612707,True
Gatsby-08022013,44,excitatory,0.16576157605918096,211.4541136287459,0.0328141164642639,False
Gatsby-08022013,47,inhibitory,0.18791930745743105,183.86691528684986,3.9413473459042464e-08,True
Gatsby-08022013,49,excitatory,0.09193824217943906,180.09111288120124,0.009437736715587548,True
Gatsby-08022013,50,excitatory,0.1068410191971729,160.95052334006738,0.0002361327334581955,True
Gatsby-08022013,53,excitatory,0.07644651086096672,169.65291716107888,0.0009364596794072483,True
Gatsby-08022013,54,excitatory,0.1917791127810489,138.47669383864377,0.02995835005555979,False
Gatsby-08022013,58,inhibitory,0.20999145250839568,175.10122883730213,1.564389367620513e-15,True
Gatsby-08022013,60,excitatory,0.14458366629624786,246.04103557030754,0.06860960005949332,False
Gatsby-08022013,61,excitatory,0.31191830758248096,247.03389743828956,3.279928172675843e-05,True
Gatsby-08022013,63,inhibitory,0.30964909170299754,133.17798360034757,7.781414221803211e-55,True
Gatsby-08022013,64,inhibitory,0.19962400169624414,241.13108279985425,1.6417377586882924e-29,True
Gatsby-08022013,65,inhibitory,0.24720924385021906,244.71155638367617,5.1376808256592806e-95,True
Gatsby-08022013,67,inhibitory,0.3700050459105159,102.49810026927335,0.0,True
Gatsby-08022013,73,excitatory,0.09358309499642968,242.35261790126262,0.4324829470222017,False
Gatsby-08022013,74,excitatory,0.14143092065446886,143.43091965631655,0.030564156618055838,False
Gatsby-08022013,76,excitatory,0.04493067832455577,34.96971426106374,0.3376873696152359,False
Gatsby-08022013,77,excitatory,0.1275301327542579,172.4767262901439,5.6912996680290995e-11,True
Gatsby-08022013,78,excitatory,0.2722992942071101,253.44879189116625,7.657773598726723e-18,True
Buddy-06272013,2,excitatory,0.10949289570957586,346.09402377677594,1.1750780026231795e-06,True
Buddy-06272013,6,inhibitory,0.4207836344126195,25.969079587636774,0.0,True
Buddy-06272013,7,excitatory,0.09154877971953163,194.2692500867767,0.5439351874713573,False
Buddy-06272013,8,excitatory,0.13193130600000297,350.5291972388365,0.0009428329032375874,True
Buddy-06272013,12,excitatory,0.070655219693081,302.38474489017295,0.005852679906767633,True
Buddy-06272013,16,inhibitory,0.24728884376010607,270.2701758929869,1.0299873265046767e-72,True
Buddy-06272013,17,excitatory,0.17324730294620763,269.7486050383061,0.0006147562255145245,True
Buddy-06272013,18,excitatory,0.47461739025902044,24.29026733968298,2.2400311898815447e-21,True
Buddy-06272013,19,excitatory,0.3170104191116362,340.5833710294897,0.00020186559693089742,True
Buddy-06272013,20,inhibitory,0.3163443107548401,242.31452012892566,9.524375027944824e-178,True
Buddy-06272013,21,inhibitory,0.26498238980338834,243.9709515145179,2.347258102679676e-118,True
Buddy-06272013,28,excitatory,0.2587884444779363,1.3768637636988714,1.988397086775365e-07,True
Buddy-06272013,29,inhibitory,0.2940196938650908,229.90094057170614,3.009121178549778e-20,True
Buddy-06272013,30,excitatory,0.1146456291922836,22.40660449095797,0.35516054086957105,False
Buddy-06272013,31,inhibitory,0.23543954398628833,257.9556542513517,3.96463388372784e-45,True
Buddy-06272013,32,inhibitory,0.22842838098730736,244.70465405756224,1.8368101568677538e-156,True
Buddy-06272013,33,inhibitory,0.27518877132308767,225.05519683924933,4.106747668918917e-95,True
Buddy-06272013,36,excitatory,0.2976776517671761,11.717480827054011,9.049245166297889e-07,True
Buddy-06272013,38,excitatory,0.19880114489069917,4.6343083169305475,0.1332174521114784,False
Buddy-06272013,39,excitatory,0.2133284640508216,219.67996474334703,2.1523188601829135e-10,True
Buddy-06272013,42,excitatory,0.13318404092426347,171.92104969420143,0.0013586529171348914,True
Buddy-06272013,44,excitatory,0.09177368272002659,204.80600253703787,0.15815503413910875,False
