unit,cell_type,n_spikes,mrl,pref_phase,rayleigh_p,rate,entrained
168,inhibitory,4915,0.5588294307494376,254.3950179642459,0.0,29.453533191709795,True
173,excitatory,443,0.29707735097336324,173.9106894073368,4.4543581209183225e-18,2.6547131645834057,True
175,excitatory,504,0.21821645215884697,192.01827357199372,2.8884009426907952e-11,3.020260575507983,True
176,excitatory,1324,0.06321822371341744,281.4522825693751,0.005018029641215849,7.934176591215416,True
177,excitatory,332,0.25796775784000936,237.74185316968772,1.798169041667585e-10,1.9895367283108143,True
178,inhibitory,3120,0.3824762465122285,72.58504862721215,9.59282945584279e-207,18.696851181716088,True
179,excitatory,1239,0.15294549964498078,219.64587325613235,2.2053972017062015e-13,7.424807248123792,True
182,excitatory,826,0.1058768836674311,240.31977382236587,9.328642037498095e-05,4.949871498749195,True
186,excitatory,61,0.11057582140065612,274.0893580223692,0.47615009692684884,0.3655474109245773,False
201,excitatory,180,0.12704560325875416,120.05321903605774,0.0545314406836104,1.0786644912528511,False
202,excitatory,512,0.177825628664375,289.3675026201977,8.300885346500622e-08,3.0682012195636656,True
203,excitatory,209,0.07668087753349752,261.603403288286,0.29294309711883965,1.2524493259546994,False
204,excitatory,139,0.13093421610360056,87.7966080803413,0.09212273251208931,0.8329686904674795,False
214,inhibitory,119,0.17765577309251765,179.07891233716467,0.02305565610285786,0.7131170803282738,False
215,excitatory,450,0.16918451237923374,130.95367775741215,2.353906820251181e-06,2.696661228132128,True
216,excitatory,150,0.3425362704048623,52.01447245567401,1.3996443372480584e-08,0.8988870760440426,True
219,excitatory,214,0.053222830176532926,85.1661485940212,0.5459624032476038,1.2824122284895008,False
220,excitatory,170,0.13342812205536184,291.1894364321515,0.04826169637762252,1.0187386861832484,False
222,excitatory,162,0.128246569770679,257.9383565676521,0.069447113975402,0.970798042127566,False
225,excitatory,58,0.40724943859516133,263.53200346872575,4.719372254071433e-05,0.3475696694036965,True
229,excitatory,161,0.1555027748241951,145.8458255523725,0.020146839836743497,0.9648054616206058,False
238,excitatory,362,0.25365716843154484,202.21312701711997,5.3826929859806284e-11,2.169314143519623,True
240,excitatory,648,0.18995897695231165,258.74614680282536,5.751356907532535e-11,3.883192168510264,True
242,excitatory,146,0.08413955312737674,171.81090875303454,0.35633242161993695,0.8749167540162015,False
250,inhibitory,9590,0.3254639982890306,82.7913733483894,0.0,57.46884706174912,True
253,excitatory,52,0.13467679197587085,236.4250659194415,0.39126188712945076,0.3116141863619348,False
255,excitatory,60,0.2295629829661268,152.39661541710086,0.041688076496217974,0.35955483041761704,False
256,inhibitory,1209,0.445625146195535,112.0832062953619,1.0433857062549613e-110,7.245029832914984,True
257,excitatory,452,0.12896432999101395,221.97197721656374,0.0005310355586586373,2.7086463891460486,True
258,excitatory,786,0.1565490508325005,286.8386452767666,3.8700699566676176e-09,4.710168278470784,True
259,excitatory,1159,0.07457276496151696,194.78949008394667,0.0015781428984364629,6.945400807566969,True
263,excitatory,110,0.3786148994625467,149.2138324600192,8.353253774242387e-08,0.6591838557656312,True
267,inhibitory,630,0.25298635159306093,126.43237728202455,1.6358057582464964e-18,3.775325719384979,True
268,excitatory,502,0.11564302659758671,94.51117016127442,0.0011954289807683208,3.0082754144940624,True
270,excitatory,159,0.18971553078078007,258.1368359217984,0.0031614353709362606,0.9528203006066852,True
271,excitatory,51,0.1590495896972753,298.84408674711824,0.2764754241988868,0.3056216058549745,False
272,excitatory,75,0.07964680518079108,134.80643586314483,0.6229044291881449,0.4494435380220213,False
