start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
15496.312,15496.412,6,5,0.17977461021812513,0.174,0.768,0.20697247403167943,0.402,0.674,leftward,0.20697247403167943,0.402,0.674,False,False,POST
15500.1144,15500.2144,5,5,-0.26264111162363063,0.406,0.424,-0.2918866858640801,0.266,0.402,leftward,-0.2918866858640801,0.266,0.402,False,True,POST
15502.3832,15502.5784,8,9,0.18177999095667327,0.254,0.438,0.3146998660752195,0.096,0.236,leftward,0.3146998660752195,0.096,0.236,False,False,POST
15503.6212,15503.7212,6,5,0.3619516686995795,0.132,0.338,0.3516908392545438,0.138,0.5,rightward,0.3619516686995795,0.132,0.338,False,True,POST
15507.4692,15507.5692,6,5,-0.37056486466958743,0.216,0.322,0.5250055533157932,0.058,0.31,leftward,0.5250055533157932,0.058,0.31,False,False,POST
15515.5696,15515.6992,5,6,-0.017620708535169737,0.926,0.958,0.44142692407386536,0.008,0.172,leftward,0.44142692407386536,0.008,0.172,False,False,POST
15515.7852,15515.8852,6,5,-0.052162546950499794,0.902,0.918,-0.6827363123055643,0.032,0.076,leftward,-0.6827363123055643,0.032,0.076,False,True,POST
15518.68,15518.7944,5,5,-0.09209346066832642,0.536,0.758,0.005809896595190884,0.988,0.988,rightward,-0.09209346066832642,0.536,0.758,False,False,POST
15529.1808,15529.4508,7,13,0.19319750931870075,0.032,0.076,0.05566903097259885,0.608,0.744,rightward,0.19319750931870075,0.032,0.076,False,True,POST
15541.9048,15542.0336,5,6,0.06015488342520398,0.834,0.81,0.06915507238815174,0.85,0.826,leftward,0.06915507238815174,0.85,0.826,False,False,POST
15566.2748,15566.3748,5,5,0.437496484260417,0.164,0.336,-0.0888350183197526,0.878,0.862,rightward,0.437496484260417,0.164,0.336,False,True,POST
15649.4152,15649.5152,5,5,-0.04453431490361963,0.916,0.904,0.7368224765901314,0.014,0.106,leftward,0.7368224765901314,0.014,0.106,False,False,POST
15697.9416,15698.076,6,6,0.2375348109069873,0.186,0.496,0.45266050110306755,0.01,0.232,leftward,0.45266050110306755,0.01,0.232,False,False,POST
15701.3424,15701.484,8,7,-0.0019089518445208984,0.998,0.992,0.7419985598875783,0.002,0.022,leftward,0.7419985598875783,0.002,0.022,True,False,POST
15704.2536,15704.3888,8,6,0.1287421776718799,0.55,0.612,-0.20205029209102046,0.35,0.536,leftward,-0.20205029209102046,0.35,0.536,False,True,POST
16493.4704,16493.6648,7,9,-0.049541847613137305,0.756,0.74,-0.1785620073921498,0.24,0.412,leftward,-0.1785620073921498,0.24,0.412,False,True,POST
16495.848,16495.9576,5,5,0.21771677244052254,0.288,0.424,-0.024891285430597945,0.902,0.942,rightward,0.21771677244052254,0.288,0.424,False,True,POST
16502.282,16502.382,5,5,0.18583540889112185,0.162,0.198,-0.09519400968904175,0.57,0.61,rightward,0.18583540889112185,0.162,0.198,False,True,POST
16565.756,16565.8592,6,5,0.17796362750629258,0.48,0.658,-0.01191429941060734,0.97,0.98,rightward,0.17796362750629258,0.48,0.658,False,True,POST
16584.8984,16584.9984,6,5,-0.13506290691145442,0.59,0.674,0.2663229878430841,0.098,0.414,leftward,0.2663229878430841,0.098,0.414,False,False,POST
16585.0184,16585.1272,5,5,0.11702745915307317,0.686,0.764,0.35648322326543336,0.22,0.392,leftward,0.35648322326543336,0.22,0.392,False,False,POST
16614.4616,16614.564,10,5,0.1228931591292826,0.77,0.776,-0.06456560003336868,0.884,0.894,rightward,0.1228931591292826,0.77,0.776,False,True,POST
16635.1816,16635.3088,5,6,0.026708505557858364,0.902,0.924,0.06797611001815201,0.844,0.812,leftward,0.06797611001815201,0.844,0.812,False,False,POST
16645.7728,16645.9976,7,11,0.09072673976265136,0.504,0.682,-0.11199807340405205,0.332,0.708,leftward,-0.11199807340405205,0.332,0.708,False,True,POST
16649.7584,16649.9392,10,9,0.5754697868344226,0.006,0.02,0.42078171953615834,0.048,0.168,rightward,0.5754697868344226,0.006,0.02,True,True,POST
16654.9424,16655.0488,6,5,0.10318768965003915,0.8,0.806,-0.3668977723878378,0.394,0.432,leftward,-0.3668977723878378,0.394,0.432,False,True,POST
16677.3288,16677.4472,5,5,0.19631715424631194,0.496,0.484,0.2967154733965359,0.28,0.402,leftward,0.2967154733965359,0.28,0.402,False,False,POST
16705.89,16705.99,6,5,0.11779071866327243,0.714,0.744,-0.28887086991767996,0.332,0.532,leftward,-0.28887086991767996,0.332,0.532,False,True,POST
16706.0408,16706.1544,7,5,-0.0719789645088308,0.798,0.85,-0.36149780303140505,0.12,0.434,leftward,-0.36149780303140505,0.12,0.434,False,True,POST
16722.028,16722.128,5,5,0.12267483446016246,0.374,0.396,0.27214742204524084,0.08,0.076,leftward,0.27214742204524084,0.08,0.076,False,False,POST
16723.5352,16723.6408,5,5,-0.42988627387811906,0.092,0.192,0.2294496356704,0.404,0.532,rightward,-0.42988627387811906,0.092,0.192,False,False,POST
16724.3232,16724.4696,7,7,0.38436252944764504,0.09,0.102,0.3717406410224212,0.17,0.256,rightward,0.38436252944764504,0.09,0.102,False,True,POST
