start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
31618.3968,31618.4968,6,5,-0.009816757264750965,0.962,0.932,0.0420043055609233,0.858,0.7,leftward,0.0420043055609233,0.858,0.7,False,False,POST
31634.2772,31634.4712,8,9,-0.3118614616944776,0.034,0.154,-0.2472747574187667,0.18,0.35,rightward,-0.3118614616944776,0.034,0.154,False,False,POST
31637.8664,31638.0312,7,8,0.06838110695760402,0.806,0.704,0.11170793112394843,0.502,0.584,leftward,0.11170793112394843,0.502,0.584,False,False,POST
31640.6704,31640.8564,9,9,0.31964579876824895,0.062,0.098,-0.24001846274796762,0.21,0.29,rightward,0.31964579876824895,0.062,0.098,False,True,POST
31654.7624,31654.8728,5,5,0.016682573655260442,0.926,0.97,-0.5743630946131163,0.046,0.024,leftward,-0.5743630946131163,0.046,0.024,True,True,POST
31654.8756,31654.9756,5,5,0.18158229834398953,0.294,0.36,-0.2589587512016837,0.296,0.258,leftward,-0.2589587512016837,0.296,0.258,False,True,POST
31660.3072,31660.4804,12,8,-0.2633870218744847,0.18,0.232,-0.2768468182217105,0.172,0.294,leftward,-0.2768468182217105,0.172,0.294,False,True,POST
31662.578,31662.77,10,9,-0.3469594457495838,0.026,0.086,0.0355951322973041,0.866,0.874,rightward,-0.3469594457495838,0.026,0.086,False,False,POST
31664.032,31664.132,6,5,0.05687526865024045,0.812,0.868,-0.25835432892450005,0.46,0.488,leftward,-0.25835432892450005,0.46,0.488,False,True,POST
31666.212,31666.312,6,5,-0.1071542772714761,0.476,0.622,0.23229094523900976,0.292,0.35,leftward,0.23229094523900976,0.292,0.35,False,False,POST
31689.1452,31689.3104,9,8,-0.10938947659052049,0.452,0.5,-0.21270408564599153,0.198,0.264,leftward,-0.21270408564599153,0.198,0.264,False,True,POST
31694.3016,31694.4016,7,5,0.24780945879583416,0.382,0.57,0.30602582676784496,0.286,0.584,leftward,0.30602582676784496,0.286,0.584,False,False,POST
31695.3644,31695.5432,8,8,0.1614640408868232,0.522,0.53,-0.24392013885401648,0.462,0.406,leftward,-0.24392013885401648,0.462,0.406,False,True,POST
31696.0768,31696.1768,6,5,0.031002636996546422,0.882,0.828,0.050260141640663274,0.776,0.788,leftward,0.050260141640663274,0.776,0.788,False,False,POST
31699.3916,31699.4916,7,5,-0.3345389966291155,0.086,0.322,0.148270451283001,0.558,0.71,rightward,-0.3345389966291155,0.086,0.322,False,False,POST
31703.4188,31703.5188,6,5,-0.02283808143094345,0.834,0.866,-0.05684879859030309,0.674,0.708,leftward,-0.05684879859030309,0.674,0.708,False,True,POST
31708.2092,31708.3968,8,9,-0.37381514755709216,0.008,0.042,-0.16398463277752467,0.444,0.47,rightward,-0.37381514755709216,0.008,0.042,True,False,POST
31721.2544,31721.4192,8,8,-0.4561651376983963,0.004,0.024,0.2516015600358381,0.15,0.398,rightward,-0.4561651376983963,0.004,0.024,True,False,POST
31728.7552,31728.8856,7,6,-0.09400316441281562,0.718,0.656,0.2399311641380158,0.378,0.352,leftward,0.2399311641380158,0.378,0.352,False,False,POST
31742.354,31742.454,6,5,0.237413982807958,0.09,0.308,0.14208884564071705,0.502,0.63,rightward,0.237413982807958,0.09,0.308,False,True,POST
31746.9564,31747.0564,6,5,-0.011630029444036792,0.976,0.952,-0.18141274732497897,0.154,0.534,leftward,-0.18141274732497897,0.154,0.534,False,True,POST
