unit,direction,peak,si,com,stability,place_cell
215,rightward,6.30919598642982,1.0003990375770722,1.456,0.2475856668672378,False
216,rightward,7.800460492313232,1.4702815842676356,0.656,0.6162022526382249,True
217,rightward,0.6610559739248502,3.6148890623706498,1.328,,False
219,rightward,7.800460492313232,0.6296023172305059,0.112,0.0005474093606667875,False
220,rightward,9.360552590775878,1.3908413372909991,1.104,-0.18240146481735442,False
221,rightward,1.6116653909738083,1.9822997987623427,0.46399999999999997,0.003354846427731247,False
222,rightward,2.7639426941267358,0.9866718515490263,0.24,0.4126200192620836,True
225,rightward,3.5456638601423784,1.387974990197011,0.46399999999999997,0.3901586508353369,True
229,rightward,1.60834236954912,0.9203502784015218,0.752,-0.006136391362041374,False
236,rightward,1.0935224989224157,1.5662094165712128,0.56,0.04934199526588137,False
237,rightward,6.88275925792344,1.5792401325567957,1.52,0.5340463912469751,True
238,rightward,2.6592478951067835,0.8948194262543466,0.14400000000000002,0.44801662612342613,True
240,rightward,9.75057561539154,0.7854159876549659,0.72,0.5622102045879529,True
241,rightward,1.2581387890827793,2.222440448603344,0.048,0.5271375428174819,True
242,rightward,7.091327720284757,1.7402661010531177,1.488,0.3804090130178806,True
253,rightward,2.5326170429588415,1.415136229146937,1.008,0.01718777079263199,False
255,rightward,6.065318689889225,1.204489075926011,0.016,0.46478762263663376,True
257,rightward,7.384627120480357,0.3102952017545592,1.584,-0.06193321400705116,False
258,rightward,7.556696101928444,0.2623147590598384,0.112,0.06785845862470011,False
259,rightward,24.31908271132949,0.21511149346043507,0.656,0.6273507518509166,False
263,rightward,2.7858787472547255,3.0204530500936406,0.944,-0.04885275721129168,False
264,rightward,1.3221119478497003,1.2245070501568485,1.328,-0.03549756128234021,False
266,rightward,1.5600920984626465,1.8260968849144201,1.04,-0.1150598157058994,False
268,rightward,16.33221415578083,0.4028742178385699,0.112,0.41522104356480066,True
269,rightward,0.9286262490849085,1.484402947352204,0.8160000000000001,0.0904544320447543,False
270,rightward,7.514205061402655,0.9812295421738972,0.43200000000000005,0.363522647130073,True
271,rightward,2.3284956693472334,1.0264088184859312,1.232,0.33481758511816434,True
272,rightward,1.6028343477355955,0.9583451064663645,1.552,-0.1180258006791886,False
1,leftward,1.0689613915675844,2.5492416159321296,0.4,-0.06430685504398352,False
6,leftward,1.481661675653804,1.4648558782464804,1.392,-0.05673699377991791,False
7,leftward,8.461537762167506,0.6050181412085364,0.112,0.5865531881237168,True
9,leftward,14.199876114696611,2.1158674167024283,1.584,0.7178154758203759,True
11,leftward,3.040292789003909,0.6988308239070875,0.176,0.28061611996688596,False
12,leftward,4.802103482118995,0.5362513409301887,0.8160000000000001,0.2629730653228986,False
13,leftward,1.49815206714689,1.1233992210829375,1.584,-0.14494398456240606,False
16,leftward,13.770737926664767,0.7806132958867735,0.784,0.4745454346824284,True
21,leftward,2.1090319347144235,1.2243851676932853,0.688,0.23457322949275675,False
22,leftward,0.5272579836786059,3.0071342909207375,0.30400000000000005,-0.05381344365918755,False
23,leftward,8.72146735355435,1.2134731822576124,0.496,-0.03895758397753793,False
27,leftward,13.65598177727589,0.752155969694555,0.624,0.6898538219910914,True
28,leftward,0.5067154648339849,2.3762325042171217,0.176,0.0875288606014995,False
29,leftward,1.5606836316886734,2.47819574775785,0.5920000000000001,0.39348323018062165,True
33,leftward,19.508545396108417,0.8760221592658147,0.048,0.803482409187926,True
39,leftward,24.82905777686526,0.19941794709403976,0.176,0.43171672085006163,False
41,leftward,4.665086942547665,0.591204531710754,0.048,0.5874064155246889,True
43,leftward,0.5884930737890925,2.966428240067507,0.016,1.0,False
50,leftward,32.02895512793919,0.5230266987519452,0.72,0.5535183740338846,True
51,leftward,22.711440908902336,2.0935760489563173,0.72,0.733963049756384,True
52,leftward,11.327542488062953,0.22800438780667975,1.2,-0.12642897447227408,False
53,leftward,2.5525199583693254,1.0239062785486852,0.24,0.08278448023517522,False
54,leftward,8.77128397654487,0.4736144776765322,1.552,0.44750639245533774,True
55,leftward,10.811964918325147,0.437882356248639,0.112,-0.2287416698591504,False
56,leftward,1.0134309296679698,2.4923163681188347,0.176,-0.057413304596243914,False
57,leftward,43.9502861797385,1.0567731253583363,1.456,0.7187972822111128,True
58,leftward,9.884329667361598,1.4409467437975658,0.5920000000000001,0.5354783379134092,True
59,leftward,1.130930167890343,2.391722528486823,0.976,0.18256847370859666,False
60,leftward,1.5201463945019544,2.679851246763799,1.36,0.3635385939943311,True
70,leftward,2.2362736803985515,1.904780036533307,0.016,0.7959365251777258,True
74,leftward,3.1635479020716355,1.6062225535982901,0.688,0.33050641233266387,True
76,leftward,5.537909660830777,0.8299758891694351,1.52,0.5226055027937359,True
