unit,cell_type,location,si_rightward,si_z_rightward,p_rightward,peak_rate_rightward,peak_pos_rightward,mean_rate_rightward,sparsity_rightward,width_rightward,contrast_rightward,participation_rightward,stability_rightward,n_spikes_rightward,si_leftward,si_z_leftward,p_leftward,peak_rate_leftward,peak_pos_leftward,mean_rate_leftward,sparsity_leftward,width_leftward,contrast_leftward,participation_leftward,stability_leftward,n_spikes_leftward,is_place_cell
110,excitatory,lCA1,1.1062283535248312,3.0923240243519032,0.003996003996003996,1.0790984025835573,158.0,0.12968298318453814,0.2829898148018423,12.0,11.018625364930722,0.10810810810810811,0.14443944636868877,13.0,0.5790826302618485,3.487169370136682,0.01098901098901099,0.7613430044295312,158.0,0.29434508949467786,0.5857811994357199,20.0,2.8585468480581255,0.24324324324324326,0.501547191443513,27.0,False
111,excitatory,lCA1,0.8393500103389783,0.5888283683303973,0.2727272727272727,0.198571134002404,18.0,0.07457567304048525,0.5039219112477236,28.0,3.3393522759350294,0.1111111111111111,0.13860535084019357,8.0,0.6348180710429393,0.42683884715596654,0.3046953046953047,0.371719424348264,10.0,0.11738482996169547,0.5674792040292284,16.0,3.4970418202896663,0.0975609756097561,0.4071628210651117,11.0,False
112,excitatory,lCA1,2.4575334827328477,15.769385626965573,0.0,8.367933177987519,2.0,0.7999833960688397,0.1398981816025498,8.0,42.359423228153055,0.45714285714285713,0.986109071385163,72.0,2.0282779083179028,35.852120933929896,0.0,41.84109584254273,10.0,6.8749623621072775,0.20951379988788732,24.0,30.727389409594196,0.975609756097561,0.9983506664750939,650.0,True
113,excitatory,lCA1,0.7141744776376473,24.0840131064715,0.0,14.922407976982642,26.0,4.688185086471641,0.492124458073628,28.0,6.18611274505612,1.0,0.9803982040920444,472.0,0.6347907458483981,24.729056249766458,0.0,18.551517228188033,18.0,8.431110983647516,0.6029912195095726,84.0,8.942629739264154,1.0,0.9752856391579049,788.0,True
114,excitatory,lCA1,1.3192689098635113,5.46286615092623,0.0,1.6911940219545099,126.0,0.2565462269615376,0.27021811526252465,28.0,11.190128506919894,0.13157894736842105,0.9071377348769116,26.0,1.333610275134498,23.542005975119867,0.0,12.440655774652715,138.0,3.3414528262531533,0.33704813923029125,44.0,19.31429972422439,0.9512195121951219,0.9782769249412244,311.0,True
116,excitatory,lCA1,0.2961359684628044,8.486425321224333,0.0,2.0953972696651433,110.0,0.9162349640283503,0.7015746669176891,72.0,3.2153075109544886,0.7692307692307693,0.7325698116903688,91.0,0.7085109871041629,22.8856866004389,0.0,8.923266479684097,26.0,2.794647511331684,0.48319720585472886,40.0,6.438889838905518,0.8780487804878049,0.9815275634565128,260.0,True
117,excitatory,lCA1,0.49806768449735106,1.132660376032584,0.11488511488511488,0.9161901067357942,118.0,0.31277804643608187,0.604041920913401,20.0,2.6014554359277815,0.07692307692307693,-0.1048914469563058,31.0,0.8265281877391436,9.734568283892248,0.0,1.7217163499282586,22.0,0.4979498051396967,0.4493900034637884,36.0,6.498462900280233,0.5121951219512195,0.8841488118789967,46.0,False
118,excitatory,lCA1,0.41247575075266313,11.790758353974288,0.0,5.659796077913909,42.0,1.7878366524140152,0.5978215167739367,28.0,4.2401462683766855,0.7297297297297297,0.8249647401213988,179.0,0.79123438851833,24.67158082224699,0.0,16.605053080395454,90.0,5.486797816099757,0.49590863906250776,48.0,5.115101500281698,1.0,0.9795832246785947,511.0,True
120,excitatory,rCA1,2.2355834236780696,0.8873675944213448,0.15684315684315683,0.18926193614713277,10.0,0.028444818637638026,0.19529655363185344,16.0,58.732786261240776,0.05555555555555555,,3.0,1.8989150913052804,-0.5380502487699144,0.5364635364635365,0.25034373435542123,98.0,0.032933423474558646,0.22245410670613394,12.0,10.074147641144963,0.024390243902439025,,3.0,False
121,excitatory,rCA1,0.2639700595743914,0.44245023932957867,0.2817182817182817,0.5036229268598783,26.0,0.22257744175151678,0.7319046026690863,24.0,2.091500367620417,0.25,0.12498717156789285,23.0,0.24008671867293296,-0.4481203073699583,0.6253746253746254,0.8632241853199516,2.0,0.227807779246668,0.7029583340488458,8.0,3.494598404968357,0.07317073170731707,-0.006926229420192086,21.0,False
