unit,direction,k,si,si_z,p,peak_rate,peak_pos,mean_rate,width,sparsity,contrast,participation,stability,n_spikes
148,rightward,80,0.614892999917052,24.237197460776468,0.0,7.732054464276409,158.0,2.3112801865443275,36.0,0.5187050586372414,3.794422211706972,0.9210526315789473,0.9638058983001743,231.0
151,rightward,81,0.6901385977371792,18.22597124203096,0.0,7.83356889274539,158.0,1.401571830674564,16.0,0.4098565376113577,7.164569762385597,0.7297297297297297,0.9447064864530774,143.0
161,rightward,82,0.39091688383575157,10.400412607401536,0.0,4.085490359367162,114.0,1.8914438730761511,80.0,0.6705597602658729,3.9412914810700115,0.9487179487179487,0.8242748302977013,189.0
163,rightward,83,0.5708490393798816,22.393108743976192,0.0,5.3651228375527475,2.0,1.3843005047997878,12.0,0.5014751785753732,5.644216066867172,0.8285714285714286,0.9394316683751771,140.0
175,rightward,89,1.1833624943218948,34.35080473340879,0.0,20.578769895676256,22.0,5.718333347964515,32.0,0.38035255506501164,13.74333649002677,1.0,0.9767496053427146,577.0
176,rightward,90,0.5459235854887279,34.7148555765108,0.0,25.35993708039031,22.0,11.773757242117341,60.0,0.601068777829363,7.305533504668608,1.0,0.9872942130156744,1186.0
177,rightward,91,0.9653627861701556,23.982281218096645,0.0,11.653337785835099,82.0,3.243446765104948,44.0,0.4132204646100592,6.9635365588361475,0.8717948717948718,0.9697281768220094,325.0
179,rightward,93,0.5725964677597342,17.677166261736865,0.0,10.857460166302292,26.0,3.6037393139668983,24.0,0.5592046970683342,3.6212588906727565,0.9444444444444444,0.9375768345627006,359.0
183,rightward,97,2.2589116512450746,35.28091843619591,0.0,9.773459958516312,2.0,1.1543373480611605,12.0,0.17257035909885293,43.440154012174865,0.6857142857142857,0.9967349312481987,113.0
186,rightward,98,1.0164315921201879,6.4041100744591315,0.0,2.6223634746849953,118.0,0.6089424091205742,44.0,0.38047030394629994,7.83075172390811,0.3076923076923077,0.8120904246903107,61.0
201,rightward,99,0.38432331828513766,8.548956042276968,0.0,4.17483172040424,2.0,1.4815587860180988,16.0,0.6419594170004618,3.015619147965701,0.5833333333333334,0.9340918098850121,146.0
202,rightward,100,0.4052087352877706,11.646788831934158,0.0,3.378023371579478,134.0,1.045030395058057,44.0,0.5940134836145384,3.860096655713801,0.7435897435897436,0.8441497644005084,105.0
204,rightward,102,0.40636728949021245,7.579973128731266,0.0,3.1152184742630906,6.0,1.1454985343634372,20.0,0.6224035629255793,3.335299814606712,0.6111111111111112,0.8633133427162318,116.0
215,rightward,106,0.7058274201616113,6.040330299961966,0.0,2.9705144651224984,134.0,1.0445886344291881,44.0,0.5266260772534908,4.647650244172793,0.34210526315789475,0.34316515389212093,105.0
216,rightward,107,1.4075801256898326,9.536109005539148,0.0,6.471813620186694,62.0,1.453477516999755,32.0,0.32033919666857347,11.809495213624155,0.5384615384615384,0.9688955611463901,146.0
219,rightward,109,0.6175832043569174,13.046054272558065,0.0,7.588658489380293,2.0,2.251459288116726,20.0,0.4888114686702712,5.48823262378172,0.6388888888888888,0.9532443464908131,227.0
220,rightward,110,1.1798310715755664,11.399061278675456,0.0,7.300595382840569,126.0,1.9181044089721173,56.0,0.38171662861114475,7.675242478122033,0.358974358974359,0.9701462030999284,192.0
222,rightward,112,0.5883064930677409,8.756215952274328,0.0,1.7734712616445676,22.0,0.5771640951466182,32.0,0.5445050133121506,5.056751000838488,0.6111111111111112,0.7662048242690077,57.0
