session,unit,n,mrl,pref,p,cell_type,significant
Achilles,269,825,0.05434170465054921,2.979526654060013,0.08746079759976134,excitatory,False
Achilles,270,818,0.08710322071567099,-2.475883402406653,0.002000913077932165,excitatory,True
Achilles,271,295,0.07255518391165193,2.3090136093073683,0.211746594420084,excitatory,False
Achilles,272,1204,0.06889974887482336,-3.0847751095601645,0.0032796467350270694,excitatory,True
Cicero,1,2095,0.03626710804333133,-1.9501097540932006,0.06355760404279574,excitatory,False
Cicero,2,2093,0.20700724313756358,-2.8091587426611793,5.3618423867224096e-40,excitatory,True
Cicero,3,7061,0.14528308340909427,-3.043746144369914,9.691857135896809e-66,excitatory,True
Cicero,4,6780,0.09534996143223284,2.7131542571599923,1.4810761877685832e-27,excitatory,True
Cicero,5,37,0.23480396059218459,2.787132180524434,0.12997155928015194,excitatory,False
Cicero,6,206,0.15342649022256258,-3.0568383695310533,0.007703014987559573,excitatory,True
Cicero,7,2238,0.13472351535664623,-0.8066613785140359,1.9147217753837074e-18,excitatory,True
Cicero,8,9647,0.10308586068147466,2.931810868014731,2.305731742505111e-45,excitatory,True
Cicero,9,278,0.1486897310715436,-2.710958774372623,0.0020925276402492606,excitatory,True
Cicero,10,822,0.09218704585827048,2.767097435468467,0.0009152008833146805,excitatory,True
Cicero,11,21866,0.1891489439660285,1.3860157054160074,0.0,inhibitory,True
Cicero,12,964,0.12896643968468435,-3.0681691626172736,1.0259738288872876e-07,excitatory,True
Cicero,13,528,0.16355219345958255,2.0650486964155603,6.767999643113066e-07,excitatory,True
Cicero,14,96,0.11753729053685015,-2.662688244639501,0.2660960402577701,excitatory,False
Cicero,15,24619,0.19839370458285602,1.8005771028029853,0.0,inhibitory,True
Cicero,16,1499,0.1482466498444782,2.7800247379525866,4.152193737907218e-15,excitatory,True
Cicero,17,4141,0.14861337863408047,2.524216199103946,1.1861933071898371e-40,excitatory,True
Cicero,18,6123,0.12813798955943975,-2.2144950279367555,1.4667606400591216e-44,excitatory,True
Cicero,19,364,0.28931416788988906,2.1161402890270296,3.249610647782963e-14,excitatory,True
Cicero,20,56965,0.3632168399376512,1.6589188150345482,0.0,inhibitory,True
Cicero,21,191,0.1317632444978287,2.967705194231217,0.036087277452822746,excitatory,True
Cicero,22,27926,0.2576343802617288,1.571428277243118,0.0,inhibitory,True
Cicero,23,3042,0.15820156074521058,-2.1853479992898115,5.49055446639258e-34,excitatory,True
Cicero,24,320,0.11678985556906034,1.6138756281305764,0.012614896006170872,excitatory,True
Cicero,25,861,0.21571867279914964,2.413581434113351,2.5600792894016186e-18,excitatory,True
Cicero,26,936,0.2095108071654019,2.1449818248284926,9.365083756195333e-19,excitatory,True
Cicero,27,1353,0.16755972169636038,-2.197469834558882,2.465514852464908e-17,excitatory,True
Cicero,28,91,0.3894997453854617,-1.690925232485884,6.220120368162101e-07,excitatory,True
Cicero,29,462,0.09650507984897355,-1.631682032131318,0.013459116541891778,excitatory,True
Cicero,30,665,0.18428596198961736,-2.078058068068976,1.3020808111875866e-10,excitatory,True
Cicero,31,4063,0.10770389399507554,2.253984090027901,2.978859330790913e-21,excitatory,True
Cicero,32,40063,0.1758486064117189,2.313258403194703,0.0,inhibitory,True
Cicero,33,881,0.2716584980473643,-2.2663418497294527,2.704032959292489e-29,excitatory,True
Cicero,34,3790,0.08663807112027107,-2.940991692322954,4.2015470333580496e-13,excitatory,True
Cicero,35,21621,0.2432375992735591,-2.6520738801484014,0.0,inhibitory,True
Cicero,36,430,0.2140673088910404,2.76300589533666,2.250573957775561e-09,excitatory,True
Cicero,37,214,0.2572993947203517,-2.77801547222328,5.708997902847802e-07,excitatory,True
Cicero,38,509,0.3928653940653944,-2.025541305163699,1.642266832417302e-34,excitatory,True
Cicero,39,12037,0.26596614025143955,1.5370272955378748,0.0,inhibitory,True
Cicero,40,1876,0.03166015869407455,-3.047243459669489,0.152527866656874,excitatory,False
Cicero,41,2056,0.029022069775395454,2.966054272777182,0.17698819272711577,excitatory,False
Cicero,42,6383,0.0473729202354885,2.8177047629056564,5.968436281438457e-07,excitatory,True
Cicero,43,5031,0.08240860761507804,-1.8509857729844112,1.3737690320001543e-15,excitatory,True
Cicero,44,1369,0.15798503323174667,-1.624285943786488,1.1817654534391583e-15,excitatory,True
Cicero,45,3134,0.07362443978811342,2.871906177504963,4.1053097469517766e-08,excitatory,True
Cicero,46,28546,0.16806632205486943,1.7262339365340527,0.0,inhibitory,True
Cicero,47,2814,0.12438398320289143,-2.0480160316188885,1.0525159164840663e-19,excitatory,True
Cicero,48,1551,0.11835673869601931,2.313534693022805,3.4190327582489924e-10,excitatory,True
Cicero,49,1842,0.09087231610894515,2.9339264167599417,2.410596518668617e-07,excitatory,True
Cicero,50,31092,0.17515906128652953,-2.5846577643770052,0.0,inhibitory,True
Cicero,51,242,0.1224106620911053,-2.346940370145651,0.026453860515371876,excitatory,True
Cicero,52,655,0.03554187340381177,-1.092039832318722,0.43734115084863123,excitatory,False
