session,subject,state,cond,n_cells,dur,n_bins,ring_score,hole,ang_unif,h1_top,h1_ratio,cc_iso_decoded,cc_internal_pref,split_cc,split_err_deg,med_speed,corr_near,corr_far,decode_err_deg
200810b,A3711,nrem,real,65,4873.888,19914,0.5882076237469023,0.089,0.9360268342660742,1.2372560300060094,1.6741766368502737,0.6246380700080527,0.5360072464298102,0.5321990245975453,15.000000000000034,165.00000000000017,0.31748276444090434,-0.02570019776501263,
200810b,A3711,nrem,shuffle0,65,4873.888,20136,0.217444026925531,0.145,0.9928187643498905,0.3282223995306274,1.1047703453430338,0.06950207169829577,0.1508579106910124,0.016766012874726496,86.99999999999999,254.99999999999991,-0.0047821970407960915,-0.002901209054790417,
200609,A3710,wake,real,74,4816.66,24083,0.7202555317824555,0.016,0.9107150811819966,3.239116029762585,6.393497993405484,0.946920134997855,0.9967950447967415,0.8902410944184214,5.999999999999983,30.000000000000043,0.36329488275081373,-0.11577105546533722,7.729987863968268
200609,A3710,wake,shuffle0,74,4816.66,24083,0.20752145238114605,0.16533333333333333,0.9703998453132852,0.3087002197682608,1.0248605435305833,0.04614483369436817,0.06243114379386213,0.001576756689161273,90.00000000000001,134.99999999999974,0.0034681103862273144,0.0031188603482317744,
200609,A3710,rem,real,74,266.0,1330,0.687326323690345,0.06842105263157895,0.9435928623264926,0.5089756287985314,1.3495693899160823,0.8368856731729044,0.9429098890069968,0.9119801110526998,6.000000000000034,29.999999999999915,0.3486940787001578,-0.06586038340255763,
200609,A3710,rem,shuffle0,74,266.0,1330,0.5368191041844633,0.07067669172932331,0.9276774339542828,0.7934832934154793,1.227072871601819,0.052624423634553844,0.04803392592784024,0.041785712160410826,86.99999999999999,104.99999999999982,0.006369447098595337,0.011634080012025686,
200609,A3710,nrem,real,74,5278.0,21417,0.6956720607396863,0.04933333333333333,0.9704092323465564,2.270055670219492,5.801991088954012,0.33596689189358125,0.7365019568439757,0.7617479844610752,9.0,74.9999999999999,0.25674696577385464,-0.06417793708450824,
200609,A3710,nrem,shuffle0,74,5278.0,21758,0.12921573730945946,0.17566666666666667,0.9623251631309965,0.3519079177877241,1.028180526042466,0.137214478196879,0.0019236903555765407,-0.011476389329554417,87.00000000000003,284.99999999999983,-0.0021911377859392136,-0.0026771893674207205,
200903a,A3712,wake,real,67,3608.012,18040,0.601195406050224,0.044333333333333336,0.892902467625374,4.383882713586619,9.749623310569312,0.969241836538419,0.975979712714052,0.9450014842806524,6.000000000000009,30.000000000000167,0.41857683353554714,-0.13460158430135186,8.46630195178133
200903a,A3712,wake,shuffle0,67,3608.012,18040,0.21986428946790892,0.16,0.9320398929115292,0.3100717416174241,1.028279734037906,0.03577583336264839,0.1232531871657177,0.003721100588073068,90.0,105.00000000000009,0.0006906714159450577,0.0013641665839443271,
200903a,A3712,rem,real,67,236.0,1180,0.6990207810423037,0.0635593220338983,0.9666352495197811,0.7968892753474359,4.800951862081057,0.8559688336347171,0.14156269411099573,0.8580564247335816,11.999999999999966,30.000000000000043,0.2887748329118689,-0.08408921854923629,
200903a,A3712,rem,shuffle0,67,236.0,1180,0.4419540331138434,0.09491525423728814,0.9277373613879352,0.6862584597676621,1.2017738923220307,0.19526450835031997,0.08242163322866389,-0.029509987540737696,81.00000000000006,90.0,-0.0026480927578087232,-0.0008582678476074458,
200903a,A3712,nrem,real,67,4492.0,18016,0.3924152458855982,0.113,0.8893374669376931,0.4635208174757629,1.152313586837411,0.6662233563222412,0.28310140938948697,0.16809642687480592,20.999999999999964,254.99999999999991,0.28941818727161117,-0.09315684683821385,
200903a,A3712,nrem,shuffle0,67,4492.0,18612,0.44019458847249515,0.114,0.9748758483613452,0.3570979807034663,1.280069111553751,0.0013539169544053774,0.09472314198603424,0.03216388850618271,86.99999999999999,389.9999999999999,-0.005146517326857431,-0.0033796969108008533,
200306,A3705,wake,real,59,5120.272,25601,0.6501229701940485,0.03866666666666667,0.9185528741853978,3.0283582205286823,3.0855946239887087,0.8610324639046623,0.9815218929207977,0.9603976284803052,5.999999999999983,30.000000000000167,0.3516294234787969,-0.11294748600873251,9.399278653622787
200306,A3705,wake,shuffle0,59,5120.272,25601,0.19195312155364075,0.174,0.9303742298703345,0.31058812151633153,1.1303386945319334,0.009134902248039724,0.010093064737022617,-0.005768440267446057,90.0,105.00000000000009,0.0003967072378556138,0.0023443158286340572,
200306,A3705,rem,real,59,612.0,3060,0.7142251307468876,0.030333333333333334,0.9344663457528737,2.5430609137427433,1.9882100343663398,0.7213942075353162,0.8636621180491483,0.8958728972494358,6.000000000000009,29.999999999999915,0.2892047157761964,-0.04439195269054493,
200306,A3705,rem,shuffle0,59,612.0,3060,0.2650719793326133,0.16633333333333333,0.9321507825637104,0.36335933433482337,1.0327530963058356,0.22227337380443793,0.004572174346808226,0.014708895476444802,87.00000000000003,104.99999999999982,0.007253299555469258,-0.0010536642845338075,
200306,A3705,nrem,real,59,7256.0,29473,0.5558675883072977,0.09133333333333334,0.9220516518135911,0.6092316976122473,2.0424954124810673,0.4448567585801123,0.08345274077932487,0.4971155697960031,9.0,254.99999999999991,0.25557400285973036,-0.02639941126885535,
200306,A3705,nrem,shuffle0,59,7256.0,29877,0.22711978330790483,0.16733333333333333,0.9910711347549405,0.33734712303107317,1.0585298162844397,0.045352060812969136,0.09540613224324865,-0.03092504553385722,90.0,390.0000000000001,-0.002910882764121842,-0.003086618139479595,
191215,A3703,wake,real,35,4549.178,22746,0.7478767708517893,0.04933333333333333,0.9448486893345373,3.120844299227076,2.5496101333010164,0.817615092921163,0.9786327619080132,0.8264010286410773,9.000000000000052,45.0,0.42404131140386286,-0.162456349951824,11.577081653779073
191215,A3703,wake,shuffle0,35,4549.178,22746,0.3135988351280784,0.145,0.9426351771014512,0.2706010471303282,1.0643601795301416,0.30866872213990193,0.20034023846147722,0.007448686019004855,90.0,149.99999999999994,0.005776305172520964,0.005902185702813316,
191215,A3703,rem,real,35,251.0,1255,0.694265414965539,0.04063745019920319,0.9614981531816594,0.1641237650483507,1.232046517381099,0.836340729446544,0.5389640261961777,0.7980429395488121,14.999999999999982,44.99999999999974,0.32860012461033056,-0.12845877446169532,
191215,A3703,rem,shuffle0,35,251.0,1255,0.4222284463809054,0.12270916334661354,0.9674437468571737,0.4046128370153107,1.0458307827274174,0.033138976607460784,0.02139551893495336,-0.051737550248468524,93.00000000000001,135.0,-0.005070313007683714,-0.0024405513369737107,
191215,A3703,nrem,real,35,4895.0,20062,0.6445940049815015,0.07833333333333334,0.9603080288133246,0.3826424681815853,1.214060874888812,0.75116679840875,0.24391512705529758,0.46249871472449805,20.999999999999993,270.0,0.29006065610642495,-0.08256192038789419,
191215,A3703,nrem,shuffle0,35,4895.0,19859,0.25107726297646105,0.15533333333333332,0.9421558029531387,0.31416492216007863,1.1196100749200084,0.03751008827736246,0.1781392633184513,0.009278438245920563,90.00000000000001,360.0,-0.008108071576577586,-0.006041084566436254,
191126,A3702,wake,real,54,4953.622,24768,0.5897075959732121,0.097,0.8944800436841767,2.0508351209247886,2.3582514810931725,0.8983349488017138,0.962573572434686,0.8816869897195383,5.999999999999983,45.0,0.37255012324037334,-0.11375590152989666,9.186487979205973
