slope,phi0,rho,R,n,p,session,unit,direction,peak,si,lo,width,n_runs,n_passes,maze,track_len,circular
-0.8399999999999999,-0.8811248182964624,-0.14482645587066778,0.37203509303098753,1009,0.004975124378109453,Achilles-11012013,19,-1,25.37652278673802,1.6077472362089549,1.1277777777777778,0.32,366,83,CircularMaze,2.9,True
-0.79,-1.7882400635880626,-0.42012787907309995,0.34386093419660346,750,0.004975124378109453,Achilles-11012013,20,-1,17.832820434328788,1.6983333571896602,1.0875,0.36,366,104,CircularMaze,2.9,True
-0.5499999999999998,-1.5170385752332516,-0.3924158954841315,0.39244303837092287,735,0.004975124378109453,Achilles-11012013,21,-1,14.128130074393024,1.3245330905241237,0.04027777777777777,0.36,366,102,CircularMaze,2.9,True
-0.7799999999999998,-1.5120077424324856,-0.5702250580695563,0.4952864378740852,192,0.004975124378109453,Achilles-11012013,22,-1,5.010059712948126,0.9743545558876878,1.409722222222222,0.32,366,75,CircularMaze,2.9,True
-0.6499999999999999,-1.4910618797452113,-0.5774134948700819,0.5335915222361567,362,0.004975124378109453,Achilles-11012013,25,-1,7.922510065542796,1.1510237946357034,1.570833333333333,0.32,366,66,CircularMaze,2.9,True
-0.7799999999999998,-0.9359378847353172,-0.5992256266014917,0.42487772113968336,367,0.004975124378109453,Achilles-11012013,26,-1,11.235201848936141,1.030662539891241,0.5638888888888889,0.32,366,59,CircularMaze,2.9,True
0.07000000000000028,-2.273038944587857,0.008234794346963214,0.1895617010027332,286,0.900497512437811,Achilles-11012013,28,-1,5.080263253286701,0.6294269482618258,2.5374999999999996,0.4,366,88,CircularMaze,2.9,True
-0.7799999999999998,-1.9607906212872122,-0.3992745272061744,0.30949912525042866,431,0.004975124378109453,Achilles-11012013,29,-1,6.830716831871641,0.8180156782162495,2.295833333333333,0.44,366,95,CircularMaze,2.9,True
-1.48,-2.445994108187785,0.19867263617874756,0.2640675259965271,357,0.004975124378109453,Achilles-11012013,32,-1,5.938885177847022,0.6622305743377174,1.2083333333333333,0.52,366,92,CircularMaze,2.9,True
-0.6999999999999997,-2.2694864256547405,-0.332013983233474,0.3255270649904943,799,0.004975124378109453,Achilles-11012013,33,-1,18.879308710170456,1.874027790291851,1.4499999999999997,0.32,366,113,CircularMaze,2.9,True
