start,end,duration,n_bins,score,pval,significant
2013.1184,2013.236,0.11760000000003856,6,-0.129321908748727,0.6626746506986028,False
2014.0632,2014.1464,0.08320000000003347,4,-0.11716092375588139,0.6706586826347305,False
2049.4192,2049.5088,0.08960000000024593,4,-0.3912592013173797,0.20159680638722555,False
2053.3488,2053.4632,0.11439999999993233,6,0.05120332537880571,0.7345309381237525,False
2289.2448,2289.3536,0.1087999999999738,5,-0.513972178641753,0.01996007984031936,True
2368.5816,2368.7016,0.11999999999989086,6,0.17076193747337257,0.5508982035928144,False
2425.4696,2425.5968,0.1271999999999025,6,0.45466422311163796,0.14171656686626746,False
2443.5784,2443.6752,0.09680000000025757,5,0.43482230138834893,0.03992015968063872,True
2456.0216,2456.1144,0.09279999999989741,5,-0.7595420099603716,0.001996007984031936,True
2457.4952,2457.6256,0.13040000000000873,7,0.25321050742980494,0.13572854291417166,False
2490.7464,2490.8432,0.09679999999980282,5,0.38295192993305943,0.007984031936127744,True
2503.0552,2503.1816,0.12640000000010332,6,0.03802918226107977,0.9021956087824351,False
2508.3648,2508.5192,0.1544000000003507,8,0.260843275385821,0.24550898203592814,False
2537.4104,2537.5072,0.09679999999980282,5,0.3406917215293127,0.21956087824351297,False
2545.4336,2545.5296,0.09600000000000364,5,0.3616588661892573,0.24750499001996007,False
2546.9488,2547.0464,0.09760000000005675,5,0.003645734324037,1.0,False
2548.3232,2548.4344,0.11120000000028085,6,0.08184075211720436,0.4171656686626746,False
2584.8488,2585.0008,0.1519999999995889,8,0.07925323653266227,0.43912175648702595,False
2616.448,2616.556,0.10800000000017462,5,0.11877476208559436,0.5888223552894212,False
2664.8808,2664.9976,0.11680000000023938,6,-0.29476819884956684,0.015968063872255488,True
2666.0176,2666.18,0.16239999999970678,8,-0.313216921827451,0.059880239520958084,False
2722.5776,2722.6592,0.08159999999998035,4,-0.24116580497491366,0.3852295409181637,False
2725.6528,2725.8,0.14720000000033906,7,-0.11888219068626064,0.624750499001996,False
2760.6312,2760.7736,0.14240000000017972,7,0.3098801473748962,0.033932135728542916,True
2765.1808,2765.2616,0.08079999999972642,4,-0.12966092036289603,0.6327345309381237,False
2782.5368,2782.8128,0.2760000000002947,14,0.17342127374705624,0.3013972055888224,False
3046.3512,3046.456,0.1048000000000684,5,-0.5155511490184259,0.09381237524950099,False
3101.9184,3102.048,0.1295999999997548,6,-0.4483075617527335,0.14770459081836326,False
3115.8432,3116.092,0.24880000000030122,12,0.14752952698003355,0.46706586826347307,False
3121.16,3121.264,0.10400000000026921,5,-0.04034438276695105,0.8483033932135728,False
3240.4328,3240.588,0.15520000000014988,8,-0.14783306141846422,0.5269461077844312,False
3279.072,3279.1616,0.08959999999979118,4,0.8269225521146423,0.001996007984031936,True
3280.1136,3280.2704,0.15679999999974825,8,0.0870931445191254,0.7425149700598802,False
3300.408,3300.5176,0.10960000000022774,5,0.06375833475199394,0.844311377245509,False
3303.0736,3303.2688,0.19519999999965876,10,-0.23335873613436273,0.12375249500998003,False
3322.9208,3323.0464,0.12560000000030414,6,0.133561545982881,0.36127744510978044,False
3353.7592,3353.86,0.10080000000016298,5,-0.4035568591168899,0.03592814371257485,True
3366.7264,3366.8104,0.08399999999983265,4,0.11152683565542548,0.6487025948103793,False
3377.4648,3377.584,0.11919999999963693,6,0.4318345053756985,0.2055888223552894,False
3392.6824,3392.88,0.1975999999999658,10,-0.06756114388528506,0.7065868263473054,False
3428.0968,3428.2056,0.1087999999999738,5,0.2203006978280694,0.1596806387225549,False
3443.452,3443.6296,0.177599999999984,9,-0.1772857824084745,0.25948103792415167,False
3482.144,3482.2264,0.08240000000023429,4,-0.0663226114733535,0.8263473053892215,False
3530.9352,3531.0344,0.09920000000010987,5,-0.2625398669263005,0.14171656686626746,False
3583.9968,3584.1496,0.1528000000002976,8,-0.11622232751811645,0.5489021956087824,False
3584.3744,3584.4904,0.11599999999998545,6,-0.09054335733431557,0.6067864271457086,False
3602.8336,3602.9592,0.1255999999998494,6,0.3760561155897455,0.18163672654690619,False
3612.064,3612.1928,0.12879999999995562,6,0.06937242501333872,0.6287425149700598,False
3630.532,3630.668,0.13599999999996726,7,0.1905103888446688,0.4171656686626746,False
3756.7016,3756.8096,0.10800000000017462,5,-0.20809613071130742,0.25149700598802394,False
3756.8944,3756.9968,0.10239999999976135,5,-0.011169039334922212,0.9700598802395209,False
3758.8576,3758.9768,0.11920000000009168,6,-0.0842839650707777,0.5229540918163673,False
3785.5224,3785.6696,0.14720000000033906,7,-0.11213000236880719,0.5389221556886228,False
3895.804,3895.9136,0.10959999999977299,5,0.39642984569429046,0.1377245508982036,False
3897.716,3897.808,0.09200000000009823,5,-0.04775242212266337,0.8662674650698603,False
3899.2656,3899.3848,0.11919999999963693,6,-0.213545673871377,0.4411177644710579,False
4291.444,4291.6008,0.15679999999974825,8,-0.2831717803444746,0.1656686626746507,False
4335.604,4335.8008,0.19679999999971187,10,0.06657479175127737,0.7624750499001997,False
4366.5264,4366.6432,0.11680000000069413,6,0.34271489511854325,0.1596806387225549,False
4397.5644,4397.7656,0.20119999999951688,10,-0.21286756134877588,0.34930139720558884,False
4456.1744,4456.3312,0.15679999999974825,8,-0.186650203704819,0.4171656686626746,False
4457.0376,4457.148,0.11040000000048167,6,-0.39230430114261927,0.003992015968063872,True
4462.2808,4462.3768,0.09599999999954889,5,-0.11769010740828093,0.624750499001996,False
4499.6968,4499.8144,0.11760000000049331,6,-0.1673728027854136,0.530938123752495,False
4503.5696,4503.656,0.0864000000001397,4,0.06780468178751006,0.8263473053892215,False
4529.5856,4529.728,0.14239999999972497,7,0.17945080410801448,0.3153692614770459,False
4633.6104,4633.7336,0.12319999999999709,6,-0.18506539026893246,0.07385229540918163,False
4646.7984,4646.908,0.10960000000068248,5,-0.03192548564147263,0.874251497005988,False
4651.6944,4651.7888,0.09439999999995052,5,-0.19099594105818907,0.3592814371257485,False
4660.3952,4660.4832,0.08799999999973807,4,0.11408825604632748,0.4750499001996008,False
4807.528,4807.656,0.12799999999970169,6,0.04822846905106547,0.872255489021956,False
4829.1892,4829.292,0.10280000000057044,5,-0.33854528311858106,0.25149700598802394,False
4835.2224,4835.3056,0.08320000000003347,4,-0.3423063114850527,0.48303393213572854,False
4865.9348,4866.0576,0.1228000000000975,6,0.15405153428639365,0.590818363273453,False
4866.092,4866.2144,0.1224000000001979,6,0.05810319354832275,0.8562874251497006,False
4938.8144,4938.9152,0.10080000000016298,5,-0.020111500915282125,0.936127744510978,False
4996.464,4996.5728,0.1087999999999738,5,0.07977628748548593,0.8303393213572854,False
5062.1168,5062.2984,0.1815999999998894,9,0.26817160677628604,0.22554890219560877,False
5067.2224,5067.3232,0.10080000000016298,5,-0.09578993751228139,0.6506986027944112,False
5124.3944,5124.4776,0.08320000000003347,4,0.17653298209542775,0.624750499001996,False
5192.1792,5192.2832,0.10400000000026921,5,0.10134997374960186,0.7125748502994012,False
5230.508,5230.6272,0.11920000000009168,6,0.00048699318451466187,1.0,False
5250.628,5250.7152,0.08719999999993888,4,0.35150291690529895,0.05189620758483034,False
5254.756,5254.9216,0.16559999999935826,8,-0.3070746935219267,0.08183632734530938,False
5268.8824,5268.9944,0.11199999999917054,6,0.22387403821553914,0.16167664670658682,False
5283.0864,5283.2816,0.1952000000001135,10,0.0924926565278777,0.5469061876247505,False
5336.0288,5336.1184,0.08960000000024593,4,0.2910756413702019,0.1936127744510978,False
5421.0128,5421.1344,0.12159999999948923,6,0.2722619060513296,0.3253493013972056,False
5455.296,5455.3768,0.08079999999972642,4,0.6364674837630749,0.06986027944111776,False
5495.3696,5495.5008,0.13119999999980791,7,0.38994973755938517,0.03792415169660679,True
5699.7568,5699.8564,0.09959999999955471,5,0.1764454415672597,0.35129740518962077,False
5727.5832,5727.7,0.11679999999978463,6,-0.06411829762947599,0.7604790419161677,False
5730.0584,5730.1672,0.1087999999999738,5,-0.017319339065101934,0.9640718562874252,False
5750.5,5750.5824,0.08240000000023429,4,0.402060800701227,0.1217564870259481,False
5771.3648,5771.4936,0.12879999999950087,6,0.08521689815252786,0.6786427145708582,False
5811.0688,5811.1824,0.1135999999996784,6,-0.08717980750761618,0.5209580838323353,False
5846.1008,5846.1864,0.08559999999943102,4,-0.7176908652491273,0.07784431137724551,False
5887.6728,5887.7552,0.08239999999932479,4,-0.19030485170788813,0.17365269461077845,False
5920.5976,5920.704,0.10639999999966676,5,0.2990310558108538,0.40119760479041916,False
6084.134,6084.32,0.1859999999996944,9,-0.23936164220941905,0.12574850299401197,False
6089.772,6089.8872,0.11520000000018626,6,-0.2912343270233643,0.18163672654690619,False
6103.34,6103.492,0.15200000000004366,8,0.27287713299378696,0.16766467065868262,False
6156.8808,6157.0232,0.14239999999972497,7,-0.03189737652416193,0.8922155688622755,False
6179.9688,6180.0552,0.0864000000001397,4,0.47011114262846154,0.11377245508982035,False
6207.5088,6207.6016,0.09280000000035216,5,-0.37395008566200866,0.059880239520958084,False
6211.172,6211.332,0.16000000000076398,8,0.07402337459764778,0.7724550898203593,False
6217.8496,6217.9816,0.1320000000005166,7,-0.18530333388806755,0.34530938123752497,False
6223.928,6224.0648,0.1368000000002212,7,0.0021318445046111,0.9960079840319361,False
6270.7976,6270.9088,0.11120000000028085,6,-0.060358330834907416,0.7045908183632734,False
6291.2344,6291.3448,0.11039999999957217,6,0.15239157230216105,0.5169660678642715,False
6341.7368,6341.8328,0.09600000000045839,5,0.2878978079404309,0.19560878243512975,False
6361.2072,6361.3008,0.09360000000015134,5,0.38774772468084273,0.18163672654690619,False
6438.6216,6438.7608,0.13919999999961874,7,0.12098096353511642,0.6147704590818364,False
6501.5632,6501.6952,0.1320000000005166,7,-0.08848858815668907,0.8003992015968064,False
6555.612,6555.6928,0.08079999999972642,4,0.4144287060601694,0.27345309381237526,False
6568.8832,6568.9952,0.11200000000008004,6,0.29265500585590376,0.281437125748503,False
6656.6352,6656.7184,0.08320000000003347,4,0.45280360038361933,0.2714570858283433,False
6666.2984,6666.3816,0.08320000000003347,4,-0.1877201054407888,0.564870259481038,False
6673.488,6673.644,0.15599999999994907,8,0.06928184304522246,0.7544910179640718,False
6735.494,6735.6544,0.16040000000066357,8,0.03434834193847554,0.8502994011976048,False
6735.7944,6735.8768,0.08240000000023429,4,-0.08025684805182441,0.7764471057884231,False
6740.024,6740.1744,0.1503999999995358,8,-0.28321806589770165,0.3393213572854291,False
6752.4388,6752.5568,0.1180000000003929,6,-0.4005292571299668,0.16167664670658682,False
6763.1952,6763.276,0.08079999999972642,4,0.0028160989012224265,0.9860279441117764,False
6805.4904,6805.6056,0.11520000000018626,6,-0.6609217944619821,0.027944111776447105,True
6812.0168,6812.1168,0.0999999999994543,5,-0.1476531685864274,0.5888223552894212,False
6876.8032,6876.8864,0.08320000000003347,4,-0.23618836002189886,0.3093812375249501,False
6878.1632,6878.2848,0.12160000000039872,6,0.14224923509657045,0.5568862275449101,False
6878.3296,6878.4296,0.1000000000003638,5,0.0522026157823696,0.8043912175648703,False
6937.3264,6937.4256,0.09919999999965512,5,-0.1261231222900925,0.43313373253493015,False
7023.7464,7023.8352,0.08880000000044674,4,0.688849024891896,0.001996007984031936,True
7126.078,7126.1784,0.1003999999993539,5,0.3637885593229268,0.16367265469061876,False
9341.3352,9341.4512,0.11599999999998545,6,0.1039407680206818,0.6746506986027944,False
9346.3992,9346.4924,0.09319999999934225,5,0.13720726264755756,0.6766467065868264,False
9380.5456,9380.656,0.11040000000139116,6,-0.09099513179555523,0.7145708582834331,False
