,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,area,session,responsive
sub-703279277_ses-719161530_950953822,0.045095799174941546,0.1723596185328742,89.07243445232433,,,,8.51611253033751,4.80722070766282e-08,0.1596806387225549,0.02920346244784609,0.9639991108057857,0.6706811379110956,VISal,sub-703279277_ses-719161530,False
sub-703279277_ses-719161530_950953873,0.3559985752129377,0.624009664645925,20.330597609402794,,,,553.2443733190319,0.0,0.001996007984031936,0.010806687877317452,18.01171676477765,9.041555491563527,VISal,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950953883,0.04492600958153463,0.09555852117058161,17.63734271823368,,,,5.184735528795485,9.445881028303363e-05,0.001996007984031936,0.012996662404624736,4.520462281027643,3.955701345286721,VISal,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950954946,0.06598076773270095,0.12783324345206468,46.2225535475994,,,,5.015517827487437,0.00013748814933519803,0.001996007984031936,0.017516685045099015,3.391987898411298,2.91845854615803,VISal,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950957508,0.07284017991599946,0.09501056126439883,116.91729573448225,,,,4.448109802318176,0.00047889874100529213,0.001996007984031936,0.023660768047451982,3.0492203010310854,2.555338187704884,VISrl,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950957662,0.07955435142884158,0.13495607973749335,106.15827159578944,,,,37.123518647381914,1.3796967448991864e-37,0.001996007984031936,0.007670779008141851,9.153521634062036,8.054245271973384,VISrl,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950957765,0.01618179473601973,0.022517320060613254,98.22147062221448,,,,2.5909848695263054,0.023910947151787938,0.03592814371257485,0.007555955575240756,13.468103244199535,12.926644797197786,VISrl,sub-703279277_ses-719161530,False
sub-703279277_ses-719161530_950957773,0.029469607213763748,0.01567726224433718,55.61459240760842,,,,9.613991771465916,3.7506068373640696e-09,0.001996007984031936,0.007429632504205578,14.949406362595614,14.099989604721209,VISrl,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950957833,0.043129788631269435,0.09740969347651501,57.78876548598407,,,,10.102657189823713,1.1988217603810352e-09,0.001996007984031936,0.008411334064928127,9.56713086270549,8.712266014416256,VISrl,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950957954,0.15398427311029642,0.27920548469789863,110.76574680258096,,,,18.160752079251385,6.329848846861909e-18,0.001996007984031936,0.020991680111641917,2.6589402610809376,1.9659667673526657,VISrl,sub-703279277_ses-719161530,True
