,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,split_half_r,split_half_pref_diff,pref_tf,baseline_rate,area,session,responsive,ori_selective
sub-717038285_ses-732592105_915966554,0.2312293722965745,0.41195960332283466,39.581055212396954,0.07755873481207601,0.12137075599982274,78.38023667738413,4.116548549709514,0.0004637455600891201,0.001996007984031936,0.06641847610957637,14.154800947761291,7.955580537501776,0.6388447717685151,9.957679477758042,4.0,2.397996840171809,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966556,0.07135537479432794,0.3482814396868346,39.82888050774115,0.17178288259747995,0.32658418218420426,144.11524126241133,3.913301203928538,0.0007581324432257353,0.2634730538922156,0.055493749172741184,7.094136181246347,4.744598023610567,0.5342408605653493,49.21907186981065,15.0,1.3155689161512236,VISrl,sub-717038285_ses-732592105,True,False
sub-717038285_ses-732592105_915966560,0.14306508899001233,0.3506215397832996,131.09679332866517,0.015625540677147585,0.07059810628921123,267.49225828893634,3.2083483364879686,0.003934980600860839,0.001996007984031936,0.04613181922570953,19.949934534481084,14.744873629294123,0.5309546608418132,17.4675666106765,15.0,2.6810966993730694,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966568,0.1768807750883431,0.3023273376541206,28.853273849071865,0.14956449427832788,0.32283441704990234,31.378252081662698,3.2547652599389205,0.0034964432520815706,0.007984031936127744,0.07115770517122452,5.595344873335643,3.4804180256435435,0.7493357402971105,6.132230318445181,2.0,1.099081933665822,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966571,0.55900167820032,0.8418964979863305,38.671689918293424,0.1369767434400653,0.0064800086631773765,181.37496802699994,13.663075643690808,1.2882472748496492e-12,0.001996007984031936,0.10978916159598896,7.760128342765808,3.1371444612614185,0.9212617025063573,6.457670517364988,15.0,1.8318077707414235,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966573,0.2984842008115761,0.5035355271930428,154.33987804114696,0.06247818978337456,0.020256457655812216,219.12523180793923,7.647319781275598,1.5689755281098634e-07,0.001996007984031936,0.06578291357503854,31.87333264835211,18.992452073205826,0.9021682569703128,1.5147777124461754,1.0,13.938359472541372,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966578,0.17628690587387896,0.4970124771611768,130.82837519006185,0.36976822498874495,0.6339879384023264,139.45969724902974,3.8183967895595234,0.0009330621882073304,0.1437125748502994,0.11209472961896767,4.163205211589788,1.7901713117754277,0.7317946438183343,32.08222628312144,1.0,1.731895111208994,VISrl,sub-717038285_ses-732592105,True,False
sub-717038285_ses-732592105_915966583,0.11698224793528327,0.1866763890796621,16.577005083474738,0.12058098805299561,0.2012723662526397,30.361979655469924,2.7168583210973964,0.012197547244775318,0.08982035928143713,0.06497896598382484,18.88433466385849,11.451433768983456,0.660801534320935,0.249216838944875,4.0,13.405466941022588,VISrl,sub-717038285_ses-732592105,False,False
sub-717038285_ses-732592105_915966606,0.08002185561149713,0.129819567356475,23.621818206495284,0.04030181599155232,0.1065309485265112,74.28089107912096,0.7282591474611643,0.648329898498886,0.49500998003992014,0.08450726125792285,5.362161119417542,3.755189985699095,-0.11801120058724142,50.004886258038624,1.0,2.880940570972372,VISrl,sub-717038285_ses-732592105,False,False
sub-717038285_ses-732592105_915966608,0.14772062871393177,0.19066378736806455,151.3024478541509,0.03856088584105072,0.03378325873949133,287.48456519809247,1.2401821443948102,0.2869528109006288,0.033932135728542916,0.07255887446958649,5.095750377525155,3.7135651114844483,0.4004294000557725,19.66854865880893,1.0,1.7318887883234813,VISrl,sub-717038285_ses-732592105,False,False
sub-717038285_ses-732592105_915966611,0.22217085121823085,0.31372886488989127,136.36205475911206,0.03153733133587592,0.03190370188232652,169.17912923924285,6.544077820621214,1.8414486740731955e-06,0.001996007984031936,0.0651125841504285,15.620246798087768,8.892203764144082,0.8813255493765534,4.010574035251864,15.0,3.047464027287,VISrl,sub-717038285_ses-732592105,True,True
