unit,mvl,mvl_tc,pref_dir,peak_rate,mean_rate,hd_info,p_shift,stability,author_hd,is_fs,is_exc,hd_cell
29,0.87072950426095,0.8706268643549869,1.6439488544473175,12.737322500213148,2.3781074712071426,1.4679976496543374,0.0,0.9079361697402061,True,False,True,True
30,0.9649133731679599,0.9649069183883489,0.9771502665407827,21.606307216435585,2.816223571973846,2.0892628893237823,0.0,0.8842989073665405,True,False,True,True
31,0.05990689478984979,0.05782646059158941,1.3334714564956192,60.267263711377545,36.45159148992665,0.04540991324434025,0.045,0.36165705441413215,False,True,False,False
32,0.12218883906165395,0.12040920592766838,2.644918459645063,13.27400441591072,2.3487890957770476,1.0689230623520467,0.216,0.8330310008422762,True,False,True,False
33,0.9315994122653076,0.9315742349473631,5.91109146962619,57.187312045828776,3.1331939327558165,2.6722374243495124,0.0,0.9767825890531078,True,False,True,True
34,0.9055735643784429,0.9050269996956007,0.513449211636358,17.967564737812715,1.7314436810603295,1.974725147002445,0.0,0.9187942439297689,True,False,True,True
35,0.9446481636609345,0.9446481636609328,1.3370276934951413,14.583207936932014,2.9500923805414496,1.631525296633142,0.0,0.8018243987413703,True,False,True,True
36,0.42534254927187026,0.4253915387039206,1.2229671342851278,17.16041562076644,3.259318264794716,0.7443297707684396,0.0,0.8015011316980859,True,False,True,True
37,0.9271412195318179,0.9271412195318179,2.3413388659670624,6.8462801485626095,0.5808357396528262,2.0830547563339508,0.0,0.828241893200111,True,False,True,True
38,0.7082993465844358,0.707137450768232,2.9301284415457003,9.323754348664659,1.4609401794505847,1.07292838765289,0.0,0.8853792334273292,True,False,True,True
39,0.8763142779817125,0.875316764877853,2.20515825698401,14.362489857449003,1.6927212984168076,1.7033175532996785,0.0,0.9521514941136999,True,False,True,True
40,0.8781476697287594,0.8782513269003109,2.604007746064416,15.63671302223969,1.5107260999922556,2.049264897666668,0.0,0.9399603764103314,True,False,True,True
41,0.1639646373611355,0.16614149974126768,4.042278655876,50.7732948250402,25.93072012568179,0.05364645733972337,0.0,0.857666185974904,False,True,False,True
42,0.0435722108549174,0.044357051762007445,3.675648661759021,66.69005807286156,41.368227731864096,0.036036258493431145,0.076,0.6745447588768385,False,True,False,False
43,0.061462340329636336,0.059568701710879066,3.020246765816791,48.571233188758875,31.591379291269764,0.03159626460568611,0.02,0.29422646138725245,False,True,False,False
44,0.9196751298790873,0.9197031835256226,2.5602500915591158,8.2554074962135,0.6411320211977386,2.305121090341518,0.0,0.8816062778496968,True,False,True,True
45,0.6566288667086754,0.6536972251832375,2.4877202715352036,8.738298954371121,1.647913969929304,0.7791875362045465,0.0,0.906288980977877,True,False,True,True
46,0.945542013413663,0.9455420134136632,1.1384574203382989,11.470984922180346,1.9427572549149768,1.8192930501524178,0.0,0.9488891142099476,True,False,True,True
47,0.8632610648093202,0.8616530263025773,3.851427326065231,9.676392561549102,1.0134200714704549,1.8177950425962712,0.0,0.8779656753496852,True,False,True,True
48,0.13177403466655901,0.1305375572584818,2.932644585793731,9.229793349598348,3.5768418024715944,0.29847289843790975,0.065,0.705496724250338,True,False,True,False
49,0.17634998516646858,0.17887978247304825,5.68722179887736,12.587252780395643,6.191155807804219,0.12705182630365536,0.157,0.28964200225812703,False,False,False,False
50,0.3552077194777259,0.35203155470435626,2.9528132439753785,13.79138664073314,3.6404571453859513,0.6100662708440726,0.0,0.8118904594297157,True,False,True,True
51,0.1255762952733003,0.1236837520118728,2.3994741027899025,14.869815407488653,10.270282230851782,0.03531314742674055,0.0,0.373461383717689,False,True,False,False
52,0.6732598824169831,0.6735160913813512,5.418458361106918,7.193305560802494,0.8568710102116455,1.338756507513524,0.0,0.8312013333524033,True,False,True,True
53,0.9414207522625291,0.9411483067200663,5.27527110372923,17.60537894555181,1.387920829322801,2.4951508209374094,0.0,0.889068202308935,True,False,True,True
54,0.24562724241376777,0.24569207923868097,5.541469449476044,22.597369035019003,2.534656532465952,1.7909850245565664,0.005,0.9066435425577717,True,False,True,True
55,0.4339863942322149,0.4344739712954191,6.059495963799037,26.642641619054242,2.398021839423811,1.8349066376678593,0.0,0.8961759074770849,True,False,True,True
56,0.2190249501458884,0.21788351963881278,3.3244584681691767,6.257578217780656,1.3508579773640015,0.6007268145851224,0.0,0.7567613652534322,True,False,True,True
57,0.03497436816128382,0.03819124950775493,5.332041133313968,7.8979142554513135,4.377841946297587,0.046328227784351056,0.364,0.06517968693069223,False,False,True,False
58,0.9042745495351165,0.9042745495351157,6.24044351110229,17.314658175412497,0.8065319127750672,2.7783706577912164,0.0,0.8949844531327164,True,False,True,True
59,0.019025580546895855,0.019110378712440042,0.11791833176810515,66.65796486343645,43.77897263987078,0.013790933216369417,0.359,0.37859726029188057,False,True,False,False
60,0.2743204058801391,0.2747460545560579,5.491907473501813,3.993928832596703,0.8585305408963678,0.506562396412331,0.0,0.688798183564545,True,False,True,True
61,0.8626301552101621,0.8537270580356909,3.0876111178206602,2.668004233808658,0.38445794196068017,1.937058942475312,0.0,0.8325057199730492,False,False,False,True
62,0.1590489287237931,0.16159485801515816,4.212459488257688,49.96949596237466,22.7178687200593,0.11102656726001955,0.0,0.6073408577244749,False,False,False,True
63,0.17672601090400808,0.18025340773575374,4.381318209417531,10.858755853362185,5.358071404073595,0.13179204239147313,0.013,0.24202769231584922,False,False,False,False
64,0.1894511864639605,0.19028019917490568,5.679897224601231,6.8096625975596945,2.788564727228473,0.1301474127767117,0.0,0.2293857688260772,False,False,False,False
65,0.04989421893575412,0.051005108948481155,5.980048004036361,12.693503446613956,8.075276311859007,0.025676251404222878,0.025,0.2214524406000403,False,False,False,False
66,0.9035253480025027,0.9036224843219328,1.208934118390157,17.049340603514622,3.064599997787292,1.64793841234322,0.0,0.8540205187984568,True,False,True,True
67,0.04790824395699163,0.05006089688619851,5.873853288635943,15.391156905538052,4.581964220518437,0.22134706513128832,0.651,0.3013300658291602,True,False,True,False
68,0.4859246894200747,0.48502282075648884,3.723934843775213,21.16710872838866,3.5292685895095532,0.7463541107509273,0.0,0.894523755907153,True,False,True,True
69,0.021445019866605144,0.01825266370636707,2.065943939759334,23.268470460291176,18.694613163397392,0.010718453669711574,0.324,-0.17414015355965887,False,False,False,False
