unit,mvl,mvl_tc,pref_dir,peak_rate,mean_rate,hd_info,p_shift,stability,hd_cell,author_hd,is_fs,is_exc,session
52,0.6418239392140822,0.6446812315267182,3.7054228479562457,26.03400324220375,4.790252140075461,0.9495999756947413,0.0,0.9668149895815985,True,True,False,True,A3705
53,0.7672728734946267,0.7666049245588724,2.321138985887412,31.60450223591638,4.383232298426645,1.3996028745815807,0.0,0.9794256976284967,True,True,False,True,A3705
54,0.5193611476267954,0.5205130066149943,0.7164710479268529,14.315813992222337,2.0529110635117704,1.2756090825419988,0.0,0.904472702858808,True,True,False,True,A3705
55,0.91852244079047,0.9188934674986274,4.258852478950095,18.32632512371008,2.8866574802970564,1.7695675618768267,0.0,0.9522325970161801,True,True,False,True,A3705
56,0.12809946203107606,0.12834581766763453,0.11741967575219302,56.988576495525706,36.95694685093979,0.039250652239082424,0.0,0.7891571174140142,True,False,True,False,A3705
57,0.1063045126923259,0.10526423123343077,2.0641715284345894,0.8039140884948767,0.29408509973881,0.19804431124374158,0.056,-0.04397563930164004,False,False,False,False,A3705
58,0.8483244217492237,0.8483464147854545,0.6881472837331881,27.977727098656608,2.107104580602814,2.111021935105191,0.0,0.9691931884332874,True,True,False,True,A3705
59,0.2836426874102713,0.2844143534133014,2.6658403508176716,9.544341731492366,2.3534387491984665,0.4752565177314714,0.0,0.812890040884296,True,True,False,True,A3705
60,0.8017021683660088,0.8130107141635833,5.902364875524173,11.406560183506114,0.8500423694769984,2.176319120085889,0.0,0.9570440676642281,True,True,False,True,A3705
61,0.852892141601095,0.8555276058874683,3.1155419675197895,5.721911340794794,0.9565345254391191,1.6342063061848913,0.0,0.9496201740237787,True,False,False,False,A3705
62,0.6549278571275123,0.6550583853482361,2.6547294759966107,11.410138176643592,1.8698658274630007,1.122843984527767,0.0,0.9426763645694474,True,True,False,True,A3705
63,0.12801058760316447,0.12512799275415779,1.5025989945220715,1.107614966370719,0.3873131081611647,0.12029260571519816,0.0,0.14246237100791465,False,False,False,False,A3705
64,0.22579878751765484,0.2295877824797839,3.36217447688075,2.3832440743838226,0.6446375704326235,0.5545728654852518,0.0,0.6812314811011573,True,True,False,True,A3705
65,0.2425239754585376,0.24672984576159132,3.609402137370682,30.806633770534805,9.934467531640676,0.35786760956899055,0.0,0.9053951533030143,True,False,False,False,A3705
66,0.8083519364914648,0.8080234858328401,2.2380266100567683,34.10288185930898,5.143457440277229,1.3729118919087813,0.0,0.9798972479914305,True,True,False,True,A3705
67,0.8631325424907529,0.8636924069759823,5.10540760908447,27.167350362411863,4.026616217428939,1.5840728196116212,0.0,0.9597866421540818,True,True,False,True,A3705
68,0.1429561468920588,0.1419995294233724,2.296910766187688,85.02393286466676,42.1125315118248,0.1010796729159536,0.0,0.8851975032273042,True,False,True,False,A3705
69,0.48497923150323674,0.4850906436921188,1.0776678385544218,9.364646291615474,1.8895725609506528,0.5346394282588942,0.0,0.8403989267489308,True,True,False,True,A3705
70,0.023031531329158948,0.0226700293649307,5.857006808081273,12.332630266741791,6.364516965223679,0.04534221035673504,0.6,0.12553266461290366,False,False,False,True,A3705
71,0.13315180083463202,0.1331695982693454,1.2714799880189442,7.74255122123221,4.472670550409067,0.06347471244062808,0.0,0.5687328939629859,True,False,False,False,A3705
72,0.8489385836080464,0.8534070731409635,5.937929545264228,37.63017961245588,3.2713177589502678,2.2531415325766844,0.0,0.98399286096213,True,True,False,True,A3705
73,0.8858768522072351,0.8850918442897991,3.492935900148473,21.228273669410267,3.1129059397610632,1.680427003493389,0.0,0.9732055477726419,True,True,False,True,A3705
74,0.8482195275996,0.8483957001529484,2.3028399350984152,58.52454267797164,8.603505069936165,1.5411890803972326,0.0,0.9879109708402612,True,True,False,True,A3705
75,0.4539199141876271,0.4546871148439544,3.2510643967929553,13.359274263858373,3.017404077474749,1.2519271479629583,0.0,0.937195463196937,True,True,False,True,A3705
