unit,r2_hd,r2_hist,r2_both,mvl,pref_dir,hd_cell,mean_rate,is_fs
18,0.27405452728271484,0.22503119707107544,0.35515648126602173,0.6414607422074934,3.8701436446600908,True,3.1204708641729453,False
19,0.2861276865005493,0.14463722705841064,0.369171679019928,0.835544655614543,4.022752050633726,True,1.642935377875137,False
20,0.413030743598938,0.18609613180160522,0.45787668228149414,0.9529179481687018,5.433017811725205,True,1.254052020755197,False
21,0.1588578224182129,0.09436160326004028,0.1930997371673584,0.4561521454588367,5.066938027543417,True,0.8054255589852523,False
22,-0.0012329816818237305,0.0013620853424072266,0.0007457137107849121,0.10717361696592624,0.5662466056872745,False,4.70310996050317,False
23,0.30742454528808594,0.20232874155044556,0.39950889348983765,0.9585563170900835,0.48915735458138415,True,0.844147941628774,False
24,0.21260327100753784,0.033450424671173096,0.22231251001358032,0.7996174886559859,6.0441698359572245,True,1.0134200714704549,False
25,-0.01120138168334961,0.0037484169006347656,-0.00574803352355957,0.06281309047293458,0.11904610237739158,False,0.7274276168033014,False
26,-0.017528772354125977,0.10989093780517578,0.10664874315261841,0.10356651107694645,0.32843760675614014,False,49.90872581234027,True
27,0.3500158190727234,0.07372444868087769,0.4000932574272156,0.9155297653830232,3.215445879916988,True,3.2277871817849912,False
28,0.09159862995147705,0.1141020655632019,0.1682959794998169,0.642682110586869,1.838638582051293,True,2.166793897352495,False
29,0.23537296056747437,0.18180382251739502,0.293548047542572,0.87072950426095,1.6439488544473175,True,2.3781074712071426,False
30,0.25655215978622437,0.13451576232910156,0.32919371128082275,0.9649133731679599,0.9771502665407827,True,2.816223571973846,False
31,-0.015929341316223145,0.0687863826751709,0.06643760204315186,0.05990689478984979,1.3334714564956192,False,36.45159148992665,True
32,0.07409018278121948,0.13085460662841797,0.17859721183776855,0.12218883906165395,2.644918459645063,False,2.3487890957770476,False
33,0.4731985926628113,0.3121931552886963,0.5122032165527344,0.9315994122653076,5.91109146962619,True,3.1331939327558165,False
34,0.2292432188987732,0.15571320056915283,0.2948952317237854,0.9055735643784429,0.513449211636358,True,1.7314436810603295,False
35,0.20700472593307495,0.16929638385772705,0.3081730008125305,0.9446481636609345,1.3370276934951413,True,2.9500923805414496,False
36,0.14357149600982666,0.1582014560699463,0.23004353046417236,0.42534254927187026,1.2229671342851278,True,3.259318264794716,False
37,0.09494274854660034,0.05365550518035889,0.20980292558670044,0.9271412195318179,2.3413388659670624,True,0.5808357396528262,False
38,0.021731317043304443,0.05800563097000122,0.10556715726852417,0.7082993465844358,2.9301284415457003,True,1.4609401794505847,False
39,0.23842871189117432,0.17711102962493896,0.29950135946273804,0.8763142779817125,2.20515825698401,True,1.6927212984168076,False
40,0.23857074975967407,0.15955406427383423,0.32503801584243774,0.8781476697287594,2.604007746064416,True,1.5107260999922556,False
41,0.01450735330581665,0.05575108528137207,0.05863487720489502,0.1639646373611355,4.042278655876,True,25.93072012568179,True
42,0.006938815116882324,0.03609049320220947,0.0356864333152771,0.0435722108549174,3.675648661759021,False,41.368227731864096,True
43,-0.020955681800842285,0.04072105884552002,0.03729301691055298,0.061462340329636336,3.020246765816791,False,31.591379291269764,True
44,0.27128028869628906,-0.2705814838409424,0.3335845470428467,0.9196751298790873,2.5602500915591158,True,0.6411320211977386,False
45,0.08790677785873413,0.09351938962936401,0.14076662063598633,0.6566288667086754,2.4877202715352036,True,1.647913969929304,False
46,0.22720730304718018,0.021719813346862793,0.2999112010002136,0.945542013413663,1.1384574203382989,True,1.9427572549149768,False
47,0.2259352207183838,0.13896381855010986,0.27370667457580566,0.8632610648093202,3.851427326065231,True,1.0134200714704549,False
48,0.01401907205581665,0.04642874002456665,0.07177811861038208,0.13177403466655901,2.932644585793731,False,3.5768418024715944,False
49,-0.09768021106719971,0.06537818908691406,0.05732804536819458,0.17634998516646858,5.68722179887736,False,6.191155807804219,False
50,0.09076482057571411,0.10285007953643799,0.14579319953918457,0.3552077194777259,2.9528132439753785,True,3.6404571453859513,False
51,-0.004655361175537109,0.01343071460723877,0.01418977975845337,0.1255762952733003,2.3994741027899025,False,10.270282230851782,True
52,0.17231720685958862,0.09996670484542847,0.2125505805015564,0.6732598824169831,5.418458361106918,True,0.8568710102116455,False
53,0.3569997549057007,0.2229633331298828,0.4346780776977539,0.9414207522625291,5.27527110372923,True,1.387920829322801,False
54,0.3075616955757141,0.16543865203857422,0.38004475831985474,0.24562724241376777,5.541469449476044,True,2.534656532465952,False
55,0.29275357723236084,0.18982112407684326,0.33722060918807983,0.4339863942322149,6.059495963799037,True,2.398021839423811,False
56,0.021746933460235596,0.04476064443588257,0.05265235900878906,0.2190249501458884,3.3244584681691767,True,1.3508579773640015,False
57,-0.0011812448501586914,0.0038701891899108887,0.0032224059104919434,0.03497436816128382,5.332041133313968,False,4.377841946297587,False
58,0.42481303215026855,-0.21055543422698975,0.4197470545768738,0.9042745495351165,6.24044351110229,True,0.8065319127750672,False
59,-0.00227510929107666,0.038925349712371826,0.038716793060302734,0.019025580546895855,0.11791833176810515,False,43.77897263987078,True
60,0.042864441871643066,0.03230959177017212,0.06583845615386963,0.2743204058801391,5.491907473501813,True,0.8585305408963678,False
61,0.19401800632476807,-0.3252052068710327,0.2256796956062317,0.8626301552101621,3.0876111178206602,True,0.38445794196068017,False
62,0.011868834495544434,0.08633387088775635,0.08642774820327759,0.1590489287237931,4.212459488257688,True,22.7178687200593,False
63,-0.017649173736572266,0.048874855041503906,0.056861162185668945,0.17672601090400808,4.381318209417531,False,5.358071404073595,False
64,-0.006866931915283203,0.023885250091552734,0.028073608875274658,0.1894511864639605,5.679897224601231,False,2.788564727228473,False
65,-0.0005056858062744141,0.006147921085357666,0.005772233009338379,0.04989421893575412,5.980048004036361,False,8.075276311859007,False
66,0.23314106464385986,0.18598347902297974,0.322917103767395,0.9035253480025027,1.208934118390157,True,3.064599997787292,False
67,-0.02269434928894043,0.09347653388977051,0.10522478818893433,0.04790824395699163,5.873853288635943,False,4.581964220518437,False
68,0.12258028984069824,0.14567965269088745,0.1805887222290039,0.4859246894200747,3.723934843775213,True,3.5292685895095532,False
69,-0.0052078962326049805,0.07166510820388794,0.0700693130493164,0.021445019866605144,2.065943939759334,False,18.694613163397392,False
70,0.020539939403533936,0.06888210773468018,0.10569417476654053,0.7664864197014888,1.6686674930383332,True,0.7987874362463628,False
71,0.36270976066589355,0.22217684984207153,0.4058173894882202,0.923535076680752,4.1068313675043076,True,1.8548021286246916,False
72,0.43793684244155884,-0.15147900581359863,0.48477643728256226,0.9608539735585787,0.30872599289835595,True,1.8647593127330258,False
73,0.3047666549682617,0.15545719861984253,0.3438175320625305,0.8967374552106794,3.718254219226833,True,1.4061756668547467,False
74,0.1192559003829956,0.1575390100479126,0.2390933632850647,0.29941532853018143,2.8122856882088736,True,6.2702601037759855,False
75,0.0009495019912719727,0.02158176898956299,0.02187138795852661,0.06330782617394982,0.17359595706737488,True,30.17524644030668,True
76,0.33944761753082275,0.20015394687652588,0.3789902925491333,0.8998148181111248,4.674771409929616,True,1.5378317678427207,False
77,0.10925042629241943,0.11787021160125732,0.1712707281112671,0.1352833741213796,0.9566962505483658,False,2.5573367851571573,False
78,0.03895038366317749,0.12947696447372437,0.15897691249847412,0.510567502620343,1.3207034496732801,True,2.6508236803965173,False
79,-0.04215598106384277,-0.011824369430541992,-0.029557108879089355,0.041662715046656175,1.7583663385228545,False,1.4227709737019705,False
80,0.39607542753219604,0.2593742609024048,0.44943976402282715,0.9522849734901387,4.935064005521882,True,2.5645280847909544,False
81,0.38090020418167114,0.2578052878379822,0.41348057985305786,0.8853683790013819,4.389831433351659,True,4.619580249372144,False
82,0.011320948600769043,0.005837559700012207,0.01506727933883667,0.20387054023168014,4.285239983995133,False,1.7087634283691238,False
83,0.28906434774398804,0.16282624006271362,0.32870805263519287,0.8660090168502701,4.823607148313434,True,1.9239492404881233,False
84,0.07091975212097168,0.14284944534301758,0.1810498833656311,0.4424122053542206,0.6137887820678141,True,3.5430980118822397,False
85,0.40795350074768066,-0.4849737882614136,0.3404886722564697,0.9270873609769624,6.165022276340997,True,0.7644904687621007,False
86,0.14205467700958252,0.12546855211257935,0.19613224267959595,0.5883980934196638,5.80739643763293,True,4.904466350249483,False
87,0.26420897245407104,0.0687149167060852,0.3393598198890686,0.9001281539378609,4.3325839415767105,True,1.5815327425404095,False
88,0.3136318325996399,0.13329488039016724,0.3621940016746521,0.9406332039391235,4.151811780004424,True,0.9569960281898946,False
89,-0.0007578134536743164,0.057655155658721924,0.05601876974105835,0.07490516049737017,5.996185590172423,False,34.22726719550378,True
90,0.20948606729507446,0.17228269577026367,0.2988545894622803,0.9554911444682709,0.8538170397185126,True,2.593293283326142,False
91,0.39329850673675537,0.19242894649505615,0.43162041902542114,0.9431325629324357,5.366098839919524,True,1.636850432031155,False
92,0.2930349111557007,0.2323269248008728,0.35272282361984253,0.8273765893086492,3.058389181741465,True,4.216867469879518,False
93,0.3679806590080261,0.2654626965522766,0.40740418434143066,0.8384602956662977,4.4531883651150785,True,6.315620609158397,False
94,0.4120444655418396,0.25907909870147705,0.449659526348114,0.9413176977553204,4.340085165692154,True,2.944560611592375,False
95,0.2085641622543335,0.17613911628723145,0.26479238271713257,0.6257787122545773,3.821604318619729,True,4.144401296646642,False
96,0.295532763004303,0.1557830572128296,0.35619139671325684,0.903483396918484,3.179920593960158,True,3.5513956653058516,False
