unit,area,b0,gain,pd_rad,pd_deg,r2,best_lag
28,PMd,0.53903110648176,3.2967179590717435,-0.5747246099127331,327.0707054696978,0.007437848565031491,0.13999999999999982
29,PMd,0.15774966882094651,0.1512028826177985,-1.8771932912700706,252.44474707995272,-0.002257682765555824,0.27999999999999975
30,PMd,1.081358196445027,1.983932608939702,0.5939041373794193,34.02820050719856,0.0018613790888067916,-0.2
31,PMd,0.72419643517646,1.2694061261521061,0.6052955567875178,34.68088076194602,0.004678553218429693,-0.2
32,PMd,0.7269926437828174,0.818000792868986,-0.22566002014060707,347.07063324110607,0.003872692369447539,-0.10000000000000006
33,PMd,5.420181038576192,1.4022755484343716,-2.7416972367728376,202.91231963023642,0.001498060669535728,-0.2
34,PMd,10.799328378993513,15.136440085418739,0.2255799621893351,12.924779776169592,0.006580599179228597,0.09999999999999984
35,PMd,0.8693133762717274,2.191435136441863,0.035244468670225,2.0193593059849495,0.005518239855501816,0.05999999999999986
36,PMd,1.8825675554772074,1.9355388190399512,0.08776202165331438,5.028393442270658,0.003543142080685624,-1.1102230246251565e-16
37,PMd,1.2326833046943377,3.947933958882009,1.0051490654982835,57.5907992345704,0.008323724616303152,0.11999999999999983
38,PMd,1.1488730739873028,1.8527148648065475,-0.6437392917936275,323.11645547348456,0.0007133043225644453,0.1999999999999998
39,PMd,4.041034906329781,0.8344112388682873,0.3005604229600859,17.22084372427985,-0.001298077935565356,-0.18000000000000002
40,PMd,2.8667466929270637,3.214058344944447,-1.7222698334266808,261.3212073619519,-0.00018336356151560373,-0.18000000000000002
41,PMd,4.414036404946885,4.0085554713978535,-0.1372308746394758,352.13725006426915,0.0005114234309824273,0.1799999999999998
42,PMd,0.9021004784564611,0.8146226941626538,-2.9381830393245094,191.65451240978481,0.003017153380003079,-0.06000000000000008
43,PMd,1.2422934159652832,2.2768755599163164,2.781420480391319,159.36365457767252,0.006053862722428915,0.05999999999999986
44,PMd,1.4379596124916663,3.644014931384398,1.9742795923790644,113.11788822212891,0.0024331443388584395,0.21999999999999978
45,PMd,0.5650763325304344,0.041869152864677205,-2.9206331559545182,192.66004665783214,0.0008649529748732121,0.1599999999999998
46,PMd,3.6813711342204347,1.4073230509380659,1.3490663494734056,77.29580810794711,-0.002701205400821749,-0.10000000000000006
47,PMd,1.1613734903587467,1.9805539893805593,0.9442995912893372,54.104381176807614,0.00045780650945792534,0.13999999999999982
48,PMd,1.1929356738136179,0.49205306544462774,-1.5100756678629155,273.47903748605586,-0.0009966559633647343,-0.2
49,PMd,1.058578459561516,3.8329723104441795,1.5989542402657573,91.61332960177488,0.0038430878767146126,0.11999999999999983
50,PMd,0.28040145845268166,0.33609010127934136,-1.2181113005763342,290.2073634997844,-0.0024707051243026967,-0.06000000000000008
51,PMd,0.560746454102941,0.30402490530413767,1.3948566435056557,79.91939869865813,0.0010540475776621427,0.2999999999999997
52,PMd,1.4005850193054254,0.35792828956059286,-1.8303421568779616,255.1291193460208,0.0005667113236633714,-0.18000000000000002
53,PMd,2.923568245041097,0.9746467805540333,1.2031032313942849,68.93273747744381,-0.0018121133745399032,-0.10000000000000006
54,PMd,2.0092573811725525,4.718775435483149,0.4689374693391318,26.868137848677698,0.003065939146333907,0.03999999999999987
55,PMd,2.8407516502526695,2.2610874013482807,-2.7127324866185956,204.5718775687254,0.0006788461914482014,-0.0200000000000001
