unit,area,"direction only
(cos θ, sin θ)","velocity
(vₓ, v_y)",velocity + speed,"nonlinear velocity
(5×5 B-spline)"
71,PMd,0.05152256041765213,0.10081972330808639,0.10405828207731246,0.12261898815631866
72,PMd,0.013542335480451584,0.0063388428650796415,0.03419550396502018,0.041963256895542145
73,PMd,0.0010132770054042338,0.002508954721270129,0.007721130363643169,0.00851431181654334
74,PMd,0.0018953464459627867,-0.000667566974152578,7.68761325161904e-05,-0.005313241551630199
75,PMd,0.011908426322042942,0.006364124361425638,0.017247995547950267,0.019731571897864342
76,PMd,0.010848025511950254,0.026548512652516364,0.13278918713331223,0.14026116132736205
77,PMd,0.0028441591886803506,0.0014634017134085298,0.00282253697514534,0.0031698365230113266
78,PMd,0.0009577625431120395,0.0009862124919891358,0.0008783260243944823,-0.001984120614361018
79,PMd,0.004542989539913833,0.0024994078557938337,0.0029704120708629487,0.0032029740745201708
80,PMd,0.022666398994624616,0.0009874594950815662,0.010524923168122768,0.014609772898256778
81,PMd,0.0007588755601318553,4.3325708247721195e-05,0.0024559438694268464,0.0023236055625602604
82,PMd,0.0005276905139908195,0.0006170894193928689,0.003337344340980053,0.003232107125222683
83,PMd,0.0030893340532202273,0.0023079219041392206,0.003883367351954803,-0.009885331732220948
84,PMd,0.002390196081250906,0.0004530575499302358,0.004468920407816768,0.004402008792385459
85,PMd,0.0046560987131670116,0.02485138662159443,0.03481196872889995,0.030565744452178478
86,PMd,0.0036855903919786213,0.0004325421701651067,0.002780175185762346,0.004250767221674323
87,PMd,0.00789410520810634,0.00015415888628922403,0.001805712463101372,-0.005735031317453831
88,PMd,0.006245369650423526,0.001008615380851552,0.0021965080639347436,0.003947292035445571
89,PMd,0.005486984853632748,0.015333973802626133,0.04052458181977272,0.05134841948747635
90,PMd,0.02035238705575466,0.024585410580039026,0.0246291920542717,0.025618444383144378
91,PMd,0.0208959536626935,0.021521733701229097,0.021484000980854033,0.020067130215466022
92,M1,-0.00026398262853035705,-0.00021237810142338276,-3.3384078415110706e-05,-0.0028613931499421597
93,M1,0.00030951285734772684,0.0009044144593644887,0.0006609481584746391,-0.0002549776836531237
94,M1,0.001922150666359812,0.002659838576801121,0.0024915704736486076,0.0006363984197378158
95,M1,0.0018954534589283867,9.324003967776661e-05,0.0003900672745658085,0.001285411068238318
96,M1,0.0035087010357528923,0.0031095057260245086,0.006296105496585369,0.004872619453817606
97,M1,-0.00031284678261727094,-0.0004769663559272885,0.0025701121194288135,0.002463293308392167
98,M1,0.011655508354306222,0.010797629225999117,0.04627979695796967,0.049588827043771745
99,M1,0.0005533744697459042,0.0003105497162323445,0.002097644144669175,0.0028439861955121158
100,M1,0.001278124691452831,0.00394492014311254,0.0062269551679492,0.00675636800006032
101,M1,0.001939821254927665,0.0073967879638075825,0.022395936772227287,0.024017129465937613
102,M1,0.0029660497326403855,0.008710477966815233,0.01757248006761074,0.018024835735559464
103,M1,0.0010287311451975256,0.0033256352879107,0.004436543863266707,0.004893708974123001
104,M1,0.00284042633138597,0.0054892653599381445,0.01228066235780716,0.012114900350570678
105,M1,0.003799129679100588,0.011296557728201151,0.018891502730548383,0.01988671626895666
106,M1,0.08006241098046303,0.08599610105156899,0.15811923444271087,0.17725839018821715
107,M1,0.0004734270856715739,1.2541792239062488e-05,0.014169443771243096,0.012039073929190635
108,M1,0.0017310197581537068,0.0005549099470954389,0.02922658361494541,0.0321109801530838
109,M1,0.006292865239083767,0.007483998779207468,0.013008103892207145,0.013133315369486809
110,M1,0.0006018202955601736,0.014880388788878918,0.015324173867702484,0.02226121835410595
111,M1,0.005262216282426379,0.0003809384259511717,0.003687952947802842,-0.0015218490676488726
112,M1,1.0276620741933584e-05,0.003425489692017436,0.029426807910203932,0.028564583510160446
113,M1,0.001186283922288567,0.002977125937468372,0.024554545059800148,0.02413133569061756
114,M1,0.007464252412319183,0.006972499284893274,0.00944236759096384,0.012802675366401672
115,M1,0.0016142705222591757,0.0005418424843810499,0.018994610011577606,0.018971025198698043
116,M1,0.002676111418986693,0.0038004886126145722,0.008132923953235149,0.012388239428400994
117,M1,-0.0002783341595204547,1.4614004612667486e-05,0.00323323376942426,0.002371883508749306
118,M1,0.0005374104890506715,0.000502034358214587,0.02102286256849766,0.02096235379576683
119,M1,0.0023214566754177213,0.0030154658248648047,0.05839306190609932,0.06117544174194336
120,M1,0.00783067112788558,0.013322451710700988,0.013550625555217266,0.014813999086618424
121,M1,0.0016125009395182132,0.0005683207069523633,0.0005585121645708569,0.0033249205909669398
122,M1,0.011675997963175177,0.03626395612955093,0.1767706334590912,0.1996694564819336
123,M1,0.006335646193474531,0.006777485180646181,0.039075571298599246,0.04398564174771309
124,M1,0.0028589584631845354,-8.354801102541387e-05,0.0042188994120806456,0.004989030864089727
125,M1,0.004478808306157589,0.0011097394861280918,0.001455997966695577,0.003497947775758803
126,M1,-4.6440225560218096e-05,0.0006387231100234203,0.007034283503890038,0.006596159283071756
127,M1,-0.0002561934510595165,-5.3812174883205444e-05,-0.0003071114908379968,-0.0007726746523985639
128,M1,-0.0001554994349135086,-6.525527223857352e-05,0.00039003300189506264,0.0005090964725241065
129,M1,0.006162566505372525,0.00021226038224995137,0.010727748088538647,0.011694490350782872
130,M1,0.003848982322961092,0.02175884135067463,0.02412290796637535,0.019493263866752385
131,M1,0.0030377093353308737,0.0002878162209526636,0.029172970354557036,0.024908193573355674
132,M1,0.01722698099911213,0.019220667704939843,0.03432989567518234,0.03622677437961101
133,M1,0.0003980763747676974,0.00110005094029475,0.006072972249239683,0.006064760498702526
134,M1,-2.3015326587483286e-05,-0.0001847479972639121,0.0010416729151984327,-0.008811161294579506
135,M1,0.002070955210365355,0.0003708643547724932,0.0021375745069235562,-0.0013996476598549634
136,M1,0.004109039111062885,0.008196371607482433,0.011101952008903026,0.013352886028587817
137,M1,-2.8655260393861683e-06,-0.00026401100622024386,0.0003629697297583334,-0.00012775222421623766
138,M1,-0.0003669836383778602,0.0003101911919657141,0.015580821596086026,0.013694574311375617
139,M1,0.0012268078047782184,-0.00013529896241379902,0.019078103825449944,0.018468485213816166
140,M1,0.02898225896060467,0.030484404042363168,0.033126657083630565,0.0342784620821476
141,M1,0.0003934651322197169,0.001987061370164156,0.0032575573772192002,0.0034429638646543024
142,M1,0.0015748731471830978,0.0008053850520809647,0.004534964915364981,0.005147964833304286
143,M1,3.060891758650541e-05,0.005234535876661539,0.0055625851731747385,0.008745812810957432
144,M1,0.0018022891483269632,0.0005503427688381635,0.0006247397512197494,0.0017441252944990992
145,M1,-2.4615885922685266e-05,6.24001506366767e-05,0.003346053045243025,0.003200790542177856
146,M1,0.018016064167022706,0.023252568021416665,0.12381187081336975,0.1384352296590805
