unit,cell_type,location,n_spikes,rate,mrl,rayleigh_p,pref_phase,mrl_control
51,excitatory,lCA1,1735,1.5257811639250163,0.052151859072907265,0.00892515609120023,-2.3660354403779666,0.001178914711524211
52,excitatory,lCA1,2746,2.4148674790421296,0.0445428700024397,0.00430383532369915,2.983686097113463,0.007088154784707986
53,excitatory,lCA1,498,0.43794756174908245,0.164633282042582,1.3739090733652428e-06,-3.057100386057437,0.028675973263376626
54,excitatory,lCA1,2290,2.0138552538261023,0.11499903685874456,7.038876619135404e-14,-2.8647475164698952,0.01447975985245995
55,excitatory,lCA1,3808,3.348803845663667,0.032260039311917996,0.01900555071785948,0.9367054175711491,0.019248803679545914
56,excitatory,lCA1,1056,0.928659889973958,0.09544313313285556,6.64196510777659e-05,1.2312776625213717,0.04317512406703132
57,excitatory,lCA1,2379,2.092122990765195,0.10416933783471202,6.146575625974658e-12,2.866109555813247,0.018884523088252777
58,excitatory,lCA1,724,0.6366948488079031,0.22159548996658154,3.6315487067505446e-16,-2.8279699039189117,0.016208610884356194
59,excitatory,lCA1,233,0.20490317648099643,0.12451710273235493,0.026982937224961978,2.3690269931844554,0.06317928358032979
60,excitatory,lCA1,57,0.05012652815200341,0.22591530774946436,0.054522032240796374,-2.8597263616781987,0.19798710533567646
70,excitatory,lCA1,1294,1.1379601303279372,0.14207666923826343,4.529546713254275e-12,-2.9025594812667963,0.0192344977468276
74,excitatory,lCA1,450,0.395735748568448,0.1934928476719998,4.8206742243635766e-08,-2.5839589515355845,0.04163409126428847
76,excitatory,lCA1,1578,1.3877133583133576,0.07778998268911452,7.127805514562708e-05,-3.037264412514871,0.002596279343445389
78,excitatory,lCA1,205,0.18027961879229298,0.08544036171066441,0.22390994059283592,0.07171282309954294,0.028703351707279535
79,excitatory,lCA1,707,0.6217448316397617,0.1991006594259397,6.735337312619491e-13,-2.3482932019196663,0.02941695185414926
82,excitatory,lCA1,1858,1.633948935200392,0.12923378739127264,3.336900863400698e-14,-2.305897629279452,0.011958933422438136
83,inhibitory,lCA1,4107,3.6117482652680355,0.5249473601035883,0.0,-2.254525743040347,0.02329546375649968
84,excitatory,lCA1,310,0.27261796012493084,0.043451916916777085,0.5569379665183486,1.2862237822452542,0.055307607638622344
86,excitatory,lCA1,498,0.43794756174908245,0.04638255667636989,0.34253956873804586,2.3141886456111833,0.0864772340791749
87,excitatory,lCA1,165,0.14510310780843094,0.13255378743649998,0.05507091376686567,2.837711879051137,0.007230144999982077
89,excitatory,lCA1,124,0.10904718404997234,0.27874746485532387,6.541110607581597e-05,2.5946273307292507,0.03583379708586543
90,excitatory,lCA1,145,0.12751485231649992,0.1943788675933357,0.004175354958907187,-2.0352512279529438,0.13806526174422473
92,excitatory,lCA1,2405,2.1149877229047056,0.154096827930629,1.5775932955565434e-25,-1.9773907189337094,0.03498721990282171
93,excitatory,lCA1,1049,0.9225040005517822,0.13878413177606402,1.6794055268040308e-09,-0.9306572462810854,0.00644958414920703
94,excitatory,lCA1,731,0.6428507382300789,0.2011160470807941,1.4424795425292998e-13,-2.111478265194238,0.031378363838227834
95,excitatory,lCA1,2443,2.1484054083393747,0.026919145859229304,0.17028248732061793,-1.8319364793626032,0.015468645712568748
96,excitatory,lCA1,650,0.5716183034877582,0.0872047966981743,0.0071328830698734035,-1.5170578562520989,0.01114209683192338
97,inhibitory,lCA1,48436,42.59523715035855,0.14547757086865892,0.0,1.9874045445552222,0.005708172080436684
98,excitatory,lCA1,335,0.2946032794898446,0.09720099602262185,0.04221028930318872,2.90875354671752,0.051784161109389854
101,excitatory,lCA1,2229,1.9602110745757124,0.09404353957892626,2.744426873240379e-09,-1.907872468012595,0.018298527166957235
103,excitatory,lCA1,1573,1.383316294440375,0.04243579277121635,0.05885650552087918,-2.9472736001353357,0.006454693944704602
107,inhibitory,lCA1,49401,43.44387047784422,0.20582076972775112,0.0,1.492692651073503,0.005694870718752836
109,excitatory,lCA1,1367,1.2021572628734853,0.11732696157977683,6.723903629549238e-09,-1.517998710453336,0.014413053476623023
110,excitatory,lCA1,662,0.5821712567829168,0.2702737731416265,9.965747916146834e-22,-2.161871478727313,0.03250474984469328
111,excitatory,lCA1,170,0.1495001716814137,0.15921621959095006,0.013440714558549036,0.7259596609905195,0.132625823186932
112,excitatory,lCA1,3309,2.9099768711399876,0.04444480465631306,0.0014496947716144109,3.137041681824781,0.003556972077853055
113,excitatory,lCA1,3759,3.305712619708436,0.014222478777889786,0.46749510783766723,-0.18319435700451353,0.014764330949112246
114,excitatory,lCA1,1098,0.9655952265070131,0.14496931775524796,9.513908967067967e-11,-2.5063576182804455,0.008721915002620127
116,excitatory,lCA1,2009,1.7667402641644712,0.09380320166169809,2.1030908462700322e-08,-1.8713223343718093,0.0024071472060495924
117,excitatory,lCA1,658,0.5786536056845306,0.05718255355082398,0.11630285916916405,-1.0903083602425758,0.06194706385683961
118,excitatory,lCA1,1379,1.212710216168644,0.13970642493119778,2.045940263868034e-12,-1.8953658376879583,0.020207766299174746
120,excitatory,rCA1,1517,1.3340691790629682,0.11047497116244422,9.10393492703722e-09,-2.5947305338216107,0.04698022295989047
121,excitatory,rCA1,2891,2.5423823313586293,0.09361256593599532,9.937193882085362e-12,-2.812151301240519,0.013434523218257829
123,excitatory,rCA1,963,0.8468745019364787,0.03958184443089307,0.22118547425060425,-0.07780648323075169,0.018071307234856955
125,excitatory,rCA1,2106,1.8520433033003367,0.194516405121149,2.475720723363209e-35,-1.4495328124754587,0.032652291976797906
126,excitatory,rCA1,930,0.8178538803747926,0.08321159249399503,0.0015972413618912293,-2.0148110869944618,0.03521953658345861
129,excitatory,rCA1,2345,2.0622229564289123,0.03355858241972346,0.07129789503274282,-2.222401211299191,0.026270926649386413
135,inhibitory,rCA1,11107,9.767637687443894,0.259088484027494,0.0,-2.1424061576989666,0.007234708476559854
136,inhibitory,rCA1,30924,27.194960641623748,0.42730946232739625,0.0,-1.7271535378300515,0.0036132629510610844
137,excitatory,rCA1,1731,1.52226351282663,0.0649925446018312,0.0006676159946942084,-2.7739111319747964,0.010570659569322384
140,inhibitory,rCA1,16370,14.395987120145541,0.16709915619152294,3.0931752340489564e-199,1.784807260452265,0.004405257347924383
