unit_id,session,structure,mean_rate,spont_rate,max_rate,pref_dir,pref_ori,gOSI,gDSI,p_gOSI
950919348,719161530,VISam,0.8646617039755529,0.4163195394781363,0.952538097386521,90.0,90.0,0.011202290687700345,0.037525012097344344,0.9321357285429142
950919363,719161530,VISam,20.754377627190376,1.332222509650367,25.245495823027444,45.0,45.0,0.09741834110157824,0.027453009190939497,0.001996007984031936
950919377,719161530,VISam,1.9983279502560372,4.363021046516276,2.930883980551921,270.0,90.0,0.26124931791995315,0.04148728261623242,0.001996007984031936
950919392,719161530,VISam,3.1453617379359873,1.2323065223360605,5.988310946157597,45.0,45.0,0.39416432500069587,0.07109643657065716,0.001996007984031936
950919407,719161530,VISam,12.309101423561748,7.293903346352086,15.06962103506855,0.0,0.0,0.1340018103996323,0.04894154119984435,0.001996007984031936
950919419,719161530,VISam,31.408504096250198,23.197289271775293,36.589304886443756,225.0,45.0,0.04675863982456857,0.012620492570968206,0.001996007984031936
950919434,719161530,VISam,2.2898897643341862,0.5994988356716632,3.2572742480876906,90.0,90.0,0.16986929650892563,0.036438749579784296,0.001996007984031936
950919446,719161530,VISam,5.742688925156309,1.4987442190088411,7.047427017386124,45.0,45.0,0.015701061299807632,0.06331744880643983,0.6606786427145709
950919459,719161530,VISam,2.571427510400626,0.8326364999230137,4.249882302161198,0.0,0.0,0.3335125250486707,0.09903342209796973,0.001996007984031936
950919470,719161530,VISam,8.823723356060857,7.41047542322895,9.943762634665013,0.0,0.0,0.055769195959220676,0.025143009650189434,0.001996007984031936
950919486,719161530,VISam,1.312446480030954,1.0657764104027398,2.018305822223856,225.0,45.0,0.15305345144899438,0.024611294874108344,0.001996007984031936
950919498,719161530,VISam,10.371757210872447,18.617789312777923,12.809260638212805,315.0,135.0,0.08052176993353705,0.021999523097904657,0.001996007984031936
950919515,719161530,VISam,1.0225552945307836,0.11656849933995268,4.189821144370508,315.0,135.0,0.8250955947632526,0.14733194806528088,0.001996007984031936
950919527,719161530,VISam,11.023388962142608,1.665275079664157,14.667783376093052,180.0,0.0,0.21089582401968726,0.029482404918544525,0.001996007984031936
950919540,719161530,VISam,8.020047964830741,8.309739026158452,10.278048726905219,315.0,135.0,0.15207378463238008,0.016877571581635057,0.001996007984031936
950919551,719161530,VISam,0.350877080803623,0.46627915541310755,0.7117367938128668,0.0,0.0,0.0962908237927154,0.31683364215270315,0.3912175648702595
950919563,719161530,VISam,14.559726206670733,13.305545130497775,17.432082103796635,135.0,135.0,0.039649114867144376,0.0886775082104249,0.013972055888223553
950919575,719161530,VISam,8.865493791934352,8.15985734973285,10.238037736594125,0.0,0.0,0.011993391700243909,0.03056050478693484,0.437125748502994
950919588,719161530,VISam,5.909772776185714,5.728547083069225,7.433767792197823,315.0,135.0,0.07700196808317367,0.011909784441211269,0.007984031936127744
950919600,719161530,VISam,15.38679850794596,5.911730954719818,21.11575463577484,180.0,0.0,0.20507609539698693,0.03599547964182527,0.001996007984031936
950919618,719161530,VISam,1.5898068824167495,1.6319654799626448,2.7443745146116365,135.0,135.0,0.12397062213360335,0.09521638894878329,0.027944111776447105
950919633,719161530,VISam,10.476190527077776,9.508724800750763,12.869284756015368,180.0,0.0,0.07974833013577186,0.013747550433450785,0.001996007984031936
950919646,719161530,VISam,6.416874663636159,9.042455462224362,7.2679129294214695,0.0,0.0,0.018543378171996777,0.035376525569375095,0.5528942115768463
950919662,719161530,VISam,7.130323976858184,6.810974341490124,8.239774665529714,135.0,135.0,0.024132650125512262,0.025359213664962018,0.26147704590818366
950919675,719161530,VISam,13.495399883672134,6.8276259382461095,17.818388170041434,225.0,45.0,0.09881967993676773,0.03287768077255912,0.001996007984031936
950919717,719161530,VISam,5.600663330674801,2.4646088849283094,8.579489172099118,135.0,135.0,0.16028198405673877,0.05761000443164278,0.001996007984031936
950919733,719161530,VISam,0.9866326891045997,0.9825126023408737,1.278928065192442,225.0,45.0,0.059217210333430984,0.03943644408602703,0.24550898203592814
950919746,719161530,VISam,4.855471301588404,0.5495404676514583,6.447928098284321,225.0,45.0,0.18622320088653468,0.013317999148095337,0.001996007984031936
950919763,719161530,VISam,6.53049012672415,2.7143984788861273,7.846767561389665,135.0,135.0,0.10687521089255227,0.041703596866046674,0.001996007984031936
