start,stop,orientation,spatial_frequency,phase
5414.718622141097,5414.968833642938,30.0,0.04,0.25
5414.968833642938,5415.2190451447805,120.0,0.08,0.0
5415.2190451447805,5415.469256646623,60.0,0.02,0.25
5415.469256646623,5415.719468148465,90.0,0.32,0.5
5415.719468148465,5415.969674146621,150.0,0.02,0.75
5415.969674146621,5416.219880144779,60.0,0.02,0.25
5416.219880144779,5416.470086142937,150.0,0.08,0.0
5416.470086142937,5416.720292141095,90.0,0.16,0.25
5416.720292141095,5416.9705086429385,90.0,0.32,0.25
5416.9705086429385,5417.220725144781,30.0,0.32,0.5
5417.220725144781,5417.470941646623,30.0,0.32,0.0
5417.470941646623,5417.721158148465,120.0,0.32,0.0
5417.721158148465,5417.971366646623,0.0,0.02,0.5
5417.971366646623,5418.221575144779,30.0,0.04,0.5
5418.471783642938,5418.721992141096,30.0,0.08,0.25
5418.721992141096,5418.972198642939,120.0,0.02,0.25
5418.972198642939,5419.222405144781,60.0,0.02,0.75
5419.222405144781,5419.4726116466245,90.0,0.32,0.5
5419.4726116466245,5419.722818148465,60.0,0.04,0.5
5419.722818148465,5419.973024146623,120.0,0.08,0.5
5419.973024146623,5420.223230144779,120.0,0.02,0.75
5420.223230144779,5420.473436142938,120.0,0.16,0.25
5420.473436142938,5420.723642141096,90.0,0.32,0.0
5420.723642141096,5420.973853642939,120.0,0.02,0.5
5420.973853642939,5421.224065144781,120.0,0.32,0.25
5421.224065144781,5421.474276646623,150.0,0.16,0.25
5421.474276646623,5421.724488148466,90.0,0.32,0.75
5421.724488148466,5421.974696646623,30.0,0.02,0.5
5421.974696646623,5422.224905144781,30.0,0.04,0.5
5422.224905144781,5422.475113642939,150.0,0.08,0.5
5422.475113642939,5422.7253221410965,0.0,0.08,0.75
5422.7253221410965,5422.975536142938,30.0,0.02,0.25
5422.975536142938,5423.225750144781,120.0,0.32,0.0
5423.225750144781,5423.475964146624,150.0,0.32,0.5
5423.475964146624,5423.726178148466,90.0,0.16,0.25
5423.726178148466,5423.976381646623,60.0,0.32,0.25
5423.976381646623,5424.226585144781,0.0,0.32,0.25
5424.226585144781,5424.476788642938,60.0,0.16,0.0
