unit_id,session,structure,mean_rate,max_rate,pref_dir,pref_ori,gOSI,gDSI,p_gOSI
950919154,715093703,VISpm,8.948287551210205,13.242296865927084,180.0,0.0,0.1770069750481723,0.06568681514456724,0.001996007984031936
950919170,715093703,VISpm,0.690057415728905,0.8236385440877673,0.0,0.0,0.08538493292238708,0.03647593688977955,0.11177644710578842
950919189,715093703,VISpm,9.559784740126332,12.449573433286847,90.0,90.0,0.1105661050284494,0.029594568948860447,0.001996007984031936
950919212,715093703,VISpm,5.544790712050428,6.832159618682314,0.0,0.0,0.08675108052723647,0.030792156325052427,0.001996007984031936
950919228,715093703,VISpm,8.843028286675091,10.524508334500126,270.0,90.0,0.10038890910383218,0.05728661294870958,0.001996007984031936
950919249,715093703,VISpm,5.633375533055234,8.5328440686001,90.0,90.0,0.20210996425912237,0.04321474808360906,0.001996007984031936
950919266,715093703,VISpm,2.0868898149827926,3.9034177711393236,180.0,0.0,0.1378614858551664,0.1588527728940949,0.001996007984031936
950919283,715093703,VISpm,16.747087201879594,19.54455646004075,0.0,0.0,0.0830769627099065,0.03005219935640288,0.001996007984031936
950919300,715093703,VISpm,2.7903247394999653,5.901716319525509,90.0,90.0,0.3138634514461165,0.05692930772682372,0.001996007984031936
950919315,715093703,VISpm,8.98590869570482,10.315673775762429,135.0,135.0,0.06883829489685005,0.0064936980745117,0.001996007984031936
950919335,715093703,VISpm,10.71686194554144,14.907524608102037,315.0,135.0,0.21824836714749857,0.024030699070265556,0.001996007984031936
950919353,715093703,VISpm,7.558148493090806,9.9916796326015,0.0,0.0,0.05745076296213876,0.020118433124512385,0.023952095808383235
950919371,715093703,VISpm,3.7569225153397854,7.167323406697718,90.0,90.0,0.36417986754319615,0.06999662125707842,0.001996007984031936
950919387,715093703,VISpm,0.0852127398382764,0.09325459981319659,45.0,45.0,0.014107387801866631,0.027778786363358014,0.9760479041916168
950919406,715093703,VISpm,5.198881766996529,7.560316900785715,270.0,90.0,0.07929434803308831,0.06263810001482709,0.0998003992015968
950919424,715093703,VISpm,3.431092826360385,7.162905657275206,135.0,135.0,0.38017439758766747,0.020268149308639866,0.001996007984031936
950919442,715093703,VISpm,2.752769395383276,3.337200249285091,270.0,90.0,0.027412756381071504,0.02034106433702172,0.499001996007984
950919456,715093703,VISpm,4.151252222203183,8.372979853244876,90.0,90.0,0.36485861266498015,0.0760231243808911,0.001996007984031936
950919496,715093703,VISpm,11.12479577555482,13.76548501750113,135.0,135.0,0.13262601721961867,0.02885643483334226,0.001996007984031936
950919513,715093703,VISpm,4.689288707703212,5.402158296297797,180.0,0.0,0.0691010439795491,0.022849516005307973,0.001996007984031936
950919602,715093703,VISpm,2.1211695061027913,2.8442929146362843,180.0,0.0,0.030042556870966863,0.032110760249848776,0.437125748502994
950919621,715093703,VISpm,5.304192607925575,6.248121880875836,180.0,0.0,0.08340534453736746,0.01683946134080282,0.011976047904191617
950919638,715093703,VISpm,3.1654307850478856,3.7168751608432897,225.0,45.0,0.06851503887693067,0.057470967013896306,0.001996007984031936
950919659,715093703,VISpm,0.44193679126709945,0.6061593246789834,180.0,0.0,0.07754136147471134,0.03434529160070217,0.5668662674650699
950919676,715093703,VISpm,6.325868220357719,8.71932857658269,225.0,45.0,0.14033285265881054,0.056299919070953636,0.001996007984031936
950919727,715093703,VISpm,2.798689018217162,4.129891834956462,180.0,0.0,0.26232615292258527,0.03180862730078086,0.001996007984031936
950919748,715093703,VISpm,0.8772055428928396,1.338986664481925,45.0,45.0,0.15335458461898652,0.11808241635649422,0.001996007984031936
950919768,715093703,VISpm,0.775271186442031,1.1881938069835838,135.0,135.0,0.1520920626998199,0.09820570174082446,0.001996007984031936
950919788,715093703,VISpm,2.4503005465151997,3.996651039795589,90.0,90.0,0.25815579203987654,0.01880019697580227,0.001996007984031936
950919806,715093703,VISpm,4.350098789844398,6.014943418340883,225.0,45.0,0.05422377356448945,0.029944158330517414,0.00998003992015968
950919863,715093703,VISpm,0.8579846698423328,1.3122393454925099,180.0,0.0,0.12240599188619611,0.11058173436303124,0.011976047904191617
950919881,715093703,VISpm,2.868859063798557,6.761210410011844,45.0,45.0,0.3244165965801343,0.12516168690411714,0.001996007984031936
950919900,715093703,VISpm,7.991670360233597,14.211137157003426,0.0,0.0,0.3039983293335243,0.07472976874003001,0.001996007984031936
950919921,715093703,VISpm,2.741035156055198,7.893379587215465,270.0,90.0,0.5839628918658585,0.11528055745626502,0.001996007984031936
950919945,715093703,VISpm,5.541377456577639,6.574751229691963,45.0,45.0,0.051110282113539705,0.04293467804762464,0.10778443113772455
950919963,715093703,VISpm,6.883913253357137,12.46286682486987,270.0,90.0,0.2897541460836369,0.002132883845167083,0.001996007984031936
