,pref_dir,max_rate,mean_rate,gOSI,gDSI,OSI,pref_ori
950931294,225.0,1.105739577452881,0.46784943207318563,0.18179459435071688,0.2578655866907875,0.29081498350757135,45.0
950931315,90.0,10.651078773235362,9.464717101962885,0.03433497675202476,0.03600457861537711,0.048442900208541126,90.0
950931343,180.0,0.7660311606225777,0.31830294080333504,0.44881562135826497,0.05684211847504406,0.7217421399331018,0.0
950931363,270.0,21.35541769901998,16.297515865746256,0.09091227314451006,0.03037301534578697,0.17206931876513076,90.0
950931385,45.0,6.861417707818285,5.581509781900272,0.07823347365708716,0.014924590551646032,0.14708395983703684,45.0
950931423,180.0,9.079108359854878,7.52218194144363,0.07303176256009593,0.03048142674910264,0.1068174108014834,0.0
950931458,90.0,16.839225886634935,14.452906908931302,0.0659591698429094,0.04263598502787563,0.1388334726349599,90.0
950931474,45.0,0.12656012306289918,0.03926465567246678,0.355158823836597,0.4378732818089012,0.532641074105113,45.0
950931490,180.0,4.163195461291737,2.9573882555626168,0.19160353460470864,0.023090264952260138,0.40172503388333,0.0
950931517,270.0,14.161445680788914,7.5221977730444864,0.3082855735297764,0.024819135493311904,0.4939334849947522,90.0
950931533,135.0,4.7932801241565155,3.048512798109705,0.04150602705438147,0.0713063493392096,0.05767784790605328,135.0
950931550,90.0,27.45699750604561,21.359409379646394,0.08851602330443123,0.016880080227747986,0.1282560538415154,90.0
950931565,270.0,16.173090564696828,12.865542910666154,0.0908575821047265,0.007560283770506331,0.11610611522361551,90.0
950931581,0.0,3.6186085227966327,2.0777257371972593,0.20200714241917567,0.227445046772292,0.43574991500078086,0.0
950931598,0.0,6.1097895882924735,4.801203031211159,0.07192767982172675,0.035100993395628395,0.12467686298069848,0.0
950931617,90.0,2.8842503246657083,2.215578641951878,0.11565538483465615,0.004371687465127076,0.0822385380261624,90.0
950931639,270.0,3.830115337549611,3.2631952898590266,0.013012292888467822,0.03167124799149436,0.019392609789843068,90.0
950931656,180.0,12.649459917164856,12.044564607669827,0.014980601621970476,0.00711212453335042,0.02663632903181273,0.0
950931674,135.0,23.730101890698965,22.419680706493708,0.004962708768293369,0.02439034621316708,0.00980713149091691,135.0
950931691,180.0,14.67444315019864,11.830458418619925,0.09420494490421732,0.016086031960266766,0.17700169944343822,0.0
950931710,180.0,3.9300598935714737,3.1462243033527133,0.061601952922357234,0.05575068980468986,0.014860504401134973,0.0
950931727,180.0,27.217322797049356,20.519791820526752,0.14399993233875602,0.015454011089851297,0.2888514105974071,0.0
950931751,180.0,4.336391669622662,3.3676095861347695,0.054434637546449297,0.08718805559787288,0.04934592994889579,0.0
950931770,270.0,9.905012824177344,7.317539491320796,0.11338198290075056,0.02095468481874482,0.15878891766323355,90.0
950931790,270.0,2.3713386780989962,2.162931682015058,0.0484508586449862,0.011074877565715317,0.08165674834074056,90.0
950931805,315.0,2.904234803182666,2.1888240253980427,0.040759087803694,0.11054332148747144,0.03931644137154794,135.0
950931821,135.0,6.075989132909576,3.975827958088911,0.26261964768763624,0.02727727067524533,0.4399984788412261,135.0
950931837,225.0,3.6436029099773175,2.864691540985879,0.0738587207184266,0.05176484638497629,0.12140227362798359,45.0
950931853,270.0,16.059850321325126,8.269839089458289,0.26330548780630275,0.04307176128418761,0.4067885414739321,90.0
950931878,90.0,1.5387125440013059,1.291597159194267,0.04333795992416966,0.024830934462234115,0.06761452800538374,90.0
950931899,180.0,20.249794726278328,15.401167470917615,0.1219435316391679,0.006680832566303389,0.2256818136110731,0.0
950931916,180.0,5.382181904245376,4.292435920229134,0.028547447759704404,0.1362882346456424,0.028893029785936677,0.0
950931937,180.0,1.1856807199684447,0.9507161691979241,0.03126654654718067,0.043510070403437275,0.0503106818796387,0.0
950931959,0.0,1.7958040123199914,0.9197991303915339,0.3297095088744301,0.11282739856504719,0.5727291889368781,0.0
950931977,270.0,1.2789255361764387,1.0392633170058947,0.05968068127123167,0.0684738117514229,0.04953733448128877,90.0
950931995,315.0,0.10657717514773657,0.052631566920697044,0.407123426145653,0.060604114022051424,0.6130003420404381,135.0
950932013,270.0,1.2189769919719127,0.6282426880698057,0.1847169935242098,0.06753400662890638,0.30981134886955064,90.0
950932032,180.0,7.800173871942584,5.608214429385908,0.15272524980669577,0.018691620267257323,0.29512736877338686,0.0
950932053,315.0,0.17318862092380238,0.11779410473980786,0.10930570163005326,0.0558439203206673,0.1837817605831503,135.0
950932087,180.0,6.461288443954629,4.708509234341705,0.08560809417901288,0.06654234806544586,0.10992112851740084,0.0
950932102,180.0,3.1640340573057726,1.6524760114427923,0.14790621701081366,0.10836675576710554,0.2526833540962952,0.0
950932118,135.0,0.7763759177663287,0.6374334201090552,0.06733047149883893,0.02884874192624454,0.07249522191254631,135.0
950932133,225.0,2.2714290966988395,2.014220338099648,0.06422188269792391,0.04339724002197157,0.06419822303799698,45.0
950932149,315.0,0.10657730825668726,0.06599822358066702,0.1042279392773471,0.10532062842363368,0.14568659928711275,135.0
950932180,180.0,2.338051690402062,1.3734741471599394,0.21275669345242523,0.07298834090879668,0.41429190904029,0.0
