start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch
3917.8064,3917.8888,3917.8232,6.180459022521973,0.0824,0.0002041210827883333,176.41851719742255,Awake,PRE
3918.6632,3918.7048,3918.688,5.636581897735596,0.0416,0.00020072874031029642,171.66785756875004,Awake,PRE
3921.8608,3921.8976,3921.8776,8.560888290405273,0.0368,0.0003179530322086066,156.489492293154,Awake,PRE
3922.144,3922.1792,3922.1592,6.566664218902588,0.0352,0.00028772346558980644,163.3056347715539,Awake,PRE
3923.2064,3923.2488,3923.2296,6.571433067321777,0.0424,0.00022000630269758403,169.551568595599,Awake,PRE
3923.2944,3923.3392,3923.3136,7.113077163696289,0.0448,0.00025147240376099944,177.0906014446132,Awake,PRE
3923.8552,3923.9152,3923.8768,9.528775215148926,0.06,0.00029477186035364866,178.89068832137934,Awake,PRE
3925.4424,3925.4936,3925.472,8.431563377380371,0.0512,0.0002572623488958925,172.07375904663772,Awake,PRE
3927.7744,3927.8272,3927.8056,6.973110675811768,0.0528,0.00021133855625521392,192.3130636711792,Awake,PRE
3930.8744,3930.9248,3930.9,7.214452743530273,0.0504,0.00028467210358940065,173.23971762029146,Awake,PRE
3931.3,3931.4312,3931.3784,6.067198753356934,0.1312,0.00021479041606653482,151.94079766918665,Awake,PRE
3932.3424,3932.3768,3932.3568,5.079541206359863,0.0344,0.0002118531265296042,174.10509153297835,Awake,PRE
3932.4232,3932.4592,3932.4408,8.053625106811523,0.036,0.0002771660510916263,163.87059109482124,Awake,PRE
3932.8152,3932.8536,3932.8328,9.820334434509277,0.0384,0.0003633324522525072,156.311765036518,Awake,PRE
3933.3144,3933.3736,3933.3568,6.3988800048828125,0.0592,0.00025251295301131904,174.46193180620972,Awake,PRE
3935.0328,3935.072,3935.0512,6.166782379150391,0.0392,0.00018943287432193756,189.58887876744913,Awake,PRE
3935.5192,3935.568,3935.5472,9.73296070098877,0.0488,0.0003397454274818301,168.23004263666823,Awake,PRE
3938.556,3938.5968,3938.576,9.175162315368652,0.0408,0.0002848672156687826,163.4609335437566,Awake,PRE
