baseline_hz,bf_hz,bf_idx,peak_evoked_hz,evoked_at_bf_hz,latency_s,pval,unit,subject,session,path,n_spikes,pupil_frac_large
1.8763605107761459,2000.0,0,1.9094512218295838,1.9094512218295838,0.022500000000000155,0.001996007984031936,121,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,10532,0.4977175080558539
1.7191420397569548,4000.0,1,0.9856777306541387,-0.11835152592296305,,0.005988023952095809,122,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,9052,0.4977175080558539
3.3079945839511837,16000.0,3,5.510570816892701,5.510570816892701,0.007500000000000144,0.007984031936127744,123,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,21611,0.4977175080558539
1.0381419254498085,2000.0,0,0.38467657891515505,-0.20594547251665718,0.01750000000000015,0.031936127744510975,124,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,6390,0.4977175080558539
0.9449789454348066,4000.0,1,0.8394937133672962,-0.7078247952371781,,0.001996007984031936,125,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,4153,0.4977175080558539
2.1849323894722317,2000.0,0,5.93239366782654,5.93239366782654,0.01750000000000015,0.033932135728542916,126,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,13881,0.4977175080558539
0.9448700310818219,2000.0,0,0.6544409881775315,-0.05810331893993914,0.022500000000000155,0.00998003992015968,127,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,4580,0.4977175080558539
0.209601997049735,16000.0,3,2.687725710404555,2.687725710404555,0.03250000000000017,0.001996007984031936,128,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,1977,0.4977175080558539
4.452071763649277,16000.0,3,6.2863248608232976,6.2863248608232976,0.01750000000000015,0.001996007984031936,129,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,35535,0.4977175080558539
2.5184301474408937,2000.0,0,29.37788636006252,29.37788636006252,0.02750000000000016,0.005988023952095809,130,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,28164,0.4977175080558539
0.9473937136265819,16000.0,3,0.35800275095467604,-0.1316412523045004,,0.007984031936127744,131,LA11,2,sub-LA11/sub-LA11_ses-2_behavior.nwb,5219,0.4977175080558539
0.9039474848941152,4000.0,1,0.7519316223693301,-0.43975650346175454,,0.005988023952095809,0,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,4457,0.49785177228786254
5.618242145786719,8000.0,2,6.179510663202042,6.179510663202042,0.012500000000000148,0.001996007984031936,1,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,37075,0.49785177228786254
