session,unit,direction,peak_rate,peak_pos,field_start,field_end,field_width,spatial_info,n_spikes_field,is_place_cell,slope,phase0,rho,perm_p
Achilles_10252013,116,L,8.959164645823243,0.30000000000000004,3.469446951953614e-18,0.48,0.48,0.7428319192338446,202,True,-0.6699999999999999,5.108554182221525,-0.0021500705340314567,0.00998003992015968
Achilles_10252013,118,L,18.230941094923466,0.9,0.4,1.2,0.7999999999999999,0.8477686296053515,501,True,-0.6699999999999999,5.1008090389371326,-0.19390921322555463,0.001996007984031936
Achilles_10252013,123,L,27.82197130567618,0.33999999999999997,0.12000000000000002,0.76,0.64,0.744531827437671,662,True,-0.8799999999999999,5.979355430683363,-0.24428574108892898,0.001996007984031936
Achilles_10252013,137,L,24.191953752932953,0.5800000000000001,0.28,1.04,0.76,0.7846303842676702,631,True,-0.95,6.029200921734538,-0.5126896074556488,0.001996007984031936
Achilles_10252013,143,L,5.228370462616221,0.62,0.43999999999999995,0.8,0.3600000000000001,1.3861989882263352,70,True,0.77,4.197947060388018,0.2720235174705906,0.013972055888223553
Achilles_10252013,145,L,21.072564829797205,1.18,0.96,1.52,0.56,1.2921871495725767,462,True,-0.71,5.530100180193714,-0.56715334009815,0.001996007984031936
Achilles_10252013,163,L,5.937837920318675,1.18,0.8,1.52,0.72,0.48629012309574315,144,True,-0.54,5.331258492305237,-0.17375704047070586,0.001996007984031936
Achilles_10252013,173,L,19.507230425874916,0.66,0.36,0.92,0.56,1.4417183387253298,423,True,-0.74,5.2824391606225305,-0.6581968466098929,0.001996007984031936
Achilles_10252013,179,L,35.948345624929544,1.18,0.88,1.48,0.6,0.9801583010255731,785,True,-0.79,5.358862605983374,-0.4913924819755789,0.001996007984031936
Achilles_10252013,182,L,32.42864975721225,1.1,0.72,1.36,0.6400000000000001,1.0189213199146439,745,True,-0.78,5.529200911076812,-0.3461527862737078,0.001996007984031936
Achilles_10252013,201,L,5.377749792834375,0.06,3.469446951953614e-18,0.28,0.28,0.7874869093386709,73,True,-0.3899999999999999,4.220302190605559,-0.24196351699148325,0.023952095808383235
Achilles_10252013,203,L,7.073191520420004,0.14,3.469446951953614e-18,0.4,0.4,1.1072921179056765,146,True,-0.47,5.1049897378079345,-0.36935266477799233,0.001996007984031936
Achilles_10252013,204,L,4.988268884995058,0.06,3.469446951953614e-18,0.19999999999999998,0.19999999999999998,0.7050198413969451,60,True,2.0,3.535385674453598,-0.08459966074720429,0.24151696606786427
Achilles_10252013,211,L,7.173516513896114,1.58,1.48,1.6,0.1200000000000001,1.4987629297766545,52,True,-0.3699999999999999,3.375900945232439,-0.3330986781108148,0.06786427145708583
Achilles_10252013,215,L,17.249879226912903,1.46,1.04,1.6,0.56,1.234013311560762,466,True,-0.15999999999999992,2.5360584579963117,-0.031805907205792794,0.37325349301397204
Achilles_10252013,222,L,11.162625470563189,0.02,3.469446951953614e-18,0.36,0.36,0.8689822210623174,130,True,0.48,3.0200282891859938,0.057256205597548536,0.18163672654690619
Achilles_10252013,229,L,6.070148377506272,0.7,0.48,1.0,0.52,1.1096238853553053,117,True,-0.5700000000000001,4.260742048294152,-0.31424792693210496,0.001996007984031936
Achilles_10252013,238,L,14.351848171774447,0.8200000000000001,0.48,1.08,0.6000000000000001,1.2481885723197421,306,True,-0.69,5.328106627713456,-0.5136802644981256,0.001996007984031936
Achilles_10252013,240,L,13.484411944552628,0.74,0.4,1.08,0.68,0.62059843190374,305,True,-0.8200000000000001,5.8438530304811955,-0.20244642069754745,0.001996007984031936
Achilles_10252013,242,L,5.494573903794149,0.45999999999999996,0.31999999999999995,0.64,0.32000000000000006,0.882865188504369,73,True,-0.55,3.692935300097021,-0.37619064322276524,0.001996007984031936
Achilles_10252013,263,L,5.158841066057582,0.33999999999999997,0.16,0.56,0.4,1.6825186020059155,79,True,-0.28,3.582587138065718,-0.3152125809151086,0.007984031936127744
Achilles_10252013,272,L,3.6609671099616303,1.58,1.08,1.6,0.52,0.6424308882632801,68,True,-1.19,2.4118417026639665,-0.11819068066378206,0.023952095808383235
Buddy_06272013,7,R,3.5350395183672885,1.06,0.9199999999999999,1.48,0.56,1.4255199101732834,57,True,0.41000000000000014,1.7963968189963186,0.15577254998917264,0.36127744510978044
Buddy_06272013,8,R,11.228262590579202,0.7,0.24000000000000002,1.12,0.8800000000000001,0.6334657708363403,302,True,-0.71,1.022237556019712,-0.6275796843151933,0.001996007984031936
Buddy_06272013,12,R,16.39167589244568,0.5800000000000001,0.12000000000000002,0.76,0.64,0.9617994717436975,296,True,-0.73,1.7468089064054384,-0.5361181257947768,0.001996007984031936
Buddy_06272013,18,R,8.14283136845517,0.86,0.52,1.1600000000000001,0.6400000000000001,0.8653530444513429,117,True,-0.3999999999999999,1.5937033223681014,-0.5776375546391256,0.001996007984031936
Buddy_06272013,36,R,5.9739736043767975,1.54,1.04,1.6,0.56,0.877961935421387,70,True,-0.43999999999999995,1.6876966874675507,-0.4864581301973082,0.001996007984031936
Buddy_06272013,56,R,25.244720415739796,0.18,3.469446951953614e-18,0.48,0.48,1.1193392685098285,470,True,-0.45999999999999996,0.020942411016071763,-0.43756873101415455,0.001996007984031936
Buddy_06272013,62,R,4.113957651217171,0.18,3.469446951953614e-18,0.72,0.72,0.9130733627976015,99,True,0.06999999999999984,3.086670394889119,0.03652935274453496,0.6946107784431138
Buddy_06272013,8,L,3.9331057119544277,0.66,0.31999999999999995,1.08,0.7600000000000001,0.6945100142243539,64,True,-0.33000000000000007,1.8149932890202123,-0.5924832377471291,0.001996007984031936
Buddy_06272013,12,L,33.33394956180723,0.45999999999999996,0.08000000000000002,0.92,0.8400000000000001,0.6943305125073975,603,True,-0.72,0.7263147003234136,-0.4880382510128757,0.001996007984031936
Buddy_06272013,18,L,3.0391097030574312,1.06,0.72,1.32,0.6000000000000001,0.6700960425384843,56,True,0.010000000000000231,0.9238454180850157,0.021890228911885422,0.8842315369261478
Buddy_06272013,19,L,6.058833192229376,0.14,3.469446951953614e-18,0.72,0.72,0.8597204550016146,65,True,-0.3799999999999999,0.8569810145364164,-0.28409360890976076,0.05588822355289421
Buddy_06272013,42,L,11.37816548069979,0.22,3.469446951953614e-18,0.88,0.88,0.6359986505354229,202,True,0.3599999999999999,1.6738154772408487,0.24305711078033587,0.003992015968063872
Buddy_06272013,44,L,13.693177916021199,0.42000000000000004,3.469446951953614e-18,0.72,0.72,1.2474280665618764,216,True,-0.8799999999999999,1.6141009820169923,-0.04635316089498728,0.001996007984031936
Buddy_06272013,67,L,2.834362286834239,0.5,3.469446951953614e-18,0.88,0.88,0.978351620186385,53,True,-0.52,0.5853786274744119,-0.36911593165255263,0.00998003992015968
Cicero_09012014,4,R,6.298669678650206,0.02,3.469446951953614e-18,0.52,0.52,0.43804898848710755,214,True,0.77,1.1105267528505263,0.2561033826165712,0.003992015968063872
Cicero_09012014,29,R,21.05556330748712,0.78,0.48,0.96,0.48,0.9234777826076632,716,True,-0.6299999999999999,4.8018597020393825,-0.6036504133302797,0.001996007984031936
