session,unit,cell_type,location,n_spikes,mrl,rayleigh_z,rayleigh_p,pref_phase,rate
Achilles_10252013,173,excitatory,rCA1,442,0.29550538993072156,38.59695848132365,7.498699729255859e-18,3.036283905302995,2.1536341682917013
Achilles_10252013,175,excitatory,rCA1,628,0.21400905337207374,28.762321453032573,2.358181396575466e-13,3.7920359596584756,3.05991461015201
Achilles_10252013,176,excitatory,rCA1,1629,0.11730035714551029,22.41401989815029,1.7179721768377074e-10,4.717229864536904,7.937262579518509
Achilles_10252013,177,excitatory,rCA1,338,0.2598602258741962,22.824239903089236,8.506372355908531e-11,4.147014772175014,1.646896716928948
Achilles_10252013,178,inhibitory,rCA1,3939,0.3699114921576624,538.9911428873845,2.2129594291588667e-243,1.2763458568424348,19.19268097036428
Achilles_10252013,179,excitatory,rCA1,1289,0.15697359407147396,31.761874204837774,1.334768433459854e-14,3.916490484208835,6.280620911601816
Achilles_10252013,180,excitatory,rCA1,44,0.2868329155291918,3.620017342962966,0.025877854113518384,2.5244047346519727,0.2143889217303956
Achilles_10252013,181,excitatory,rCA1,61,0.5588696716060166,19.05245390030203,1.1008910492138662e-09,4.8675210402730436,0.29722100512623023
Achilles_10252013,182,excitatory,rCA1,838,0.09830218084669477,8.097861120223246,0.0002997219841340371,4.1169653048534585,4.083134463865261
Achilles_10252013,183,excitatory,rCA1,130,0.44664135398524707,25.93350488167072,1.4529069887846436e-12,1.4067529998821033,0.6334218142034415
Achilles_10252013,186,excitatory,rCA1,110,0.05343877233596561,0.314127262765268,0.7313029893643761,3.161370642002252,0.535972304325989
Achilles_10252013,201,excitatory,rCA1,287,0.11412227605594061,3.7378575470580464,0.02367008860251166,2.6200901548667965,1.398400466741444
Achilles_10252013,202,excitatory,rCA1,537,0.18040019152068462,17.476251027075733,2.262667777989325e-08,5.091276483283631,2.6165193402096008
Achilles_10252013,203,excitatory,rCA1,277,0.062309969589494855,1.0754614499375252,0.3414466138094108,3.7972033083772314,1.3496757118027176
Achilles_10252013,204,excitatory,rCA1,240,0.1264747303288602,3.839005778821898,0.021356402312125992,1.8319733744968758,1.1693941185294305
Achilles_10252013,211,excitatory,rCA1,95,0.1415261577492789,1.9028170660910086,0.1492208123116115,1.5164191718097446,0.4628851719178996
Achilles_10252013,214,inhibitory,rCA1,183,0.23244599477158795,9.887698708819615,4.5540322525342474e-05,2.6137347169606997,0.8916630153786907
Achilles_10252013,215,excitatory,rCA1,601,0.12421837503292651,9.27355302218829,9.125927504263141e-05,2.050248879937628,2.9283577718174487
Achilles_10252013,216,excitatory,rCA1,172,0.2792917278448965,13.416665509725087,1.1826900722769826e-06,0.9532612824224979,0.8380657849460919
Achilles_10252013,217,excitatory,rCA1,36,0.6103899929595497,13.412733966185728,4.0826330447888156e-07,0.8977743117362916,0.17540911777941456
Achilles_10252013,219,excitatory,rCA1,321,0.08152643370097618,2.133545564831892,0.11839037382385612,1.7203317936006606,1.5640646335331132
Achilles_10252013,220,excitatory,rCA1,201,0.09769201295738167,1.9182896085287107,0.14688663109968786,5.538579620180153,0.979367574268398
Achilles_10252013,222,excitatory,rCA1,267,0.16354632756680537,7.14155613657721,0.0007644620955132806,4.943041318497029,1.3009509568639914
Achilles_10252013,225,excitatory,rCA1,90,0.31582381336277193,8.97702129783027,0.0001052506720231289,4.738019090500092,0.4385227944485364
Achilles_10252013,229,excitatory,rCA1,177,0.14687010463541905,3.8180364915045524,0.021754830782344386,2.5682762237662344,0.862428162415455
Achilles_10252013,237,excitatory,rCA1,71,0.3989940854412095,11.302935895411771,8.270990461235398e-06,3.9850682645962006,0.34594576006495653
Achilles_10252013,238,excitatory,rCA1,386,0.2448811497260687,23.14717611158825,6.390376501326136e-11,3.526805528513452,1.880775540634834
Achilles_10252013,240,excitatory,rCA1,692,0.18153485025712013,22.80479208564952,1.0480162006772891e-10,4.565501537653029,3.371753041759858
Achilles_10252013,242,excitatory,rCA1,185,0.09112230534275538,1.5361057882309939,0.21542522100593764,3.415771584501933,0.9014079663664359
Achilles_10252013,250,inhibitory,rCA1,11806,0.30913453271688035,1128.2304649092994,0.0,1.457063422344585,57.524445680660236
Achilles_10252013,253,excitatory,rCA1,59,0.14957918226862382,1.3200619743208613,0.2681393501158359,3.929670102604791,0.287476054138485
Achilles_10252013,255,excitatory,rCA1,104,0.2419626368107397,6.088775431690216,0.002133202655047137,1.592496951898945,0.5067374513627532
Achilles_10252013,256,inhibitory,rCA1,1617,0.4519563198541113,330.295720845668,2.641902028527695e-152,1.8939971240974458,7.878792873592038
Achilles_10252013,257,excitatory,rCA1,609,0.13046848567507763,10.366413684397893,3.036276744048308e-05,4.188617329602009,2.96733757576843
Achilles_10252013,258,excitatory,rCA1,933,0.179585729135668,30.09021482387382,6.792986794408265e-14,4.936846898863106,4.546019635783161
Achilles_10252013,259,excitatory,rCA1,1425,0.06112499997750306,5.324178511705892,0.004857223818130303,3.2789185996562695,6.943277578768494
Achilles_10252013,263,excitatory,rCA1,100,0.40632862909590156,16.510295482295472,3.5252920718657745e-08,2.675588155339338,0.4872475493872627
Achilles_10252013,264,excitatory,rCA1,33,0.4789419689032709,7.569718516039076,0.0003614109526874915,1.923419801729783,0.1607916912977967
Achilles_10252013,266,excitatory,rCA1,32,0.4865538155134961,7.5755076925037175,0.0003546224868322697,2.331865175479557,0.15591921580392407
Achilles_10252013,267,inhibitory,rCA1,777,0.2544251046938201,50.29686803910445,6.392825255819027e-23,2.205733848409998,3.785913458739031
Achilles_10252013,268,excitatory,rCA1,725,0.11298984084652203,9.255860497528724,9.33502832757682e-05,1.6189044308572456,3.5325447330576547
Achilles_10252013,269,excitatory,rCA1,50,0.09563788903433458,0.45733029094718475,0.635195887227142,3.1997862129318655,0.24362377469363136
Achilles_10252013,270,excitatory,rCA1,187,0.12594975663901484,2.9664448039188605,0.051288032250767626,4.536352318194603,0.9111529173541812
