template,wcorr,slope,p_circ,p_perm,max_p,significant
left,-0.19269846166365373,-110.2245626630881,0.49625935162094764,0.6384039900249376,0.6384039900249376,False
left,-0.19932464635120728,-154.35475049426628,0.600997506234414,0.6807980049875312,0.6807980049875312,False
left,-0.19505988141973982,-169.8466449572972,0.6084788029925187,0.7506234413965087,0.7506234413965087,False
right,-0.41934346782613097,-311.3053836499026,0.0199501246882793,0.057356608478802994,0.057356608478802994,False
right,-0.48888977817590895,-245.1411080358305,0.004987531172069825,0.03740648379052369,0.03740648379052369,True
right,-0.39673956459434534,-267.14914554609464,0.14463840399002495,0.2144638403990025,0.2144638403990025,False
left,-0.19196722820972253,-115.02956009359931,0.4688279301745636,0.600997506234414,0.600997506234414,False
right,0.4569139839640962,286.06273898868176,0.029925187032418952,0.057356608478802994,0.057356608478802994,False
left,0.05761072811031659,26.214354948912455,0.9251870324189526,0.9451371571072319,0.9451371571072319,False
left,0.2990686492086528,168.13909422347427,0.06733167082294264,0.2743142144638404,0.2743142144638404,False
right,0.08062577018666726,29.713621118714762,0.7531172069825436,0.8478802992518704,0.8478802992518704,False
right,-0.6508640079731782,-317.418773271435,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,True
left,-0.2831724968977344,-129.9235014964033,0.14713216957605985,0.28428927680798005,0.28428927680798005,False
right,-0.04263214730862696,-22.079463237864164,0.9476309226932669,0.972568578553616,0.972568578553616,False
right,-0.035329703050553454,-22.740515219316265,0.9775561097256857,0.9875311720698254,0.9875311720698254,False
right,-0.19616817785965737,-92.61405278711906,0.42643391521197005,0.5336658354114713,0.5336658354114713,False
right,0.12707973033372472,60.67941661079045,0.6384039900249376,0.7531172069825436,0.7531172069825436,False
right,-0.20325428649449973,-134.9227622829718,0.3940149625935162,0.5935162094763092,0.5935162094763092,False
right,-0.18110394588065756,-86.4751016883283,0.41895261845386533,0.6109725685785536,0.6109725685785536,False
left,-0.25366318483669864,-167.1860212019302,0.3192019950124688,0.42144638403990026,0.42144638403990026,False
left,-0.14607233852926788,-114.7259662905481,0.7231920199501247,0.8553615960099751,0.8553615960099751,False
left,0.2524989196055499,157.5027090424186,0.24438902743142144,0.48129675810473815,0.48129675810473815,False
right,-0.37958312685959694,-211.96152536318664,0.034912718204488775,0.12718204488778054,0.12718204488778054,False
