template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,fwd
right,0.07118584731872889,40.810487230970416,0.8628428927680798,0.942643391521197,0.942643391521197,PRE,3634,16541.01,0.27000000000043656,34,False,True
right,-0.18758525108857174,-74.22064028120414,0.33665835411471323,0.5012468827930174,0.5012468827930174,PRE,3636,16545.77,0.48999999999796273,63,False,False
right,-0.45188713185496593,-233.99044020855288,0.04987531172069826,0.08977556109725686,0.08977556109725686,PRE,3639,16550.01,0.26000000000203727,25,False,False
right,-0.20312592515005493,-116.60704269633455,0.4164588528678304,0.6109725685785536,0.6109725685785536,PRE,3641,16652.71,0.3400000000001455,63,False,False
right,-0.11623114646589736,-37.68918758182582,0.5286783042394015,0.6982543640897756,0.6982543640897756,PRE,3643,16667.14,0.4900000000016007,54,False,False
left,-0.13918312496203278,-48.12731779330807,0.6034912718204489,0.7032418952618454,0.7032418952618454,PRE,3645,16678.41,0.4500000000007276,37,False,True
left,0.10508744988521192,60.59644294076668,0.7780548628428927,0.8379052369077307,0.8379052369077307,PRE,3654,16804.19,0.3500000000021828,45,False,False
right,-0.0955939514734126,-43.854546329234196,0.7880299251870324,0.8453865336658354,0.8453865336658354,PRE,3655,16834.7,0.3600000000005821,30,False,False
right,0.3269785448804038,167.73931690783417,0.14713216957605985,0.20947630922693267,0.20947630922693267,PRE,3656,16840.47,0.3499999999985448,47,False,True
right,0.28310247785757864,165.6058597236209,0.16458852867830423,0.3740648379052369,0.3740648379052369,PRE,3659,16967.81,0.31999999999970896,33,False,True
right,0.10203731912655917,64.89758471844229,0.8054862842892768,0.8503740648379052,0.8503740648379052,PRE,3660,16968.32,0.25,34,False,True
right,0.30712167071330193,158.6010282106459,0.14962593516209477,0.26184538653366585,0.26184538653366585,PRE,3661,16985.16,0.2900000000008731,40,False,True
right,-0.21057467570373942,-153.3781228073223,0.5586034912718204,0.6733167082294265,0.6733167082294265,PRE,3662,16995.65,0.25,42,False,False
left,0.12129049207542701,74.58497732961212,0.7905236907730673,0.8354114713216958,0.8354114713216958,PRE,3663,16996.93,0.3400000000001455,55,False,False
left,-0.24851745006530768,-111.15721857786095,0.24189526184538654,0.34413965087281795,0.34413965087281795,PRE,3667,17012.95,0.3899999999994179,46,False,True
left,-0.2730635430991543,-169.48859321754023,0.29177057356608477,0.46633416458852867,0.46633416458852867,PRE,3670,17026.5,0.2900000000008731,51,False,True
right,-0.22222812714075293,-91.46475323791559,0.32917705735660846,0.3790523690773067,0.3790523690773067,PRE,3671,17033.34,0.4000000000014552,49,False,False
left,0.22567049291624947,159.54427328607085,0.4613466334164589,0.5635910224438903,0.5635910224438903,PRE,3674,17038.69,0.2800000000024738,29,False,False
left,0.22486281521657683,125.08824224043208,0.26184538653366585,0.4912718204488778,0.4912718204488778,PRE,3676,17042.01,0.4000000000014552,64,False,False
left,-0.27537803197431737,-126.38356872082149,0.1172069825436409,0.23690773067331672,0.23690773067331672,PRE,3677,17059.39,0.43000000000029104,50,False,True
left,0.4535316098586881,245.58740588647905,0.022443890274314215,0.05486284289276808,0.05486284289276808,PRE,3679,17062.04,0.3400000000001455,45,False,False
right,-0.2322896540616631,-85.75741888471654,0.16458852867830423,0.2543640897755611,0.2543640897755611,PRE,3682,17066.79,0.4500000000007276,56,False,False
left,0.36325549973667803,228.74832201829315,0.034912718204488775,0.20199501246882792,0.20199501246882792,PRE,3686,17075.76,0.2800000000024738,39,False,False
left,0.18037099269134674,121.05997454435303,0.6034912718204489,0.7256857855361596,0.7256857855361596,PRE,3690,17089.88,0.25,48,False,False
left,-0.3152539005450259,-215.9061236969027,0.18204488778054864,0.32169576059850374,0.32169576059850374,PRE,3693,17105.4,0.25,23,False,True
left,-0.3238414421149646,-153.28065457091898,0.10224438902743142,0.22693266832917705,0.22693266832917705,PRE,3694,17107.85,0.38000000000101863,42,False,True
left,0.2245345031210439,80.90999752577498,0.10224438902743142,0.20947630922693267,0.20947630922693267,PRE,3697,17116.39,0.43000000000029104,45,False,False
right,0.5799192234643856,359.06392932718063,0.012468827930174564,0.00997506234413965,0.012468827930174564,PRE,3698,17116.89,0.2999999999992724,36,True,True
right,-0.1402224521622294,-48.76080630245145,0.4837905236907731,0.5985037406483791,0.5985037406483791,PRE,3705,17138.72,0.4399999999986903,42,False,False
right,-0.23129136027376931,-90.16952925264373,0.24688279301745636,0.371571072319202,0.371571072319202,PRE,3710,17146.05,0.43000000000029104,51,False,False
right,-0.11133874600159543,-63.959902771981696,0.7830423940149626,0.8653366583541147,0.8653366583541147,PRE,3711,17147.61,0.31999999999970896,45,False,False
left,-0.2664411073351279,-141.9039195434346,0.2743142144638404,0.4089775561097257,0.4089775561097257,PRE,3712,17150.56,0.27999999999883585,34,False,True
right,0.22471105366290545,101.11956446242378,0.35910224438902744,0.4688279301745636,0.4688279301745636,PRE,3714,17160.71,0.37000000000261934,47,False,True
right,0.46127836533161076,277.06051771100425,0.02493765586034913,0.07481296758104738,0.07481296758104738,PRE,3715,17161.59,0.2900000000008731,39,False,True
