template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,session
left,0.10278000013500785,56.62871791906281,0.7206982543640897,0.8628428927680798,0.8628428927680798,PRE,2194,12308.92,0.3500000000003638,22,False,Gatsby-08022013
left,0.14993947004208888,68.5188698535154,0.4139650872817955,0.6184538653366584,0.6184538653366584,PRE,2197,12313.67,0.3500000000003638,20,False,Gatsby-08022013
left,0.25830622261342634,186.93771023674412,0.13216957605985039,0.4488778054862843,0.4488778054862843,PRE,2198,12323.06,0.25,20,False,Gatsby-08022013
right,0.34345780408027227,146.33302630021012,0.004987531172069825,0.09476309226932668,0.09476309226932668,PRE,2202,12336.19,0.3599999999987631,20,False,Gatsby-08022013
left,-0.23055625771176838,-124.84528066989165,0.2194513715710723,0.3790523690773067,0.3790523690773067,PRE,2206,12340.27,0.27999999999883585,19,False,Gatsby-08022013
right,0.1682829488926479,139.4702975294196,0.6334164588528678,0.6758104738154613,0.6758104738154613,PRE,2208,12343.63,0.25,23,False,Gatsby-08022013
right,-0.34798531226653673,-234.88078129454706,0.0199501246882793,0.12468827930174564,0.12468827930174564,PRE,2209,12346.83,0.2600000000002183,17,False,Gatsby-08022013
right,-0.2183228174495549,-122.73008363124416,0.17206982543640897,0.40399002493765584,0.40399002493765584,PRE,2212,12353.3,0.3000000000010914,18,False,Gatsby-08022013
left,0.38151299906420383,189.22899764279006,0.007481296758104738,0.04738154613466334,0.04738154613466334,PRE,2215,12365.91,0.37000000000080036,28,True,Gatsby-08022013
left,-0.35775122220247724,-238.8595144978972,0.012468827930174564,0.0773067331670823,0.0773067331670823,PRE,2217,12373.33,0.27000000000043656,15,False,Gatsby-08022013
left,0.5209409796013043,306.74624372134485,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,PRE,2221,12386.44,0.2899999999990541,18,True,Gatsby-08022013
left,-0.30243246804868823,-222.2867368263247,0.04987531172069826,0.17955112219451372,0.17955112219451372,PRE,2223,12389.11,0.2600000000002183,13,False,Gatsby-08022013
right,0.29879474326735017,144.92967053985046,0.08478802992518704,0.2518703241895262,0.2518703241895262,PRE,2228,12409.19,0.32999999999992724,17,False,Gatsby-08022013
right,0.09128686416049846,35.69271794492686,0.7905236907730673,0.8478802992518704,0.8478802992518704,PRE,2233,12416.22,0.3400000000001455,18,False,Gatsby-08022013
left,0.13593027776772545,79.16884905582188,0.6907730673316709,0.7107231920199502,0.7107231920199502,PRE,2238,12433.71,0.2600000000002183,16,False,Gatsby-08022013
left,0.0500479900038734,25.124202606777402,0.9226932668329177,0.9476309226932669,0.9476309226932669,PRE,2239,12440.07,0.3400000000001455,24,False,Gatsby-08022013
left,-0.27437024844826446,-159.3748108958868,0.06234413965087282,0.19201995012468828,0.19201995012468828,PRE,2251,12463.81,0.3000000000010914,16,False,Gatsby-08022013
left,0.28332978919140933,124.64083028345848,0.032418952618453865,0.17206982543640897,0.17206982543640897,PRE,2260,12483.41,0.42000000000007276,24,False,Gatsby-08022013
left,0.0921034933923116,49.96841417791733,0.7481296758104738,0.7780548628428927,0.7780548628428927,PRE,2261,12486.42,0.3400000000001455,16,False,Gatsby-08022013
right,0.27978385129691485,146.21661152440248,0.03740648379052369,0.1571072319201995,0.1571072319201995,PRE,2275,12522.04,0.3099999999994907,15,False,Gatsby-08022013
right,0.1476410594861007,45.98494501608824,0.4164588528678304,0.5187032418952618,0.5187032418952618,PRE,2276,12523.17,0.4899999999997817,25,False,Gatsby-08022013
