start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session,r,slope,direction,p_column,p_placefield,p_timebin,significant,n_bins
26087.8912,26087.9456,26087.9184,9.874757766723633,0.0544,0.0001738843129714951,175.54418055440448,Non-REM,POST,Cicero_09012014,-0.1313934590730773,-2.2827352109800563,left,0.2554890219560878,0.5988023952095808,0.7245508982035929,False,5
26091.724,26091.8552,26091.7448,5.011039733886719,0.1312,0.00012351173791103065,148.46817268006313,Non-REM,POST,Cicero_09012014,0.2683752773139592,2.6555231615697172,right,0.013972055888223553,0.10978043912175649,0.05588822355289421,False,9
26094.4528,26094.5904,26094.4912,5.193930625915527,0.1376,0.00011768945114454255,145.64890936713428,Non-REM,POST,Cicero_09012014,0.04600451752141418,0.421474061753612,right,0.9141716566866267,0.9141716566866267,0.9520958083832335,False,9
26100.2976,26100.3648,26100.3232,11.958358764648438,0.0672,0.00024290378496516496,151.39094806131692,Non-REM,POST,Cicero_09012014,0.1057279791736349,1.833895066069203,left,0.6187624750499002,0.6946107784431138,0.7984031936127745,False,5
26101.9376,26102.0064,26101.9664,10.37175178527832,0.0688,0.00019356900884304196,163.91524809920867,Non-REM,POST,Cicero_09012014,-0.1367537048395674,-2.2061460166246896,left,0.564870259481038,0.7664670658682635,0.5149700598802395,False,5
26104.9576,26105.0368,26105.0136,9.847235679626465,0.0792,0.0002103319566231221,160.46446904418465,Non-REM,POST,Cicero_09012014,-0.11475871637929456,-1.4757167866181513,left,0.5469061876247505,0.7425149700598802,0.7405189620758483,False,6
26116.1728,26116.2288,26116.1984,5.814298152923584,0.056,0.0001409774413332343,157.34674725438674,Non-REM,POST,Cicero_09012014,-0.5977600954703799,-12.111631442284763,right,0.001996007984031936,0.011976047904191617,0.06187624750499002,False,5
26120.6624,26120.7208,26120.6944,8.26745891571045,0.0584,0.0001448664697818458,164.8816015356796,Non-REM,POST,Cicero_09012014,-0.07451057049286694,-1.1331786017801355,right,0.874251497005988,0.872255489021956,0.8982035928143712,False,5
26125.12,26125.192,26125.1416,8.84912109375,0.072,0.0001626441953703761,172.06587300136343,Non-REM,POST,Cicero_09012014,0.18196977581456486,2.472769224367256,right,0.3812375249500998,0.3872255489021956,0.47904191616766467,False,6
26133.0488,26133.1064,26133.0824,10.457711219787598,0.0576,0.00023386433895211667,160.07579827367138,Non-REM,POST,Cicero_09012014,0.286298782178275,4.856038388369511,left,0.023952095808383235,0.2554890219560878,0.48902195608782434,False,5
26135.9856,26136.052,26136.0136,7.930113792419434,0.0664,0.00015046446060296148,144.39929086934978,Non-REM,POST,Cicero_09012014,0.09753095627831804,1.4795581887797022,left,0.5409181636726547,0.5728542914171657,0.7325349301397206,False,5
26146.3184,26146.4184,26146.388,13.007779121398926,0.1,0.00023640131985303015,156.61599390898874,Non-REM,POST,Cicero_09012014,0.3610778146256001,3.883081449128376,right,0.043912175648702596,0.07385229540918163,0.18562874251497005,False,7
26150.5912,26150.652,26150.6296,8.575068473815918,0.0608,0.00018590022227726877,160.1208943095338,Non-REM,POST,Cicero_09012014,-0.08805721747782132,-1.2625870429080923,right,0.6986027944111777,0.8602794411177644,0.7724550898203593,False,5
26150.9184,26150.9688,26150.94,11.392932891845703,0.0504,0.00021842723072040826,162.78297269315365,Non-REM,POST,Cicero_09012014,0.06183549578474571,0.8872328832639802,left,0.8802395209580839,0.8702594810379242,0.9141716566866267,False,5
26154.0032,26154.0976,26154.0224,9.150745391845703,0.0944,0.00023333777789957821,160.6715579288507,Non-REM,POST,Cicero_09012014,-0.10721991791257339,-1.3056337521174557,right,0.2554890219560878,0.5069860279441117,0.5449101796407185,False,7
26154.7224,26154.7904,26154.7592,9.430679321289062,0.068,0.00016374791448470205,156.39722191885375,Non-REM,POST,Cicero_09012014,-0.1944648484516621,-3.3102646405299034,right,0.3013972055888224,0.3812375249500998,0.5069860279441117,False,5
26155.6768,26155.7336,26155.7064,10.770263671875,0.0568,0.0002153867098968476,172.48744569342583,Non-REM,POST,Cicero_09012014,-0.05000536286500293,-0.81966233822276,left,0.6467065868263473,0.8842315369261478,0.8023952095808383,False,5
26395.2544,26395.3224,26395.2944,6.90282678604126,0.068,0.00014003922115080059,183.82380350068928,Non-REM,POST,Cicero_09012014,0.20569223967813152,3.357505818032308,right,0.0499001996007984,0.3712574850299401,0.4291417165668663,False,5
26397.3752,26397.4768,26397.4064,19.198001861572266,0.1016,0.0003146402013953775,173.45135554642962,Non-REM,POST,Cicero_09012014,-0.08259096893129661,-0.8827245394890735,left,0.8343313373253493,0.8862275449101796,0.906187624750499,False,7
26407.7104,26407.7624,26407.7344,10.630677223205566,0.052,0.0001897050824481994,158.497342810788,Non-REM,POST,Cicero_09012014,0.04691152757127249,0.7828533542951903,right,0.8502994011976048,0.46107784431137727,0.9540918163672655,False,5
26408.1256,26408.272,26408.2144,10.308892250061035,0.1464,0.00019111564324703068,179.17449232274606,Non-REM,POST,Cicero_09012014,0.20758638222873568,1.854447644495823,right,0.2934131736526946,0.2754491017964072,0.5229540918163673,False,9
26413.32,26413.3808,26413.3424,10.623059272766113,0.0608,0.00020916682842653245,174.21573904126615,Non-REM,POST,Cicero_09012014,0.04298403647429252,0.7882549030504626,left,0.846307385229541,0.9341317365269461,0.9481037924151696,False,5
26415.184,26415.248,26415.2168,11.914252281188965,0.064,0.0002568598429206759,157.908490399819,Non-REM,POST,Cicero_09012014,0.10790061240289525,1.5529850770610398,left,0.7105788423153693,0.5948103792415169,0.9041916167664671,False,5
