start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session
10249.7576,10249.8032,10249.7776,6.038645267486572,0.0456,7.589272718178108e-05,153.3508675733625,Non-REM,PRE,Gatsby_08022013
10266.5056,10266.5896,10266.5496,7.909002304077148,0.084,8.095788507489488e-05,157.91243440744222,Non-REM,PRE,Gatsby_08022013
10269.0032,10269.0352,10269.0192,7.601960182189941,0.032,0.00011760107736336067,161.43423359114917,Non-REM,PRE,Gatsby_08022013
10273.3224,10273.3608,10273.3416,7.312239170074463,0.0384,9.96791641227901e-05,184.56221487551807,Non-REM,PRE,Gatsby_08022013
10273.8832,10273.936,10273.9064,11.336505889892578,0.0528,0.00013598956866189837,152.20428252787556,Non-REM,PRE,Gatsby_08022013
10274.6176,10274.668,10274.6368,8.619542121887207,0.0504,9.94044603430666e-05,180.2955285074376,Non-REM,PRE,Gatsby_08022013
10281.0648,10281.1112,10281.0824,7.0842132568359375,0.0464,9.489421063335612e-05,145.7682042252224,Non-REM,PRE,Gatsby_08022013
10281.2232,10281.252,10281.2368,5.387870788574219,0.0288,7.760860898997635e-05,159.34962673946302,Non-REM,PRE,Gatsby_08022013
10281.3832,10281.4344,10281.4096,11.414362907409668,0.0512,0.0001170616305898875,160.48716804296143,Non-REM,PRE,Gatsby_08022013
10292.1256,10292.1648,10292.144,6.900601863861084,0.0392,9.27243017940782e-05,147.65929714697768,Non-REM,PRE,Gatsby_08022013
10292.868,10293.036,10292.932,8.238028526306152,0.168,0.00011259405437158421,152.3219778986625,Non-REM,PRE,Gatsby_08022013
10297.2592,10297.3096,10297.2856,12.741599082946777,0.0504,0.0001211492926813662,162.29346464006068,Non-REM,PRE,Gatsby_08022013
10297.568,10297.6184,10297.5856,7.905601978302002,0.0504,0.00011904339771717787,152.43231712594832,Non-REM,PRE,Gatsby_08022013
10304.7488,10304.8,10304.78,6.41439151763916,0.0512,9.48044762481004e-05,162.79096237848924,Non-REM,PRE,Gatsby_08022013
10314.7504,10314.804,10314.7696,7.624882221221924,0.0536,0.000115499111416284,160.1495581628646,Non-REM,PRE,Gatsby_08022013
10320.5888,10320.6384,10320.6136,11.277871131896973,0.0496,0.00010862635826924816,176.73965206606806,Non-REM,PRE,Gatsby_08022013
10322.7712,10322.8264,10322.8,11.103798866271973,0.0552,0.00011702971823979169,149.4481635843022,Non-REM,PRE,Gatsby_08022013
10322.928,10322.9792,10322.9592,11.162487030029297,0.0512,0.00013029132969677448,157.8094974250283,Non-REM,PRE,Gatsby_08022013
10325.1432,10325.1888,10325.1648,5.228907108306885,0.0456,6.920311716385186e-05,153.90744173046107,Non-REM,PRE,Gatsby_08022013
10331.6928,10331.74,10331.7176,8.694360733032227,0.0472,0.00012383107969071716,140.74569141730439,Non-REM,PRE,Gatsby_08022013
10334.0552,10334.104,10334.0808,8.217910766601562,0.0488,9.352974302601069e-05,148.6803173352639,Non-REM,PRE,Gatsby_08022013
10336.86,10336.9016,10336.88,6.586309909820557,0.0416,8.650451491121203e-05,157.38522166318393,Non-REM,PRE,Gatsby_08022013
