direction,unit,peak_rate,peak_pos,mean_rate,sparsity,si,si_thresh,si_p,width,stability,is_place,is_place_strict,session,subject
leftward,8,0.2886717910799464,0.06,0.09580683706940671,0.561643024979719,0.5321531947904379,0.7458193245809954,0.128,0.11999999999999998,0.3349548705730829,False,False,Cicero_09012014,Cicero
leftward,11,3.3547244429509244,1.06,1.743543900632877,0.8328290064338634,0.13134009906330835,0.06122101616080333,0.0,0.8399999999999999,0.7511602872137509,True,True,Cicero_09012014,Cicero
leftward,14,0.6626207316674871,0.7,0.2157039559526852,0.7138490859110543,0.2402729942440764,0.3824344217486175,0.18,0.11999999999999998,0.3365196707302858,False,False,Cicero_09012014,Cicero
leftward,16,9.22066723901916,1.3,2.589842782175798,0.5061583279868602,0.5790795989647746,0.06917480202641846,0.0,0.31999999999999995,0.9694080419329997,True,True,Cicero_09012014,Cicero
leftward,19,0.5223972921308284,0.33999999999999997,0.16155928074756665,0.7029621935840938,0.27657414391187485,0.5562728105442604,0.562,0.15999999999999998,0.3109561877468249,False,False,Cicero_09012014,Cicero
leftward,20,6.766479757144087,0.54,4.191863524747098,0.950893953183661,0.05086919015733575,0.0259375475390685,0.0,1.0399999999999998,0.4729668283382324,True,True,Cicero_09012014,Cicero
leftward,21,4.845607804382533,0.02,0.4648247673181026,0.18884139051056262,1.6957134478426399,0.5850171048656928,0.0,0.07999999999999999,0.8664616967562713,True,True,Cicero_09012014,Cicero
leftward,22,0.4024921309631415,0.74,0.14208583623201002,0.6438518137194248,0.5510649823275606,0.6563748894208439,0.062,0.15999999999999998,0.049118409444824734,False,False,Cicero_09012014,Cicero
leftward,23,1.151525313754975,0.22,0.3506267243345618,0.5791336399826273,0.5429882534376094,0.2717480334918292,0.0,0.15999999999999998,0.8059385569395879,True,True,Cicero_09012014,Cicero
leftward,25,0.655583822747538,0.74,0.15345210995994568,0.4524701572139571,0.8019231325539309,0.7161832556877611,0.0,0.11999999999999998,0.41915431243320944,False,False,Cicero_09012014,Cicero
leftward,26,1.7620311600378884,0.18,0.7864385488741183,0.724969099840012,0.3277271885757304,0.1506943098245305,0.0,0.3999999999999999,0.5197571776270951,True,True,Cicero_09012014,Cicero
leftward,29,7.808039790557186,0.7,2.2497600236674744,0.42899928057022363,0.8569914803201838,0.20576197767898569,0.0,0.35999999999999993,0.9624423011210664,True,True,Cicero_09012014,Cicero
leftward,30,11.714910746946005,1.58,1.750383018243778,0.30580871986809033,1.223033629568234,0.18511230011044627,0.0,0.07999999999999999,0.938720108620693,True,True,Cicero_09012014,Cicero
leftward,31,3.4228077442944147,1.58,2.0356113352653895,0.8860075815095181,0.08588023846439742,0.06231581754691434,0.0,0.43999999999999995,0.7018307352115561,True,True,Cicero_09012014,Cicero
leftward,32,3.331362347994941,0.02,1.4373685036044832,0.7818235439811907,0.2501670363135489,0.07173553639455657,0.0,0.27999999999999997,0.7612903040772829,True,True,Cicero_09012014,Cicero
leftward,33,1.1934309361723172,1.1400000000000001,0.33384397377229674,0.46717269752213064,0.8082526040631817,0.4342169996695454,0.0,0.31999999999999995,0.8580781708125286,True,True,Cicero_09012014,Cicero
leftward,34,20.737281217233438,0.8200000000000001,12.002383919494466,0.8633747001428894,0.16689960843173907,0.01857536911288351,0.0,1.0799999999999998,0.931897683067309,True,True,Cicero_09012014,Cicero
leftward,35,1.9229337946052651,1.58,0.7921014275664781,0.8394050810603625,0.13845083807418027,0.14402085726049052,0.014,0.23999999999999996,0.3604417516259853,False,False,Cicero_09012014,Cicero
leftward,36,1.8430483735358447,0.45999999999999996,0.8446934083153284,0.7587956308693065,0.35854814293225656,0.12033120851906522,0.0,0.3999999999999999,0.6448652258550864,True,True,Cicero_09012014,Cicero
leftward,40,0.6189188966264566,0.14,0.19207256308709822,0.48334091490563874,0.9032321364373216,0.5411731613460333,0.0,0.35999999999999993,0.6726665009369137,False,False,Cicero_09012014,Cicero
leftward,42,7.943637540609561,0.94,3.280799974882651,0.668408580866954,0.40472202820013375,0.054741842333948805,0.0,0.3999999999999999,0.9444744157392171,True,True,Cicero_09012014,Cicero
leftward,44,0.8811474491231879,1.06,0.25738056943540577,0.6048417802473165,0.5610017790716421,0.37211691609078096,0.0,0.19999999999999996,0.5185821541695154,False,False,Cicero_09012014,Cicero
leftward,46,0.890362033202083,0.18,0.2392327820722629,0.5506289615779857,0.8405506910241233,0.4915026613863168,0.0,0.19999999999999996,0.35481688415660345,False,False,Cicero_09012014,Cicero
leftward,48,0.6358307128985786,0.14,0.19046858678659015,0.5910316493014578,0.41114276912974135,0.45529354393347865,0.032,0.23999999999999996,0.6173235101332744,False,False,Cicero_09012014,Cicero
leftward,49,0.42561891317766976,0.8200000000000001,0.2068412833736264,0.8177189706620537,0.15058366189098787,0.3731643943444123,0.69,0.43999999999999995,-0.4429939502659348,False,False,Cicero_09012014,Cicero
leftward,51,2.92154699348183,0.18,1.643539619640065,0.893158711588978,0.0780194988844217,0.055629479517567505,0.0,0.5599999999999999,0.5488895453693556,True,True,Cicero_09012014,Cicero
leftward,52,4.777063241285279,0.1,2.7045680681715263,0.8691423979082509,0.1016590873585168,0.03590351367367258,0.0,0.5999999999999999,0.7616122907510805,True,True,Cicero_09012014,Cicero
leftward,55,4.026719895519452,0.98,1.4524289113554207,0.5350986375148118,0.7642171010995298,0.1300823262226921,0.0,0.5599999999999999,0.8897745965374584,True,True,Cicero_09012014,Cicero
leftward,56,13.147352014963463,0.98,5.7969677174547725,0.6663478335797228,0.31424499913832454,0.037367623989359326,0.0,0.5199999999999999,0.8858977142862247,True,True,Cicero_09012014,Cicero
leftward,57,1.2171370443900995,0.98,0.37087095486121774,0.48775057892285567,0.8322954278309598,0.24473246303294519,0.0,0.43999999999999995,0.8234505737470573,True,True,Cicero_09012014,Cicero
leftward,60,0.30414039747344995,0.54,0.11079102367019229,0.6916138649177486,0.3226245413994713,0.7492161746051266,0.7,0.11999999999999998,-0.0770621670843903,False,False,Cicero_09012014,Cicero
leftward,61,3.137088975562997,1.1400000000000001,2.0350399022992858,0.9026413294525238,0.07191834234839821,0.055581025140272716,0.0,0.7199999999999999,0.23998052880917237,True,False,Cicero_09012014,Cicero
leftward,62,1.933947605050902,0.45999999999999996,0.8859067654456266,0.7594724896855265,0.2653544933929569,0.11472095604381376,0.0,0.31999999999999995,0.6141000113257005,True,True,Cicero_09012014,Cicero
leftward,64,1.9848771029679948,0.22,0.8045432879092571,0.8099273368632808,0.1554695368086061,0.13071370004911312,0.0,0.23999999999999996,0.5702870788478879,True,True,Cicero_09012014,Cicero
leftward,65,13.422320887323469,0.02,1.1520162266943461,0.15963300189116345,1.6344431380774997,0.2523909228621531,0.0,0.07999999999999999,0.9765911940649521,True,True,Cicero_09012014,Cicero
leftward,66,0.4285642956107847,0.02,0.15517581272065245,0.7148714705289609,0.3028996378079182,0.5617917626970911,0.33,0.11999999999999998,-0.1524599103642128,False,False,Cicero_09012014,Cicero
leftward,69,6.982755057581241,0.98,2.077951423779276,0.5769144785273409,0.39015563614087745,0.10627886836953153,0.0,0.31999999999999995,0.9185162921314369,True,True,Cicero_09012014,Cicero
leftward,72,0.9451573585743844,1.22,0.5021449191017003,0.8261113827568909,0.15171238299693218,0.19355802942083358,0.066,0.19999999999999996,-0.2710495401973656,False,False,Cicero_09012014,Cicero
rightward,1,4.490005886854079,0.925,2.4285376664616365,0.8092672862501408,0.15315715082883746,0.04000000818756245,0.0,1.0500000000000003,0.791263399600735,True,True,Cicero_09172014,Cicero
rightward,2,3.169853340862647,1.125,1.415581588571868,0.6694106446425694,0.21532992355184205,0.15046689146590655,0.0,1.0000000000000002,0.7903722888313889,True,True,Cicero_09172014,Cicero
rightward,3,14.39106880351029,0.025,6.793985213965209,0.8429108827805267,0.07023483995429926,0.027750127315356712,0.0,0.25000000000000006,0.881045564200119,True,True,Cicero_09172014,Cicero
rightward,4,9.984782968372029,1.275,5.781725024871726,0.921419811905855,0.04053705432965368,0.028176368844204148,0.0,1.0000000000000002,0.8007704444017769,True,True,Cicero_09172014,Cicero
rightward,6,0.6027090278293695,1.8250000000000002,0.1327937945950916,0.45629813712287126,0.5414901952643373,0.7906023225469185,0.222,0.20000000000000004,0.51933254656399,False,False,Cicero_09172014,Cicero
rightward,7,2.290457575377367,0.7250000000000001,1.1758170870329374,0.7779337586594164,0.19448025542587372,0.15218879305683336,0.0,0.5500000000000002,0.5294604818681896,True,True,Cicero_09172014,Cicero
rightward,8,15.22685176897313,0.925,8.435441815519358,0.7982114961607946,0.14382982376814904,0.035873728365532986,0.0,1.1500000000000001,0.8743684694184973,True,True,Cicero_09172014,Cicero
rightward,9,1.0369554066861895,1.3250000000000002,0.2702339030131494,0.46592027110299733,0.7470933768657017,0.5702933385511634,0.0,0.45000000000000007,0.9162402628829337,True,True,Cicero_09172014,Cicero
rightward,10,3.79106753089072,1.475,1.0004771614255827,0.5209178342754173,0.4431410691328311,0.14041746205984004,0.0,0.30000000000000004,0.800774511525497,True,True,Cicero_09172014,Cicero
rightward,12,1.2523226332212034,0.025,0.16546389763146394,0.3271878681182027,1.2373374868338176,0.6468280029830316,0.0,0.10000000000000002,0.70700166553571,True,True,Cicero_09172014,Cicero
rightward,13,1.706737474519571,1.5750000000000002,0.3255006408299164,0.3825466886419249,1.3363468466644162,0.5550871021932385,0.0,0.20000000000000004,0.811386944089223,True,True,Cicero_09172014,Cicero
rightward,16,2.0408650741131846,1.9250000000000003,0.8746341421682745,0.73616143155884,0.23518211391244448,0.12025248562810695,0.0,0.30000000000000004,0.6418056474175249,True,True,Cicero_09172014,Cicero
rightward,17,7.145588169175706,1.725,1.0863706448712391,0.2915502165094594,1.154375560915453,0.44954776414469205,0.0,0.20000000000000004,0.8723799635191644,True,True,Cicero_09172014,Cicero
rightward,18,9.369977362465725,1.025,3.7301216113157074,0.5956570069045669,0.45235755251467114,0.06903384108371576,0.0,0.6000000000000001,0.906007197738121,True,True,Cicero_09172014,Cicero
rightward,19,0.8309280082907987,1.3250000000000002,0.37400334910817157,0.762314992118097,0.24566976450263525,0.20623256023236555,0.002,0.25000000000000006,0.3160217283999462,False,False,Cicero_09172014,Cicero
rightward,21,0.3810323977701589,0.17500000000000002,0.05680283715962451,0.2943553603357956,0.8449753665020978,1.0293267904493224,0.108,0.15000000000000002,-0.0009625643198604988,False,False,Cicero_09172014,Cicero
rightward,23,9.192923635640403,0.525,3.7832002528620072,0.6881314090008522,0.34897835753912204,0.07903150546969614,0.0,0.30000000000000004,0.8709508682202391,True,True,Cicero_09172014,Cicero
rightward,24,0.3977387535584144,1.525,0.08426085670569725,0.42707048526988983,0.541381580796532,0.8794128092688697,0.332,0.20000000000000004,-0.041383526279299226,False,False,Cicero_09172014,Cicero
rightward,25,5.455301137492075,0.875,0.9564346382021279,0.31577645994482406,1.1316073210111102,0.3580445745013952,0.0,0.20000000000000004,0.8198846290237561,True,True,Cicero_09172014,Cicero
rightward,26,3.265353083626351,1.775,0.5327534056318601,0.3079893516488173,1.0650513831803363,0.4721210937334825,0.0,0.20000000000000004,0.8882640653983918,True,True,Cicero_09172014,Cicero
