unit,n_spikes,base_rate,wilcoxon_p,kw_p,tone_responsive,frequency_tuned,best_frequency,mean_rate,rate_2000,rate_4000,rate_8000,rate_16000,rate_32000,session
33,35621,0.0,1.0302068437771854e-213,0.0013625532084347919,True,True,32000.0,4.3563270404376855,4.787300012402332,4.431668463289016,3.191046020122641,4.475131057409539,4.896489648964897,LA11_ses-2
34,4283,0.0,5.950711873511012e-22,0.3956417892452072,True,False,2000.0,0.49853569967701555,0.6325189135557484,0.47909929332854234,0.32148597963922126,0.4475131057409538,0.6120612061206121,LA11_ses-2
35,34404,0.0,1.98659293017691e-188,0.6051283159499053,True,False,2000.0,4.676116371372627,5.221381619744512,4.44364594562223,4.3817348336012385,4.641350210970464,4.692469246924693,LA11_ses-2
36,319101,0.0,0.0,8.943339051479794e-35,True,True,8000.0,45.821439973032525,45.36772913307702,41.945143130913884,55.18842650473299,44.07364787111623,42.532253225322535,LA11_ses-2
37,7305,0.0,4.106821701861807e-88,0.004050171634033679,True,True,8000.0,1.1193986051953646,0.9301748728761007,1.0420409629895797,1.4883610168482466,1.1763201636619358,0.9600960096009601,LA11_ses-2
38,108113,0.0,0.0,5.592640976306243e-07,True,True,8000.0,15.021118628004771,14.771176981272479,14.313091388190204,16.776805381913437,14.8190768443933,14.425442544254425,LA11_ses-2
39,47912,0.0,0.0,1.5348630101104554e-17,True,True,4000.0,5.169639734952019,4.415230063251891,6.336088154269973,4.941358575936179,3.95090141925585,6.204620462046204,LA11_ses-2
40,3154,0.0,5.531835451788178e-15,0.011865641620894823,True,True,4000.0,0.1533954744591897,0.18603497457522017,0.27548209366391185,0.10716199321307376,0.10228870988364659,0.09600960096009602,LA11_ses-2
41,2129,0.0,7.074463098970673e-10,0.05531015898688494,True,False,2000.0,0.09300019301517833,0.1488279796601761,0.1437297879985627,0.03572066440435792,0.07671653241273493,0.060006000600060005,LA11_ses-2
42,16829,0.0,1.448855903832607e-83,3.6148838132802414e-07,True,True,2000.0,0.9358074953947069,1.401463475133325,0.9701760689902982,1.000178603322022,0.7671653241273494,0.54005400540054,LA11_ses-2
43,5713,0.0,2.7001086779044598e-77,3.658312894968115e-39,True,True,8000.0,0.8853597305038636,0.6201165819174005,0.17966223499820339,1.6431505626004645,1.6238332694028896,0.36003600360036003,LA11_ses-2
44,5034,0.0,5.788112083353808e-55,2.9783934932694227e-06,True,True,8000.0,0.6408647482764384,0.8681632146843606,0.34734698766319316,0.9644579389176638,0.46029919447640966,0.564056405640564,LA11_ses-2
45,6227,0.0,1.687905464582237e-17,4.437559540490747e-05,True,True,4000.0,0.1938793635257921,0.21083963785191615,0.3952569169960474,0.08334821694350182,0.06393044367727911,0.21602160216021601,LA11_ses-2
46,26841,0.0,5.674361465265512e-220,5.986825636223821e-39,True,True,2000.0,2.519667498760708,4.018355450824755,2.934483171637322,1.381199023635173,2.8001534330648257,1.464146414641464,LA11_ses-2
47,16176,0.0,1.4548524854148442e-166,1.2818973215475352e-41,True,True,4000.0,2.181114682264074,3.2990202158005704,3.5932446999640675,1.9408227659701138,1.1123897199846566,0.9600960096009601,LA11_ses-2
48,77620,0.0,0.0,0.0,True,True,8000.0,15.11270502214624,20.066972590847076,7.581746316924182,25.826040364350778,15.356092571282446,6.732673267326732,LA11_ses-2
49,2104,0.0,1.7669557284526432e-128,1.9602720806105186e-143,True,True,16000.0,1.8434841599784773,3.807515812972839,0.4311893639956881,0.28576531523486337,4.308911903848613,0.38403840384038407,LA11_ses-2
50,16591,0.0,0.0,1.1142227726295858e-117,True,True,4000.0,14.502564546842601,11.310926454173384,20.529404719128042,8.561052568911116,15.969824830584324,16.14161416141614,LA11_ses-2
51,6888,0.0,2.7312387668008824e-282,8.187541681582459e-285,True,True,8000.0,4.581809636767902,4.712886022572244,0.8863336926578034,12.287908555099124,4.19383710522951,0.828082808280828,LA11_ses-2
52,71375,0.0,0.0,8.613497973513383e-58,True,True,8000.0,15.106063783998247,13.84100210839638,10.83962151155827,20.134547835923083,16.097685717938884,14.617461746174618,LA11_ses-2
53,5773,0.0,1.5760554536565315e-15,0.03828076001951658,True,True,4000.0,0.1820048090707598,0.16123031129852414,0.3114145406635525,0.11906888134785973,0.10228870988364659,0.21602160216021601,LA11_ses-2
54,76609,0.0,0.0,1.5530532495978343e-113,True,True,8000.0,13.947705831581535,17.18963165075034,7.174511917594922,18.65809370720962,15.471167369901547,11.245124512451245,LA11_ses-2
55,2684,0.0,3.18635546284692e-07,0.053435541200979285,True,False,2000.0,0.06850347731627024,0.1488279796601761,0.05988741166606779,0.07144132880871584,0.03835826620636747,0.024002400240024004,LA11_ses-2
56,9996,0.0,7.404748189159538e-19,0.012114689961176673,True,True,4000.0,0.21406101984095458,0.22324196949026417,0.35932446999640677,0.11906888134785973,0.14064697609001406,0.22802280228022803,LA11_ses-2
57,2546,0.0,2.399110051758028e-07,0.19347578118768397,True,False,2000.0,0.0805470339553388,0.1488279796601761,0.09581985866570847,0.03572066440435792,0.03835826620636747,0.08400840084008401,LA11_ses-2
58,3734,0.0,4.884768271020632e-177,3.085856260954747e-87,True,True,2000.0,2.237472737601406,4.849311670594072,0.622829081327105,1.416919688039531,1.7900524229638153,2.508250825082508,LA11_ses-2
59,2470,0.0,2.44251916738079e-14,1.156630448528045e-13,True,True,2000.0,0.1720732176735022,0.5084955971722683,0.10779734099892202,0.08334821694350182,0.07671653241273493,0.08400840084008401,LA11_ses-2
60,1906,0.0,3.65691438025073e-167,3.988342543870606e-181,True,True,16000.0,2.375500256175921,4.787300012402332,0.4671218109953288,0.5834375186045127,5.523590333716916,0.5160516051605161,LA11_ses-2
61,18361,0.0,9.39760161663098e-240,3.6767345815160893e-75,True,True,2000.0,3.128621543889941,5.742279548555128,1.3055455743202777,2.7147704947312024,4.10433448408132,1.776177617761776,LA11_ses-2
62,74046,0.0,0.0,0.0,True,True,2000.0,10.5111998082301,21.79089668857745,6.791232482932088,15.288444365065189,4.244981460171333,4.44044404440444,LA11_ses-2
63,266443,0.0,0.0,0.0,True,True,8000.0,91.51290269168042,97.29629170284014,44.017247574559825,136.6791688992082,110.22887098836465,69.34293429342934,LA11_ses-2
