unit,n_spikes,base_rate,wilcoxon_p,kw_p,tone_responsive,frequency_tuned,best_frequency,mean_rate,rate_2000,rate_4000,rate_8000,rate_16000,rate_32000,session
31,7635,0.0,5.047770462303476e-75,3.1271174634446535e-45,True,True,4000.0,1.8529229786049501,1.6147814610666873,4.327437268613739,1.9130150425114454,0.3770800885318468,1.0323010323010322,LA8_ses-2
32,25939,0.0,9.114644077989887e-288,7.216784158270813e-19,True,True,16000.0,5.305659960042708,3.897212949305178,4.623611682435212,5.640941792020929,7.771128781047627,4.595404595404595,LA8_ses-2
33,6089,0.0,7.11009450082289e-107,3.073556116676699e-275,True,True,8000.0,2.115739162353007,0.6210697927179567,0.7239819004524887,8.207979071288424,0.42626444790556606,0.5994005994005994,LA8_ses-2
34,16769,0.0,4.072050751439631e-144,7.403506821480044e-21,True,True,16000.0,4.377481524965743,2.763760577594907,3.1098313451254627,6.017004578155658,7.049758176899746,2.947052947052947,LA8_ses-2
35,9324,0.0,1.3762418372397225e-79,0.0003774054877400047,True,True,16000.0,2.3613009942808745,1.9097896126077167,1.8099547511312215,3.0739045127534337,3.1314042134601197,1.8814518814518812,LA8_ses-2
36,83943,0.0,0.0,3.0346429032401533e-15,True,True,32000.0,11.216624547287449,12.359288875087339,8.720691073632251,11.281883584041857,11.01729649971309,12.703962703962704,LA8_ses-2
37,67062,0.0,0.0,5.338305473827892e-218,True,True,8000.0,17.958095547039807,11.722692337551432,12.850678733031675,34.1890124264225,20.804984015083203,10.223110223110224,LA8_ses-2
38,70200,0.0,0.0,2.8569944596576315e-45,True,True,8000.0,15.990566403569755,15.154102942318143,17.392019744960923,19.964028776978417,15.820968931879664,11.62171162171162,LA8_ses-2
39,33831,0.0,0.0,1.262566763119539e-82,True,True,16000.0,7.569951962612204,5.279093238102632,5.018510900863842,8.714846304774362,13.509304041314861,5.328005328005328,LA8_ses-2
40,102264,0.0,0.0,1.8088960153534336e-07,True,True,2000.0,14.965498156598102,16.90862510674637,15.450431921020156,13.767168083714845,13.050250020493483,15.651015651015651,LA8_ses-2
41,9132,0.0,5.807409449950416e-57,1.3962571526976304e-09,True,True,16000.0,2.0272128823660607,2.7171803431410604,1.563142739613328,1.1118378024852844,3.2953520780391834,1.4485514485514484,LA8_ses-2
42,53767,0.0,5.773427610037992e-211,7.303439895853459e-37,True,True,4000.0,5.9168825445970405,7.328623554071889,8.391608391608392,3.9731850882930018,2.082137880154111,7.808857808857808,LA8_ses-2
43,13947,0.0,0.0,0.0,True,True,8000.0,11.702409191606801,2.266904743420542,7.996709173179761,34.58142576847613,11.93540454135585,1.7316017316017316,LA8_ses-2
44,71959,0.0,0.0,9.685055642522055e-58,True,True,4000.0,13.739335453440177,11.350050461920658,17.178116001645414,16.82472204054938,12.804328223624886,10.53946053946054,LA8_ses-2
45,17381,0.0,1.6364638078289322e-239,0.0,True,True,16000.0,6.344838702842511,2.375591957146184,2.3200329082682023,3.4663178548070634,21.23124846298877,2.3310023310023307,LA8_ses-2
46,8029,0.0,3.3820088072988454e-72,1.700825212177195e-10,True,True,4000.0,1.4324349634109297,1.0558186476205262,2.1390374331550803,0.7194244604316546,2.0657430936962045,1.1821511821511823,LA8_ses-2
47,82524,0.0,0.0,1.7984457927419434e-268,True,True,16000.0,18.286289337957573,13.026938902259142,12.669683257918551,13.096795291039895,39.10156570210673,13.536463536463536,LA8_ses-2
48,71338,0.0,0.0,2.321786851762541e-122,True,True,32000.0,8.488817901842362,11.350050461920658,8.621966269025092,6.6710268149117065,3.196983359291745,12.604062604062603,LA8_ses-2
49,93187,0.0,0.0,0.0,True,True,16000.0,29.073652264338637,15.231736666407887,11.287535993418347,18.459777632439504,88.36789900811543,12.02131202131202,LA8_ses-2
50,17277,0.0,6.140686918807723e-125,4.926721897796894e-09,True,True,32000.0,2.033444725707903,2.220324508966695,2.5503907856849035,1.4388489208633093,1.393556848922043,2.564102564102564,LA8_ses-2
51,62502,0.0,0.0,9.641106152366704e-112,True,True,4000.0,8.476126276601171,9.843956214579613,12.389962978198273,7.815565729234794,2.557586687433396,9.773559773559773,LA8_ses-2
52,32680,0.0,0.0,2.8183010035905615e-37,True,True,8000.0,6.145923299143107,4.8598711280180105,5.627313862607981,9.189012426422497,6.557914583162555,4.495504495504496,LA8_ses-2
53,57091,0.0,0.0,1.1333265667902036e-13,True,True,16000.0,9.978962449474164,9.875009704215511,10.004113533525299,8.845650752125572,12.328879416345604,8.84115884115884,LA8_ses-2
54,26226,0.0,8.686054411714459e-262,0.0008605189321346082,True,True,16000.0,4.407152463995068,4.906451362471858,4.064171122994653,4.169391759319817,5.049594229035168,3.8461538461538463,LA8_ses-2
55,17240,0.0,2.6961466909250065e-115,1.2982078870603935e-19,True,True,4000.0,2.2099480399039377,2.220324508966695,3.8831756478815302,1.7985611510791366,1.0164767603901959,2.131202131202131,LA8_ses-2
