session,maze,unit,direction,location,peak_rate,spatial_info,field_start,field_stop,field_peak,field_width,n_spikes_field,pref_phase,mrl,mrl_jitter,p_rayleigh,slope,phi0,rho,p_circlin,p_shuffle
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,49,1,rCA1,3.7427756410026904,0.47608971249405374,70.0,158.0,138.0,88.0,147,222.78425931178822,0.14510129429708818,0.0677541857977495,0.045013190170337634,-1.5499999999999998,-1.848064497126701,-0.0139673099300756,0.8647045374619278,0.9090909090909091
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,50,1,rCA1,12.027363635501986,0.8585717522225649,118.0,158.0,142.0,40.0,220,154.0378823205364,0.2693221078342025,0.0654674323449603,9.034265964764607e-08,-0.48999999999999977,-1.6118378313730977,-0.31162903903278055,2.7563638123062617e-06,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,54,1,rCA1,1.4766233791276653,0.3127434757611776,2.0,26.0,22.0,24.0,17,207.65918296159032,0.3974931470762895,0.19370533643798213,0.06623556355011037,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,76,1,rCA1,9.042976956368342,1.064100508799667,2.0,18.0,2.0,16.0,188,125.89284766296616,0.42685173028687773,0.05957543469816697,2.642609759645304e-16,-0.08999999999999986,2.388426996670368,-0.0849028873527447,0.23336634108056442,0.23676323676323677
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,77,1,rCA1,28.354874854718812,0.6122481711192183,118.0,158.0,142.0,40.0,570,182.12661544942728,0.24069497733919049,0.04474092911986031,2.8689872124474384e-15,-0.48999999999999977,-1.4662918706366515,-0.338110383685335,2.6645352591003757e-15,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,5,-1,lCA1,1.7520730054585094,0.45214284104912467,2.0,54.0,26.0,52.0,52,134.59351319157503,0.04751240524275939,0.11301533771883325,0.8901789495253876,-1.0099999999999998,-1.0106869479180953,-0.33423770996898944,0.017210984201851742,0.07092907092907093
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,8,-1,lCA1,12.204400639726808,0.5873080593713962,2.0,42.0,22.0,40.0,291,262.4411793918587,0.02904456976497269,0.05149396378754399,0.7826150927628179,-0.8700000000000001,-0.37853317487358923,0.05912733343660575,0.31320807793534744,0.5734265734265734
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,10,-1,lCA1,2.413037515008203,0.43965245567872496,34.0,70.0,62.0,36.0,25,65.8724826860716,0.46507288653314743,0.19060773033582146,0.0036617116739808835,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,11,-1,lCA1,1.3648791475382411,0.4456605290943479,102.0,134.0,122.0,32.0,20,189.7849446047486,0.13713149827097557,0.18363260933714337,0.6917127400146266,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,17,-1,lCA1,8.432885924712451,0.7742197339856672,46.0,90.0,66.0,44.0,185,138.66129402326044,0.22039575638834985,0.06675882897782706,0.00011472604798631837,-0.3799999999999999,-2.4894532047284104,-0.18286870984501094,0.013888004158587153,0.014985014985014986
