session,maze,unit,direction,location,peak_rate,spatial_info,field_start,field_stop,field_peak,field_width,n_spikes_field,pref_phase,mrl,mrl_jitter,p_rayleigh,slope,phi0,rho,p_circlin,p_shuffle
Cicero-09172014,2mLinearMazeLinearizedPosition,45,1,rCA1,14.373496464302004,0.4578742202351433,22.5,97.5,42.5,75.0,1316,138.87892440272387,0.10023635217380909,0.024593599507377766,1.7592876923956375e-06,-0.3500000000000001,-2.8178996101169855,-0.12265608998265437,1.156327452789263e-05,0.000999000999000999
Cicero-09172014,2mLinearMazeLinearizedPosition,49,1,rCA1,14.134691708859119,1.1192710663619627,2.5,27.5,2.5,25.0,311,94.16711894070893,0.19555926119611192,0.046826843572552505,6.206017570401185e-06,-0.33000000000000007,2.767622129933661,-0.12916682157136736,0.02480903089655273,0.024975024975024976
Cicero-09172014,2mLinearMazeLinearizedPosition,52,1,rCA1,6.096195991134026,1.0284842477858507,102.5,167.5,137.5,65.0,133,247.99750699952136,0.02313227489043549,0.07702871569210692,0.9315443745223203,0.7800000000000002,-2.796957687232541,0.0841118769370275,0.3316700375138437,0.5614385614385614
Cicero-09172014,2mLinearMazeLinearizedPosition,55,1,rCA1,3.1743285991158414,0.34841200096324876,92.5,167.5,137.5,75.0,100,166.69290066070582,0.01757913364339563,0.09341777677536442,0.9697168066229483,-0.7799999999999998,-1.2522757853557245,-0.3637150068240794,0.0003131761694923352,0.002997002997002997
Cicero-09172014,2mLinearMazeLinearizedPosition,59,1,rCA1,3.835470594818864,0.780525663790147,97.5,142.5,122.5,45.0,94,149.18226417943745,0.29858613573632264,0.09302263865066081,0.0001977458991303072,-0.1499999999999999,3.103766134868666,-0.09479848674824741,0.3427625386681499,0.37362637362637363
Cicero-09172014,2mLinearMazeLinearizedPosition,2,-1,lCA1,4.845728473006628,0.39568705898176,2.5,102.5,2.5,100.0,168,221.5068982584081,0.15712407660101627,0.06267914615811457,0.015592576600885281,0.6600000000000001,0.7114124197156423,0.21458974968357938,0.004231539627844949,0.023976023976023976
Cicero-09172014,2mLinearMazeLinearizedPosition,9,-1,lCA1,1.149503101361983,0.37141938148684855,67.5,162.5,107.5,95.0,52,200.35359423472818,0.09946219676102326,0.1254974925441314,0.6000364234404374,-0.9299999999999997,0.006651763975052314,-0.09074194025073644,0.5115364363242199,0.7262737262737263
Cicero-09172014,2mLinearMazeLinearizedPosition,10,-1,lCA1,4.768881716975975,0.5245884510420993,52.5,127.5,87.5,75.0,151,148.19366173862122,0.07529509338746397,0.07100399469388179,0.4255165404903206,-2.27,-2.064247151766239,-0.09417423977897785,0.248618334031538,0.4805194805194805
Cicero-09172014,2mLinearMazeLinearizedPosition,12,-1,lCA1,1.9749793310616988,1.9955477011223794,2.5,37.5,7.5,35.0,48,161.14362009483054,0.309975578941325,0.11251602728657908,0.009304151425330509,-0.3799999999999999,-2.444901872234843,-0.4395759090695187,0.002764390905130032,0.006993006993006993
Cicero-09172014,2mLinearMazeLinearizedPosition,17,-1,lCA1,17.956383445520487,0.8402991650238297,132.5,197.5,162.5,65.0,1231,143.64829827592266,0.21661347405137737,0.030297802598826896,4.20955403403399e-26,-0.3900000000000001,-2.3279071116800467,-0.12412387357214316,1.717288457725452e-05,0.000999000999000999
Cicero-09172014,2mLinearMazeLinearizedPosition,18,-1,lCA1,8.763476510789626,0.4530657744866313,67.5,122.5,92.5,55.0,243,241.48351847549398,0.2209924365804644,0.047893692962203326,6.201004344974793e-06,-0.8900000000000001,-0.8222418318928578,0.0462363487936754,0.47804154957354283,0.4965034965034965
Cicero-09172014,2mLinearMazeLinearizedPosition,21,-1,lCA1,2.4724856157913164,1.8490641134727996,2.5,42.5,17.5,40.0,60,41.89791814010589,0.1221605244943162,0.11930121022019102,0.4101328229141709,-0.8399999999999999,-1.787597766333856,-0.26262714949039073,0.05705824001670434,0.13986013986013987
Cicero-09172014,2mLinearMazeLinearizedPosition,23,-1,lCA1,11.32663899354412,0.5693172613976797,32.5,97.5,62.5,65.0,317,223.27974346641267,0.2570476310328529,0.055879883278804166,5.797118421157524e-10,-0.5499999999999998,-1.210175428648858,-0.09671625375304853,0.08174774298132959,0.08291708291708291
Cicero-09172014,2mLinearMazeLinearizedPosition,25,-1,lCA1,1.5266537641146174,0.5764839278698506,132.5,167.5,152.5,35.0,51,129.62313003043545,0.26393158008690276,0.09557785033382496,0.02786479615482391,-0.5,-2.5711238620899985,-0.3346832919054636,0.013785129388663053,0.03996003996003996
Cicero-09172014,2mLinearMazeLinearizedPosition,26,-1,lCA1,7.933830076399632,0.5873417247211046,27.5,57.5,42.5,30.0,126,86.28705440098324,0.29264640743350906,0.06690652598824645,1.6923853797112017e-05,-0.6499999999999999,-2.097200186654044,-0.27719344061812806,0.0015682746217566823,0.001998001998001998
Cicero-09172014,2mLinearMazeLinearizedPosition,27,-1,rCA1,4.579701474108654,0.3088552653960812,72.5,162.5,102.5,90.0,248,253.86830156411335,0.3064797714078762,0.04874118684400107,4.526546474810255e-11,-0.04999999999999982,-1.7478217628694428,-0.01786658041024528,0.7844641303587641,0.7772227772227772
Cicero-09172014,2mLinearMazeLinearizedPosition,31,-1,rCA1,11.916072824228335,0.8410836034168556,152.5,197.5,197.5,45.0,630,132.06585148600143,0.20142366299148193,0.03311736148562905,6.216705192376278e-12,-0.31000000000000005,-3.141265361756035,-0.07574960688150154,0.07363797255881077,0.052947052947052944
Cicero-09172014,2mLinearMazeLinearizedPosition,41,-1,rCA1,2.761083986690786,1.7033994538035944,2.5,27.5,2.5,25.0,34,270.7582559559632,0.823853028857937,0.15759892197175454,3.367958914122056e-13,,,,,
Cicero-09172014,2mLinearMazeLinearizedPosition,44,-1,rCA1,6.533460594955892,0.6042375619681122,77.5,162.5,107.5,85.0,416,260.7189476502523,0.1782977190757129,0.05643769457789245,1.6492078668751548e-06,0.3899999999999997,-2.3215035278825487,0.0538435855946122,0.27909901241085455,0.2677322677322677
Cicero-09172014,2mLinearMazeLinearizedPosition,45,-1,rCA1,6.404761318763142,0.7659180392474121,2.5,72.5,42.5,70.0,187,16.533193515069854,0.02009931101477373,0.07563933464990788,0.9274180830817712,-2.76,2.612797551783761,-0.09081565517490746,0.20890305956132127,0.4405594405594406
Cicero-09172014,2mLinearMazeLinearizedPosition,47,-1,rCA1,9.648480250458672,0.31261924613502634,57.5,157.5,102.5,100.0,516,225.62403824049306,0.1566809052114642,0.04450370943680708,2.950743115156375e-06,-0.8799999999999999,-0.4035486802862312,-0.2214882968215142,7.296534989542636e-07,0.000999000999000999
Cicero-09172014,2mLinearMazeLinearizedPosition,49,-1,rCA1,4.008732911983919,0.4391552887372555,92.5,127.5,107.5,35.0,46,244.94274303315711,0.23478336975028644,0.13091901536571804,0.07861630314594761,1.1799999999999997,-2.1692171097033373,0.23503283055496363,0.10863831494733067,0.27972027972027974
Cicero-09172014,2mLinearMazeLinearizedPosition,61,-1,rCA1,14.25257021052529,0.49739305540011236,22.5,142.5,52.5,120.0,806,236.87280328133414,0.12765707305199514,0.033047291707632674,1.886948466951527e-06,-0.6200000000000001,-0.7227037855356097,-0.1338742473132382,0.00017109831647665885,0.000999000999000999
Cicero-09172014,2mLinearMazeLinearizedPosition,69,-1,rCA1,3.909947987760796,0.5028345022815343,2.5,22.5,2.5,20.0,36,348.56936155217016,0.07051668462909436,0.16007647585992466,0.8379678897872016,,,,,
