path,subject,session,dur,n_units,ext_x,ext_y,fill,histology,shape
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,599.9799999999999,8,96.49508487934614,96.34324293165609,0.995,MEC LII,square
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,10697,02030402,599.98,5,98.15033910331138,96.51210598061057,0.9925,MEC LII,square
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,10697,24020402,600.04,5,94.99052272709919,93.71447136704292,0.9575,MEC LII,square
sub-10704/sub-10704_ses-06070402_behavior+ecephys.nwb,10704,06070402,599.9800000000002,3,96.82295019025271,96.60533203904384,1.0,MEC LVI,square
sub-10704/sub-10704_ses-07070402_behavior+ecephys.nwb,10704,07070402,599.9799999999959,4,97.95853186950521,98.0310392646486,0.985,MEC LVI,square
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,10704,07070407,599.98,6,97.54703114073818,97.52394298741368,0.995,MEC LVI,square
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,10704,08070402,599.9799999999959,7,98.27091816457974,97.60786681317737,0.995,MEC LVI,square
sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,10704,19070402,600.0799999999999,2,95.25974798613467,95.80692055537449,0.9825,MEC LVI,square
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,10704,20060402,599.98,9,94.33720278660235,93.32365701836719,0.94,MEC LVI,square
sub-10704/sub-10704_ses-20070402_behavior+ecephys.nwb,10704,20070402,599.9800000000005,2,96.37012568790855,96.85757532741123,1.0,MEC LVI,square
sub-10704/sub-10704_ses-23060402_behavior+ecephys.nwb,10704,23060402,599.9799999999996,3,94.23236236439746,92.90419921686616,0.9575,MEC LVI,square
sub-10704/sub-10704_ses-25060402_behavior+ecephys.nwb,10704,25060402,599.9799999999996,3,97.50262449655128,95.30219325258211,0.98,MEC LVI,square
sub-10704/sub-10704_ses-26060402_behavior+ecephys.nwb,10704,26060402,599.98,5,94.04108704268306,91.52756780617533,0.9775,MEC LVI,square
sub-10884/sub-10884_ses-01080402_behavior+ecephys.nwb,10884,01080402,599.9799999999996,2,97.26681460345064,98.9872104018554,1.0,MEC LIII,square
sub-10884/sub-10884_ses-02080405_behavior+ecephys.nwb,10884,02080405,599.9800000000001,3,96.92065138718286,98.72580088068823,1.0,MEC LIII,square
