session,subject,unit,direction,maze,track,mean_rate,si,si_null,p,sparsity,peak_rate,peak_loc,field_width,stability,n_spikes,is_place,testable
Achilles_10252013,Achilles,123,right,linear,1.6,0.20742891456166684,1.7205692904815693,1.1703161837713856,0.136,0.25676766225820535,0.7444987415181404,0.22,0.11999999999999998,-0.04140938353497943,22,False,False
Achilles_10252013,Achilles,125,right,linear,1.6,2.4514326266378808,0.41021286423085346,0.31553098984765127,0.144,0.6221521242316186,6.652113596455731,0.06,0.23999999999999996,0.7390948941976752,260,False,True
Achilles_10252013,Achilles,129,right,linear,1.6,3.1397194795015935,0.31968723084389994,0.21442545143088887,0.054,0.6780604273758739,8.530275181688841,1.58,0.23999999999999996,0.7941237980531165,333,False,True
Achilles_10252013,Achilles,137,right,linear,1.6,0.6034295696339399,1.2763490883069857,0.5854671310642936,0.008,0.30409378277117005,3.4423870129061918,0.02,0.11999999999999998,0.7221397380556704,64,True,True
Achilles_10252013,Achilles,143,right,linear,1.6,0.42428641614886403,1.8575232189903839,0.7740976192914071,0.002,0.22780454465906824,2.4909521883898327,0.5,0.19999999999999996,0.7280375690528831,45,True,True
Achilles_10252013,Achilles,145,right,linear,1.6,0.13200021835742437,1.7500790339476207,0.776432709435856,0.002,0.2665333679079866,0.4614549580652151,1.02,0.27999999999999997,-0.08687058783513461,14,False,False
Achilles_10252013,Achilles,146,right,linear,1.6,11.135161277151298,0.2423205292645374,0.33974337666560167,0.764,0.7698415817128148,22.12650154525583,1.34,0.5999999999999999,0.9441560270533704,1181,False,True
Achilles_10252013,Achilles,148,right,linear,1.6,2.4042896915102294,0.6894894561129261,0.19299848419879376,0.0,0.4930973494297401,9.020809932206548,1.58,0.27999999999999997,0.946008453106614,255,True,True
Achilles_10252013,Achilles,151,right,linear,1.6,1.3671451187018953,0.976360223084628,0.2680196064218799,0.0,0.32550149527656663,8.543402862026344,1.58,0.11999999999999998,0.921183432260973,145,True,True
Achilles_10252013,Achilles,161,right,linear,1.6,1.8574316440294714,0.5222877968557046,0.35677188026466927,0.082,0.6060135568434489,4.039745346124805,1.3800000000000001,0.7999999999999998,0.731811033855045,197,False,True
