session,unit,cell_type,location,state,n_spikes,rate,mrl,pref_phase,rayleigh_p,theta_channel,null_mrl_mean,null_mrl_p95,shuffle_p,n_matched,mrl_matched,pref_matched
Cicero_ses-Cicero-09012014,65,excitatory,rCA1,nonREM,9692,0.6838354927149488,0.0571754230593292,1.7261654893976286,1.6963260077383507e-14,22,0.00952543567427887,0.018322061566065518,0.004975124378109453,767,0.048512958,0.9108216
Cicero_ses-Cicero-09012014,66,excitatory,rCA1,nonREM,5834,0.4116277615042314,0.056940669914119814,1.785251359575193,6.0153011731026785e-09,22,0.012643603767105067,0.02574191992404221,0.004975124378109453,173,0.120514095,1.7796597
Cicero_ses-Cicero-09012014,67,inhibitory,rCA1,nonREM,43776,3.088689901887082,0.0773561638420087,1.5212224859168515,1.1619616439373646e-114,22,0.004676108268384024,0.009474019037157957,0.004975124378109453,24551,0.07961844,1.4472667
Cicero_ses-Cicero-09012014,68,excitatory,rCA1,nonREM,6606,0.46609753042457197,0.08196437040818624,1.3984188417424617,4.9537070328569286e-20,22,0.011551581094544607,0.02333438530717034,0.004975124378109453,1394,0.079168014,1.22314
Cicero_ses-Cicero-09012014,69,inhibitory,rCA1,nonREM,159505,11.254145714558183,0.0609373444910076,1.4966387083102743,3.381968307083174e-258,22,0.0023325592065639,0.004417184455645977,0.004975124378109453,28462,0.059474405,1.5269444
Cicero_ses-Cicero-09012014,70,inhibitory,rCA1,nonREM,226035,15.948282665685456,0.05847762609913427,2.0280422373291165,0.0,22,0.0018799238543664811,0.0033112056620202717,0.004975124378109453,49364,0.05664178,2.036507
Cicero_ses-Cicero-09012014,71,excitatory,rCA1,nonREM,4680,0.3302053349056913,0.06002974073537856,1.997327293726529,4.6765467311609097e-08,22,0.013556959396282648,0.026716125745832014,0.004975124378109453,983,0.06502192,1.8388749
Cicero_ses-Cicero-09012014,72,excitatory,rCA1,nonREM,7272,0.5130882896226896,0.07060928868393919,1.8085239950304959,1.7207433827508962e-16,22,0.011031612239537546,0.021003070542600078,0.004975124378109453,532,0.12596406,1.8447602
Gatsby_ses-Gatsby-08022013,0,inhibitory,lCA1,run,18857,8.821590709684628,0.11472299977596541,2.935959077257061,7.260884222167106e-109,32,0.006465856462291707,0.01280053333877768,0.004975124378109453,7018,0.1226715,2.8780136
Gatsby_ses-Gatsby-08022013,1,inhibitory,lCA1,run,29610,13.852007260633284,0.16468808738292978,1.6361243259210327,0.0,32,0.005748165704328723,0.010509747746157424,0.004975124378109453,8123,0.16722812,1.6184772
Gatsby_ses-Gatsby-08022013,2,inhibitory,lCA1,run,43682,20.43510236943543,0.11628507813749225,2.503373680363816,3.997874221127221e-258,32,0.004731920189864596,0.009060914194489981,0.004975124378109453,20356,0.12083316,2.5307038
Gatsby_ses-Gatsby-08022013,3,excitatory,lCA1,run,74,0.034618322772268256,0.036643240849474866,3.420220910764894,0.9059894150279246,32,,,,74,0.036643244,3.4202213
Gatsby_ses-Gatsby-08022013,4,excitatory,lCA1,run,333,0.15578245247520714,0.08628465398951866,0.9205372271897763,0.08373546094988885,32,0.05060608504169979,0.09948110139660718,0.12437810945273632,333,0.08628467,0.92053723
Gatsby_ses-Gatsby-08022013,5,inhibitory,lCA1,run,2095,0.9800727865932702,0.18130330711783937,1.2711222574940626,7.07853522675187e-31,32,0.01881094866623876,0.03525674626209458,0.004975124378109453,2095,0.1813033,1.2711222
Gatsby_ses-Gatsby-08022013,6,excitatory,lCA1,run,4,0.0018712606903928787,0.37976464011630007,5.8006183776599585,0.5896114416986112,32,,,,4,0.37976468,5.8006186
Gatsby_ses-Gatsby-08022013,7,excitatory,lCA1,run,3244,1.5175924199086246,0.15140943403491808,3.4654547075936732,3.312452047494301e-33,32,0.01938906400143769,0.03863965155159579,0.004975124378109453,600,0.13179904,3.6347551
Gatsby_ses-Gatsby-08022013,8,excitatory,lCA1,run,29,0.01356664000534837,0.12362453302240922,3.7738903127778722,0.6457670392962104,32,,,,29,0.12362455,3.7738905
Gatsby_ses-Gatsby-08022013,9,excitatory,lCA1,run,5541,2.5921638713667354,0.099994511505929,3.5687067067997753,7.587900673107116e-25,32,0.01389225453218954,0.026925763204553515,0.004975124378109453,670,0.07439954,3.7778087
Gatsby_ses-Gatsby-08022013,10,excitatory,lCA1,run,1946,0.9103683258761355,0.04284371592562331,0.44157343944706245,0.028078016609292582,32,0.020362331264715233,0.04097424000766614,0.04477611940298507,1311,0.05164025,0.6585943
Gatsby_ses-Gatsby-08022013,11,inhibitory,lCA1,run,32722,15.307848077758944,0.4466114221018872,4.163555608937874,0.0,32,0.007399148489442504,0.014270867334511422,0.004975124378109453,6826,0.44624203,4.157772
Gatsby_ses-Gatsby-08022013,12,inhibitory,lCA1,run,105476,49.34327314496982,0.14136255573735715,1.2205612572161035,0.0,32,0.0031736359977657643,0.006115253613055547,0.004975124378109453,61045,0.14317942,1.2121005
Gatsby_ses-Gatsby-08022013,13,excitatory,lCA1,run,478,0.223615652501949,0.12506160928924842,2.699673705017883,0.0005543731342242376,32,0.042740116720230634,0.08201541342833511,0.009950248756218905,478,0.12506162,2.6996737
Gatsby_ses-Gatsby-08022013,14,excitatory,lCA1,run,1666,0.779380077548634,0.1307923397286083,4.943795160749733,3.7422061855222583e-13,32,0.02305544570885479,0.04542946747898521,0.004975124378109453,1666,0.13079235,4.943795
Gatsby_ses-Gatsby-08022013,15,excitatory,lCA1,run,907,0.42430836154658524,0.11872464173673003,3.3074762381002247,2.6982474641242175e-06,32,0.03510845946186959,0.06736872881114793,0.004975124378109453,899,0.11795675,3.2941046
Gatsby_ses-Gatsby-08022013,16,excitatory,lCA1,run,2758,1.2902342460258898,0.047113900377637304,2.116900812921252,0.002189074951003404,32,0.021750298312848217,0.04275783534772504,0.029850746268656716,2238,0.045206983,2.0470774
Gatsby_ses-Gatsby-08022013,17,excitatory,lCA1,run,314,0.14689396419584097,0.13493813037903182,2.844900802932065,0.003232640077381142,32,0.057076709130829135,0.10499716137327189,0.004975124378109453,204,0.13946816,3.1711357
Gatsby_ses-Gatsby-08022013,18,excitatory,lCA1,run,1614,0.7550536885735265,0.1592372714652127,2.481528679182325,1.3116340096306533e-18,32,0.026612687069124917,0.054459580839628444,0.004975124378109453,289,0.22771971,2.5624309
Gatsby_ses-Gatsby-08022013,19,excitatory,lCA1,run,1905,0.8911879037996084,0.07840561397600007,3.46339806813037,8.08225100139776e-06,32,0.022299034437054752,0.046396325061715635,0.004975124378109453,906,0.08088823,3.4878488
Gatsby_ses-Gatsby-08022013,20,excitatory,lCA1,run,9500,4.444244139683087,0.09336709178951988,5.391614015139626,9.055109257443946e-37,32,0.012637249404320183,0.02418017914704694,0.004975124378109453,5276,0.08574926,5.4455853
Gatsby_ses-Gatsby-08022013,21,excitatory,lCA1,run,3984,1.8637756476313072,0.09168987661603888,2.748804664968163,2.6609727123608964e-15,32,0.017516140322833343,0.03547605250380293,0.004975124378109453,522,0.12635307,2.4127831
Gatsby_ses-Gatsby-08022013,22,excitatory,lCA1,run,5219,2.4415273857901085,0.06762358507863883,1.1943881776732284,4.208728766097172e-11,32,0.015123484746498536,0.031130340353918158,0.004975124378109453,834,0.045450684,1.541228
Gatsby_ses-Gatsby-08022013,23,excitatory,lCA1,run,1082,0.5061760167512737,0.09348177053765216,3.3729187632698983,7.69943649991731e-05,32,0.027978996693124668,0.05391964547182148,0.004975124378109453,666,0.087236784,3.3280263
Gatsby_ses-Gatsby-08022013,24,inhibitory,lCA1,run,30878,14.445196899487827,0.16438863550839375,2.8478712266866766,0.0,32,0.005077213554001583,0.009701159112556559,0.004975124378109453,21294,0.16466637,2.8423178
Gatsby_ses-Gatsby-08022013,25,excitatory,rCA1,run,44,0.020583867594321667,0.3344015755892646,3.9397874990070947,0.006699223526309854,32,,,,4,0.80813456,5.908388
Gatsby_ses-Gatsby-08022013,26,excitatory,rCA1,run,4950,2.3156851043611875,0.10467572849858063,2.633568207335358,2.413279097799234e-24,32,0.014728648536523203,0.029079191184869575,0.004975124378109453,701,0.10919298,2.6840777
Gatsby_ses-Gatsby-08022013,27,excitatory,rCA1,run,2036,0.9524716914099752,0.15980527094349073,3.5635460695309544,1.899138629795265e-23,32,0.02023489382718407,0.040268570389572884,0.004975124378109453,1472,0.14725313,3.5470023
Gatsby_ses-Gatsby-08022013,28,excitatory,rCA1,run,6204,2.902325330799355,0.032426013026891916,4.155216282889282,0.0014672542641623368,32,0.012113600720003727,0.02350823459880826,0.009950248756218905,2088,0.03868935,3.527085
Gatsby_ses-Gatsby-08022013,29,excitatory,rCA1,run,1735,0.8116593244579111,0.10432333896206042,2.701198720932933,6.016253331946369e-09,32,0.02610235822252241,0.05059503007212873,0.004975124378109453,341,0.109896235,2.7362227
Gatsby_ses-Gatsby-08022013,30,excitatory,rCA1,run,4332,2.0265753276954874,0.10168745744049174,3.2452892698623907,3.146099844426412e-20,32,0.017520536063316286,0.03519831891064883,0.004975124378109453,1524,0.09476116,3.0901923
Gatsby_ses-Gatsby-08022013,31,excitatory,rCA1,run,74,0.034618322772268256,0.007517052618898267,3.0788363355163395,0.9958551692277681,32,,,,74,0.007517071,3.078835
Gatsby_ses-Gatsby-08022013,32,excitatory,rCA1,run,6907,3.2311993971359034,0.05149652519568169,4.385046215215891,1.0977151679922853e-08,32,0.01599860085092822,0.029791570403701777,0.004975124378109453,930,0.0556386,4.3147354
Gatsby_ses-Gatsby-08022013,33,excitatory,rCA1,run,145,0.06783320002674186,0.19266219472338997,3.475306313698243,0.004453416233657092,32,0.07705348316308366,0.15533041779181292,0.004975124378109453,145,0.19266218,3.4753065
Gatsby_ses-Gatsby-08022013,34,inhibitory,rCA1,run,26078,12.199684071016373,0.1347251569229123,3.354164818351968,3.1217363609592346e-207,32,0.005327728679065096,0.009335544486902327,0.004975124378109453,9731,0.1378521,3.418625
Gatsby_ses-Gatsby-08022013,35,excitatory,rCA1,run,26,0.012163194487553711,0.22297223343463465,5.648766158334274,0.2769852420416166,32,,,,26,0.22297218,5.6487665
Gatsby_ses-Gatsby-08022013,36,excitatory,rCA1,run,1376,0.6437136774951503,0.19703162938785806,4.285047103382707,3.799759066320844e-24,32,0.033181532855016516,0.06726050274193275,0.004975124378109453,1307,0.19171646,4.2702994
Gatsby_ses-Gatsby-08022013,37,excitatory,rCA1,run,401,0.18759388421188608,0.14832980959718164,3.634272669520093,0.00014187090559664143,32,0.05500161760052593,0.10006444338678738,0.009950248756218905,401,0.14832982,3.6342728
Gatsby_ses-Gatsby-08022013,38,excitatory,rCA1,run,196,0.09169177382925106,0.07506031070088953,4.928320078926055,0.3318700267741633,32,0.0705327376652997,0.13451411702684823,0.43781094527363185,115,0.037329618,1.7426766
Gatsby_ses-Gatsby-08022013,39,excitatory,rCA1,run,447,0.2091133821514042,0.06649242607799834,2.703277925266743,0.1385852985496707,32,0.04386389564691526,0.08277409529458993,0.19402985074626866,447,0.06649242,2.703278
Gatsby_ses-Gatsby-08022013,40,excitatory,rCA1,run,3445,1.6116232696008668,0.08247015721670975,3.634533878975761,6.432137419009431e-11,32,0.01685883864105473,0.034962252096048585,0.004975124378109453,1581,0.080012456,3.6711464
Gatsby_ses-Gatsby-08022013,41,excitatory,rCA1,run,288,0.13473076970828726,0.16562745578769875,3.8675842740939,0.0003556705949147847,32,0.05908678618901636,0.10855713410713234,0.004975124378109453,288,0.16562745,3.8675845
Gatsby_ses-Gatsby-08022013,42,excitatory,rCA1,run,968,0.45284508707507665,0.08840349763740062,3.1456667880322065,0.0005126061423369557,32,0.029386775766963434,0.05721370664234135,0.004975124378109453,925,0.08271667,3.0235586
Gatsby_ses-Gatsby-08022013,43,excitatory,rCA1,run,2024,0.9468579093387967,0.2532197581484839,3.7992541458795515,5.229788285836176e-58,32,0.023496308848081383,0.0447377150639013,0.004975124378109453,1194,0.2635334,3.8013806
Gatsby_ses-Gatsby-08022013,44,excitatory,rCA1,run,7,0.0032747062081875376,0.06725807626486914,2.5531497422831695,0.9708496347313943,32,,,,7,0.067258075,2.5531497
Gatsby_ses-Gatsby-08022013,45,excitatory,rCA1,run,29,0.01356664000534837,0.22691683765962792,2.3157612499257554,0.22612499353960663,32,,,,29,0.22691686,2.3157613
Gatsby_ses-Gatsby-08022013,46,inhibitory,rCA1,run,3827,1.7903286655333868,0.11532229734726789,3.188877955019401,6.683597565000839e-23,32,0.014462924805818823,0.028753217040652913,0.004975124378109453,3827,0.11532229,3.188878
Gatsby_ses-Gatsby-08022013,47,excitatory,rCA1,run,544,0.25449145389343153,0.3709445448048185,3.8765086295675486,2.0986647610102117e-34,32,0.04438500747739466,0.07769396723481496,0.004975124378109453,544,0.37094453,3.8765087
Gatsby_ses-Gatsby-08022013,48,excitatory,rCA1,run,2862,1.3388870239761048,0.08384805889663903,3.428139725722752,1.7683134319247772e-09,32,0.02101788110670039,0.04149854647048169,0.004975124378109453,2344,0.07440259,3.4568932
Gatsby_ses-Gatsby-08022013,49,excitatory,rCA1,run,2412,1.128370196306906,0.06310323075919039,2.8035935233286966,6.690674703137257e-05,32,0.019918267726111792,0.038239499432730265,0.004975124378109453,1360,0.072762236,2.648033
Gatsby_ses-Gatsby-08022013,50,excitatory,rCA1,run,220,0.10291933797160834,0.2150510498663251,3.4283121348269736,3.462748847539162e-05,32,0.08807321815572607,0.17040970126757893,0.009950248756218905,220,0.21505103,3.4283123
Gatsby_ses-Gatsby-08022013,51,excitatory,rCA1,run,67,0.03134361656408072,0.1938642707437316,3.515963135833254,0.08021790544076107,32,,,,67,0.19386427,3.5159633
Gatsby_ses-Gatsby-08022013,52,excitatory,rCA1,run,4267,1.9961673414766035,0.05157118998247644,1.8751580854499563,1.1714493115768298e-05,32,0.01735647942821645,0.03372177889159583,0.004975124378109453,3460,0.06049047,1.8573152
Gatsby_ses-Gatsby-08022013,53,excitatory,rCA1,run,1169,0.5468759367673188,0.10018884296761599,3.6026711354314886,7.820723773661333e-06,32,0.026681634892439812,0.05231277734475194,0.004975124378109453,512,0.08998702,3.4920309
Gatsby_ses-Gatsby-08022013,54,excitatory,rCA1,run,53,0.024794204147705643,0.06050744189727342,3.4969817301305577,0.8249764060272508,32,,,,53,0.06050746,3.4969819
Gatsby_ses-Gatsby-08022013,55,excitatory,rCA1,run,248,0.11601816280435848,0.10203947774928185,3.4805253973791603,0.07549340750286257,32,0.061594570794773686,0.12565668156371684,0.12437810945273632,248,0.102039486,3.4805255
