session,direction,unit,mean_rate,peak_rate,peak_pos_cm,field_width_cm,info_bits_per_spike,info_bits_per_sec,shuffle_p,info_z,stability,is_place_cell
Achilles_10252013,rightward,56,5.267605235041655,20.36445819157271,10.0,24.0,1.4047446728592403,7.431155743216374,0.0,39.70516438976608,0.9978623162924054,True
Achilles_10252013,rightward,57,2.959970124334552,11.194407008775965,130.0,40.0,0.5853681340882003,1.7509890852294951,0.0,9.883353810909053,0.8809235720194984,True
Achilles_10252013,rightward,58,0.5137138232316165,2.7579974457288126,130.0,24.0,0.8939051931565921,0.46614436616037735,0.0,8.54277835260224,0.8504306270557537,True
Achilles_10252013,rightward,70,0.4892512602205871,3.956747074332313,2.0,8.0,1.9183073012825569,0.9432028050014076,0.0,12.361320989688341,0.9375723878278864,True
Achilles_10252013,rightward,74,0.23647144243995044,0.8850760768980953,138.0,28.0,0.8921061213427722,0.21389909312972893,0.0,4.718741091256631,0.31945743516941105,False
Achilles_10252013,rightward,76,0.8724980807267138,4.131116096523264,154.0,20.0,0.6675777679653924,0.5854987183408218,0.0,16.725449722981512,0.9271949228934895,True
Achilles_10252013,rightward,78,0.08969606437377431,0.5015779274360759,10.0,12.0,1.2888310322804906,0.12007944545379133,0.75,-0.6550125254826425,-0.15302027424778017,False
Achilles_10252013,rightward,79,0.41586357118749906,1.3802868180714278,98.0,32.0,0.5045640992297111,0.21096879338319072,0.0,6.661202520327193,0.7422989704516312,True
Achilles_10252013,rightward,82,2.5522607408173963,7.673299330729793,66.0,52.0,0.7559090787706627,1.9426038979903693,0.0,35.08560854850058,0.8968930474083169,True
Achilles_10252013,rightward,84,0.1712379410772055,0.7641567620515334,18.0,28.0,1.5772298073447428,0.28243551114568805,0.0,3.780780088955919,0.18303485223507487,False
Achilles_10252013,rightward,86,0.24462563011029356,0.8831202187029467,154.0,20.0,0.4332315966655581,0.10629033283310725,0.056,1.7570031899007712,0.6022599724488238,False
Achilles_10252013,rightward,87,0.11415862738480367,0.5802160217018357,50.0,12.0,1.1940741441178464,0.13472289611911695,0.022,2.3880730388364317,0.6641328749961873,False
Achilles_10252013,rightward,92,6.507041760933809,28.65791914342389,2.0,20.0,1.5707481835875061,10.276588231260892,0.0,53.91874095561336,0.9939289589055035,True
Achilles_10252013,rightward,93,0.619718262946077,3.327293966776535,2.0,12.0,1.2043511523613004,0.7515247379534383,0.0,5.030563649936691,0.8519836502536426,True
Achilles_10252013,rightward,94,0.3343216944840679,0.8379650215877175,30.0,36.0,0.41619809006962755,0.1395611396100661,0.01,2.695989091836655,0.11345234286861211,False
Achilles_10252013,rightward,95,1.4514454053210752,12.677288468719416,2.0,8.0,2.191381787313734,3.2072409002702145,0.0,23.21024443261671,0.9732579852419825,True
Achilles_10252013,rightward,96,0.5952556999350477,4.18978805615151,2.0,8.0,1.3660114668044574,0.8308257839544925,0.0,9.91208095120854,0.6943610949899707,True
