path,subject,session,unit,layer,depth_mm,n_spikes,box_half_cm,run_time_s,included,gridness,spacing_cm,orientation_deg,peak_rate,mean_rate,spatial_info,r_in,r_out,hd_mvl,hd_pref,gridness_p,gridness_shuf_95,hd_mvl_shuf_95,hd_p
sub-10884/sub-10884_ses-03080405_behavior+ecephys.nwb,10884,03080405,t3c3,MEC LIII,3.0,572,51.896979425346046,565.16,True,0.4141441291712127,81.62413858657254,1.5481576989779455,9.886864340889726,1.0075389276183937,1.0439151831539375,13.0,32.0,,,0.15,0.6412055077965227,,
sub-10884/sub-10884_ses-03080405_behavior+ecephys.nwb,10884,03080405,t3c4,MEC LIII,3.0,547,51.896979425346046,565.16,True,0.6068523839390841,72.67220926874317,24.443954780416533,2.346120366709609,0.96350313532738,0.10251940249424242,17.0,29.0,,,0.06,0.6133545570022124,,
sub-10884/sub-10884_ses-03080409_behavior+ecephys.nwb,10884,03080409,t3c1,MEC LIII,3.05,771,52.11137880655862,592.82,True,0.48839235447537876,80.0390529679106,21.34019174590992,18.884168113125497,1.2985481860463683,1.438133890041208,15.0,36.0,,,0.09,0.5602166605675071,,
sub-10884/sub-10884_ses-03080409_behavior+ecephys.nwb,10884,03080409,t3c2,MEC LIII,3.05,835,52.11137880655862,592.82,True,-0.12646607306057578,54.829280498653276,17.0053832080835,4.587074025183978,1.4063394751604636,0.25183480756108745,12.0,25.0,,,0.785,0.5891850644365138,,
sub-10884/sub-10884_ses-03080409_behavior+ecephys.nwb,10884,03080409,t3c3,MEC LIII,3.05,399,52.11137880655862,592.82,True,1.1490245845553178,67.3145600891813,28.671307132195835,1.9884172877977295,0.6720113180706887,0.358936582833809,15.0,40.0,,,0.0,0.5514684280704029,,
sub-10884/sub-10884_ses-03080409_behavior+ecephys.nwb,10884,03080409,t4c1,MEC LIII,3.05,684,52.11137880655862,592.82,True,1.0816469339359078,53.85164807134504,21.80140948635181,9.067213623033634,1.1520194024068948,0.9460555070865125,11.0,26.0,,,0.0,0.6060619061620928,,
sub-10884/sub-10884_ses-04080402_behavior+ecephys.nwb,10884,04080402,t3c1,MEC LII,3.1,1717,52.116525614228735,586.3,True,0.04877409113783311,59.42432162002356,15.379126011368342,6.5252682450470285,2.9232497956321875,0.08224143510184319,18.0,25.0,,,0.555,0.6785078416202597,,
sub-10884/sub-10884_ses-04080402_behavior+ecephys.nwb,10884,04080402,t3c2,MEC LII,3.1,572,52.116525614228735,586.3,True,0.9842146131289616,77.54031209635411,28.152389734005396,8.337697308616814,0.9738490874208569,1.1836294737440731,14.0,29.0,,,0.005,0.6023351796808585,,
sub-10884/sub-10884_ses-04080402_behavior+ecephys.nwb,10884,04080402,t3c4,MEC LII,3.1,608,52.116525614228735,586.3,True,1.0440533960166927,67.0820393249937,26.56505117707799,10.70335589086557,1.0351402887270647,0.8205199467400524,15.0,31.0,,,0.025,0.8647643086850779,,
sub-10884/sub-10884_ses-05080401_behavior+ecephys.nwb,10884,05080401,t2c1,MEC LII,3.15,586,52.063469955881814,571.64,True,0.382400469258671,63.73774391990981,30.0,6.60219871881804,1.0224021215725678,0.9442087343390071,14.0,32.0,,,0.165,0.621372928750827,,
sub-10884/sub-10884_ses-05080401_behavior+ecephys.nwb,10884,05080401,t3c2,MEC LII,3.15,463,52.063469955881814,571.64,True,1.0865221344257439,72.5,16.39718102729637,5.476379878685722,0.8078023588534111,0.7648316579455656,14.0,35.0,,,0.0,0.5984771709806368,,
