path,unit,stability_r,gridness_h1,gridness_h2
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,t1c1,0.7488836468224176,0.3766797832207529,0.1503782820782093
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,t1c2,0.22951432470382954,0.057167153080685804,-0.2575729396944025
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,t1c3,0.08234961140401882,-0.0758481998057671,-0.14136882941155332
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,t2c1,0.6943129299402129,0.77471674626468,0.7982375160285627
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,t4c1,0.7712679258480741,0.06614912236511025,-0.34518208198059985
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,t4c2,0.5002909490518964,0.07277067334202905,0.03116826726045864
sub-10704/sub-10704_ses-08070402_behavior+ecephys.nwb,t4c5,0.8262359509935475,0.7959545215053332,-0.2752648936092821
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,t1c1,0.3928064479405141,0.02683616636147656,-0.3832700957725157
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,t1c3,0.14373726955693594,-0.04502996043856078,-0.07741809961122023
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,t1c4,-0.08670357093697009,-0.2549906379065094,-0.34225714107292204
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,t2c1,0.737654182645058,0.9484879561204796,0.44016303723257366
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,t2c2,0.5041205094948871,0.17459659084762852,0.728920037945533
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,t2c3,0.14195224285137906,0.012493356256230131,-0.3122724607022477
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,t3c1,0.38510002137446686,0.3202584213044833,0.6503892871273439
sub-10704/sub-10704_ses-20060402_behavior+ecephys.nwb,t3c2,0.2532999863294761,-0.06410496069580535,0.04306528251074207
