session,area,task,n_units,acc,sd,chance,kind
754312389,VISp,orientation,5,0.24687500000000004,0.022054816493354813,0.25,shuffled
754312389,VISp,orientation,10,0.25354166666666667,0.008992184106211342,0.25,shuffled
754312389,VISp,orientation,20,0.2516666666666667,0.02015564437074638,0.25,shuffled
754312389,VISp,orientation,40,0.2466666666666667,0.02074983266331454,0.25,shuffled
754312389,VISp,orientation,80,0.24354166666666668,0.023723486662892635,0.25,shuffled
754312389,VISl,direction,5,0.21666666666666667,0.011666666666666669,0.125,observed
754312389,VISl,direction,5,0.12104166666666667,0.0147416996419454,0.125,shuffled
754312389,VISl,orientation,5,0.4464583333333333,0.004521361336293897,0.25,observed
754312389,VISl,orientation,5,0.2516666666666667,0.010639287779003088,0.25,shuffled
754312389,VISal,direction,5,0.43625,0.09503562928361835,0.125,observed
754312389,VISal,direction,10,0.58,0.052114990379181915,0.125,observed
754312389,VISal,direction,20,0.8049999999999999,0.040568871482126935,0.125,observed
754312389,VISal,direction,5,0.118125,0.004746160729122716,0.125,shuffled
754312389,VISal,direction,10,0.12708333333333333,0.023045094681708053,0.125,shuffled
754312389,VISal,direction,20,0.126875,0.01698523664506588,0.125,shuffled
754312389,VISal,orientation,5,0.6835416666666667,0.08418084657780268,0.25,observed
754312389,VISal,orientation,10,0.8464583333333333,0.050617283362503776,0.25,observed
754312389,VISal,orientation,20,0.9802083333333333,0.011286591725484612,0.25,observed
754312389,VISal,orientation,5,0.244375,0.02150480404984481,0.25,shuffled
754312389,VISal,orientation,10,0.25416666666666665,0.01835226295462104,0.25,shuffled
754312389,VISal,orientation,20,0.234375,0.017676441871095613,0.25,shuffled
754312389,VISrl,direction,5,0.3102083333333333,0.04195266429759459,0.125,observed
754312389,VISrl,direction,10,0.45875,0.08023295076767953,0.125,observed
754312389,VISrl,direction,20,0.653125,0.05914575628150437,0.125,observed
754312389,VISrl,direction,5,0.11687499999999999,0.013396659513143984,0.125,shuffled
754312389,VISrl,direction,10,0.13083333333333333,0.014648663192705781,0.125,shuffled
754312389,VISrl,direction,20,0.12,0.011211353372561425,0.125,shuffled
754312389,VISrl,orientation,5,0.5058333333333334,0.08910433958754949,0.25,observed
754312389,VISrl,orientation,10,0.6866666666666665,0.07262919523166977,0.25,observed
754312389,VISrl,orientation,20,0.835,0.08132581932503898,0.25,observed
754312389,VISrl,orientation,5,0.25020833333333337,0.013213984069916244,0.25,shuffled
754312389,VISrl,orientation,10,0.2545833333333334,0.024689038278375916,0.25,shuffled
754312389,VISrl,orientation,20,0.23958333333333334,0.01976862694046077,0.25,shuffled
754312389,VISam,direction,5,0.34770833333333334,0.06710759136971349,0.125,observed
754312389,VISam,direction,10,0.5354166666666667,0.07943703831057372,0.125,observed
754312389,VISam,direction,20,0.67875,0.04963582655479583,0.125,observed
754312389,VISam,direction,40,0.8239583333333333,0.03181912313723026,0.125,observed
754312389,VISam,direction,5,0.12791666666666665,0.014690085469836831,0.125,shuffled
754312389,VISam,direction,10,0.11624999999999999,0.017295431317097713,0.125,shuffled
754312389,VISam,direction,20,0.12354166666666666,0.01084734670578735,0.125,shuffled
754312389,VISam,direction,40,0.12125,0.009956502621123773,0.125,shuffled
754312389,VISam,orientation,5,0.5902083333333333,0.12769167917509563,0.25,observed
754312389,VISam,orientation,10,0.785,0.08745633831296112,0.25,observed
754312389,VISam,orientation,20,0.915,0.03947573094109002,0.25,observed
754312389,VISam,orientation,40,0.9889583333333334,0.0038131260870256536,0.25,observed
754312389,VISam,orientation,5,0.246875,0.009220956656804469,0.25,shuffled
