unit_id,area,session_id,firing_rate,snr,waveform_duration,dg_osi,dg_dsi,dg_osi_ratio,dg_pref_ori,dg_pref_dir,dg_mean_rate,dg_max_rate,dg_p_anova,dg_p_perm,dg_osi_null_median,dg_reliability,sg_osi,sg_dsi,sg_osi_ratio,sg_pref_ori,sg_pref_dir,sg_mean_rate,sg_max_rate,sg_p_anova,sg_p_perm,sg_osi_null_median,sg_reliability,ori_agreement_deg
950992460,APN,743475441,12.8159959495948,2.21092275190757,0.274706867671692,0.24210024506908465,0.03116434778456598,0.4586394589972489,170.96527205122482,154.37487990267982,5.455442258294841,8.16653492746245,4.6142293202680256e-07,0.000999000999000999,0.04831981269414716,0.7488647757566946,0.10990781033713869,,0.19432383951248017,164.96901265115048,,11.873647204049103,14.177149756904992,5.290836862121651e-28,0.000999000999000999,0.010112663651487655,0.9482572177892681,5.9962594000743366
950992466,APN,743475441,11.5484798666678,1.54245930162382,0.370854271356784,0.01959701705518103,0.02167187014419071,0.03852846147088721,2.4691642071402953,240.1003574800123,13.818450629004122,14.581205888397204,0.5118122619841872,0.35064935064935066,0.015549628083516155,0.027878270616030366,0.017341289130002317,,0.03153231726935545,42.677069643926124,,10.147221968035238,10.609550664560837,0.30787904193625615,0.07492507492507493,0.008471957100203181,0.20077437919498944,40.20790543678583
950992472,APN,743475441,24.6816489118469,3.19724894265807,0.412060301507538,0.021895900783320797,0.007546914080462691,0.03978928644441088,32.058021577823695,142.817039315704,25.61359423287921,26.617700484478494,0.00840955683243759,0.000999000999000999,0.006596710969672977,0.5122777487612779,0.006959257491090689,,0.011639535989357146,7.53709061698974,,20.49406567431402,21.074811494578412,0.12675544119999707,0.3026973026973027,0.0052611019431549845,0.37419297642496985,24.520930960833955
950992478,APN,743475441,1.36022986373331,3.92632372138223,0.1785594639866,0.11905568296168412,0.00405231920747957,0.18049876602429746,150.55462044527331,353.3637838937744,1.4213124839541498,2.0049910670688322,0.05789799305503317,0.016983016983016984,0.049170639809950484,0.41220459199525394,0.04436873424421121,,0.08712015934994466,163.7827828787179,,1.1337417330818953,1.3486145977053658,0.04896803820770629,0.2017982017982018,0.028891573208660717,0.496017923772806,13.228162433444595
950992492,APN,743475441,3.06468770949157,5.17664456542312,0.164824120603015,0.05860225250364492,0.03746975984409597,0.07962568454816607,73.00155329188932,171.58680750815435,1.4737685999126957,2.2048182164635826,0.1264680473203266,0.6273726273726273,0.07007215296149659,0.22462356182335502,0.05972386783771435,,0.10266902966136744,92.7419121484889,,1.8441371941615878,2.4428657524433954,6.046920651900965e-05,0.03396603396603397,0.02751511361038675,0.7541411638774411,19.74035885659957
950992552,APN,743475441,7.16879635259067,2.83066052922578,0.219765494137353,0.06890479149323767,0.06725440622555474,0.10944662055047835,109.02389756611004,338.62532986533375,2.470436020432694,3.203985377309489,0.26980579634384416,0.24175824175824176,0.0470446778838758,0.17120568731910105,0.0287446036718132,,0.008650331606614754,14.514790556048249,,5.395424030346358,5.689609083294696,0.01351255422084575,0.024975024975024976,0.012393996274747063,0.5466396086738751,85.49089298993822
950992577,DG,743475441,0.0638409770950302,2.97637011862881,0.0274706867671691,0.06493702367781597,0.17279177572102777,0.086960256815993,161.56558357252686,73.82214109107296,0.06411310724721457,0.09325556485707076,0.25678659938033577,0.6883116883116883,0.09090938583278954,0.13787064422854572,0.02579522539187375,,0.11780069114613861,170.64713455340296,,0.06883655428855087,0.0990908902189816,0.2179277964758205,0.938061938061938,0.07924753407989035,0.17725892987863545,9.081550980876102
950992754,CA1,743475441,6.30582033055232,1.28685325591835,0.398324958123953,0.01784992990717537,0.003184005519633509,0.033318845798159864,170.2574361598176,48.49516862713708,6.4329557499948695,6.867610203346424,0.9913439694836765,0.6953046953046953,0.024923264734056445,-0.6948562554773516,0.01190849132068432,,0.030418324736483655,152.67543735629513,,8.462780982825786,8.718864946404576,0.7821173124817,0.45454545454545453,0.0113134351711626,-0.2007655050642392,17.581998803522453
950992841,VISam,743475441,1.83962534165126,4.3485831900071,0.83785594639866,0.11555919495256367,0.015728199928850804,0.21125973639116213,7.648891990053824,341.18014001438274,4.205652486751799,5.388850197037415,2.701647170574294e-14,0.000999000999000999,0.017351092225443943,0.8545298429669539,0.041470188937733174,,0.08299167744339984,8.46461860577883,,3.834892096344039,4.307925201314374,6.386106587767095e-08,0.000999000999000999,0.008354556831284807,0.8267220268906722,0.8157266157250058
950992918,VISam,743475441,1.31039754325377,3.47823594655142,0.576884422110553,0.15075389547313517,0.009608128306159624,0.2861074758665917,53.57711248674812,41.991608725744186,1.7976630203388777,2.4912458493241036,0.00016175069354256976,0.000999000999000999,0.03731627970502144,0.6651463580127189,0.06733680894655407,,0.2556987128702398,32.1089500399573,,0.6863018267549449,0.8149749824562287,0.015160537922309517,0.04895104895104895,0.031935341992739535,0.5229146696038256,21.46816244679082
