unit,cell_type,location,n_spikes,rate,mrl,pref_phase,rayleigh_p,mrl_shuffle
54,excitatory,lCA1,2132,2.0414643957853174,0.11159760035593418,-2.9476109233853256,2.9418572042486437e-12,0.021193025456409127
55,excitatory,lCA1,3723,3.5649024134656364,0.025169670055872156,0.45333291478873694,0.09455569449454697,0.01874142462480782
56,excitatory,lCA1,1042,0.9977513604166514,0.08681539638598308,0.9187570509694691,0.00038840443703167763,0.013934768209390068
57,excitatory,lCA1,2353,2.2530796075435515,0.09770100825388206,2.804612481678161,1.7600108721869417e-10,0.030296049805966455
58,excitatory,lCA1,707,0.6769771706473825,0.21338290966722134,-2.8476878105696035,1.045901447042902e-14,0.03615725089518829
59,excitatory,lCA1,143,0.13692748996121032,0.20662261793786346,2.3432395170368308,0.0022314903623396293,0.13597017319509674
70,excitatory,lCA1,1248,1.195003548752381,0.15233291345330485,-3.027004997930065,2.6468524795345923e-13,0.03102118070502702
74,excitatory,lCA1,395,0.3782262834592872,0.18298069291838945,-2.480330224753933,1.8042529635568909e-06,0.00927850777367298
76,excitatory,lCA1,1478,1.4152365745641178,0.09122460558742712,3.1096993805979536,4.55260679877351e-06,0.021642830735651007
78,excitatory,lCA1,197,0.1886343742822268,0.09598142791263044,-0.6940103916416811,0.16286240149037223,0.1058961978374567
79,excitatory,lCA1,650,0.622397681641865,0.2196001560076707,-2.4568441719314453,2.4362080797858505e-14,0.05149569577742584
82,excitatory,lCA1,1664,1.5933380650031745,0.1358502512874107,-2.288419368552917,4.6024439346966634e-14,0.007504877063508793
83,inhibitory,lCA1,3698,3.5409640410947953,0.5325574536496772,-2.3885271342914254,0.0,0.006110189977787054
84,excitatory,lCA1,273,0.26140702628958334,0.06378553828496582,0.45058613165633465,0.3293196543482925,0.030112459034164023
86,excitatory,lCA1,465,0.4452537260976419,0.04272103544842705,2.5214803978188813,0.4279857431080409,0.02019469467846011
87,excitatory,lCA1,158,0.1512905133837149,0.1392792103657844,2.800922950906904,0.046654105294342184,0.11194173738750329
89,excitatory,lCA1,110,0.10532883843170024,0.29830852259551166,2.365587912431365,5.6083034200475715e-05,0.1483609834404763
90,excitatory,lCA1,132,0.1263946061180403,0.22548112586578833,-2.0211819497290007,0.001217312849258323,0.1229042183722
92,excitatory,lCA1,2373,2.272230305440224,0.16081514738788835,-2.136035518994423,2.2264990393128534e-27,0.017816132045868946
93,excitatory,lCA1,900,0.8617814053502747,0.1593046054168723,-1.0236290339385563,1.2040481690676436e-10,0.011233230999587214
94,excitatory,lCA1,695,0.6654867519093788,0.1821498001367399,-2.2778192180167984,9.673053098002997e-11,0.033988959883167184
95,excitatory,lCA1,2368,2.2674426309660562,0.03241214516226863,-1.8813911823487763,0.08310123956220426,0.017441048184861335
96,excitatory,lCA1,637,0.6099497280090278,0.10088631262773962,-1.7271305504309684,0.0015285791668285188,0.11332483815427104
97,inhibitory,lCA1,45173,43.25472380431996,0.14190753378653967,1.7823136338470422,0.0,0.006145850259309127
98,excitatory,lCA1,309,0.2958782825035943,0.07747391784386957,3.029071751003339,0.15650266266100812,0.06365556611455986
101,excitatory,lCA1,2172,2.079765791578663,0.1012787157053806,-1.9080165628954584,2.1102899608066465e-10,0.011081619579481446
103,excitatory,lCA1,1417,1.356826945979266,0.03810985256541408,-2.664240815475617,0.12770972775192424,0.03659413900400025
107,inhibitory,lCA1,45619,43.68178436741576,0.20383003184562581,1.298126289723415,0.0,0.006570244062219548
109,excitatory,lCA1,903,0.8646540100347756,0.09272570112317276,-1.613545445558446,0.00042473536615358903,0.023440295352720797
110,excitatory,lCA1,379,0.362905725141949,0.21763130613296602,-2.234840135346445,1.5999264731171282e-08,0.04299934249492647
111,excitatory,lCA1,150,0.14363023422504578,0.11329603321112959,0.4093616735819153,0.14581761198334028,0.09252177533914895
112,excitatory,lCA1,3198,3.0621965936779763,0.04927956065853328,3.114523659730621,0.00042379387464828663,0.011593479641777647
113,excitatory,lCA1,3295,3.155077478476839,0.023823400004082496,-1.591158334488176,0.15410952814421458,0.038785562162308426
114,excitatory,lCA1,1059,1.0140294536288232,0.14107105306156048,-2.523014311667285,7.03323970289629e-10,0.04116186369576127
116,excitatory,lCA1,1929,1.8470848121340888,0.10349351852971027,-1.9277792746155553,1.0638810360462807e-09,0.029325478012011467
117,excitatory,lCA1,551,0.5276017270533349,0.06837447599918374,-1.5762632216947454,0.07608052185636108,0.03686249748088685
118,excitatory,lCA1,1349,1.2917145731305784,0.14773039760479115,-1.9848673620118809,1.6366729153519155e-13,0.02063875128203107
120,excitatory,rCA1,1421,1.3606570855586004,0.10232875038157212,-2.651536110357701,3.4506361253114627e-07,0.029292661492609614
121,excitatory,rCA1,2694,2.579599006681822,0.11598422526653744,-2.8400318106029285,1.823497120457208e-16,0.016303313802290872
123,excitatory,rCA1,918,0.8790170334572802,0.044462707555473845,-1.0600696978361432,0.1628665851425442,0.017832284810048043
125,excitatory,rCA1,2034,1.9476259760916208,0.20940511663147113,-1.5735105244338412,1.8384002907364006e-39,0.005653136750105707
126,excitatory,rCA1,866,0.829225218925931,0.0981498557418954,-2.282313690064152,0.00023817154616012528,0.029803653170906226
