,session,area,gosi,osi,gdsi,dsi,p,pref_ori,pref_dir,waveform_duration,sg_gosi,sg_pref_ori,pref_tf,pref_sf,peak_rate,blank_rate,group,responsive
950951153,715093703,VISrl,0.31110877215640775,0.42941237362416435,0.16390397242238983,0.12757314151777527,0.055944055944055944,54.099447606088695,38.82024209292951,0.810385259631491,0.3582785573613481,7.560125273175958,15.0,0.08,4.562862172217627,0.1998316418629516,HVA,True
950951364,715093703,VISrl,0.06580346615075947,0.12397734459285116,0.02249004910665116,0.05434986499272654,0.007992007992007992,174.7540884883673,15.12428652664222,0.288442211055276,0.12472534294356948,173.84665894307264,15.0,0.08,71.07435961575912,32.589412877526065,HVA,True
950951511,715093703,VISrl,0.31045217659534613,0.5478277589168106,0.10506713672833655,0.21348143306860567,0.007992007992007992,139.9521252359405,290.575592024735,0.576884422110553,0.11133529852108989,101.79821792022187,15.0,0.32,1.79849359524621,1.1823470727839756,HVA,False
950951525,715093703,VISrl,0.8865251046458243,0.9541986776446889,0.21865741370552197,0.2187459177174924,0.000999000999000999,135.00000457982804,135.76986333547893,1.30485762144054,0.7592337108326889,149.92773301442642,2.0,0.02,2.5978209947587962,0.03330535683442683,HVA,True
950951577,715093703,VISrl,0.6095394575796671,0.789473499681769,0.2922567940165536,0.41176138682767494,0.15484515484515485,173.1318985254971,347.7649664620688,0.604355108877722,0.3002885120760185,107.34685194148918,15.0,0.02,1.1989988359719013,0.066611129642629,HVA,True
950951613,715093703,VISrl,0.47822533176411197,0.6586026943438616,0.09476876463256419,0.10058778464201899,0.000999000999000999,53.49350660290749,212.3450430534859,0.645561139028476,0.42770599241850354,64.72487627965467,1.0,0.04,9.292125840110767,2.447952878841875,HVA,True
950951636,715093703,VISrl,0.08990134250979337,0.17803789073305473,0.009946887937441598,0.026244232343533035,0.000999000999000999,95.07383785806454,74.79889602287223,0.618090452261307,0.19531913197524173,97.96459584540335,15.0,0.04,18.88424481294808,0.5828439110056767,HVA,True
950951678,715093703,VISrl,0.18270668960023453,0.30430541389738874,0.1531221040114676,0.10127582021535143,0.000999000999000999,139.59583937351857,193.31273665975112,0.494472361809045,0.20198788491610256,150.77812646498032,4.0,0.02,24.4461658631334,2.8975834324155416,HVA,True
950951702,715093703,VISrl,0.09933387654104679,0.05383092543663174,0.11818938518258683,0.32608836150930837,0.24775224775224775,55.77491739138655,72.3351760909969,0.260971524288107,0.09892122026136808,69.31041265371098,4.0,0.08,10.158124850720078,0.7826772167778436,HVA,True
950951791,715093703,VISrl,0.18063713083686525,0.30294939814541266,0.30131640399387166,0.6041632938744567,0.1038961038961039,86.17252150981606,266.19514897343413,0.590619765494137,0.1930771583690952,138.5365293640492,4.0,0.02,2.5644946732900857,0.6994151557783005,HVA,True
950951829,715093703,VISrl,0.20542792587355294,0.1986987452103177,0.06040675835886319,0.08331788759293518,0.001998001998001998,151.58853933861337,329.37973245060795,0.686767169179229,0.17351558478235035,19.498222127672555,4.0,0.08,11.84729729079619,1.4321378313973578,HVA,True
950951840,715093703,VISrl,0.1334179250337809,0.15823269105381843,0.2076730989946452,0.30110856127675284,0.053946053946053944,66.38716189719084,199.26137665091602,0.714237855946399,0.16609491951680846,133.35817809944342,1.0,0.04,5.828388362742883,3.047459451620187,HVA,True
950951851,715093703,VISrl,0.3732578970710258,0.5788396329718071,0.11777116471324574,0.09592632697168037,0.000999000999000999,14.99361487229309,70.6524786827204,0.700502512562814,0.34503196010654874,18.34033810448876,2.0,0.08,13.888414498716877,2.714401557094642,HVA,True
950951879,715093703,VISrl,0.39988783184778876,0.5342727422990088,0.062050652545495646,0.02758972864997177,0.000999000999000999,48.751353918923186,300.3782667183076,0.192294807370184,0.2527967960952376,27.872098999481196,1.0,0.08,24.81248552091589,4.263107388710184,HVA,True
950951891,715093703,VISrl,0.4602668310857636,0.7722951966842138,0.1792229335304284,0.2376865860034042,0.000999000999000999,84.98398946367404,79.75400445552278,0.631825795644891,0.5190696875014893,91.33343624138465,8.0,0.04,19.250523038694052,1.2656104649119797,HVA,True
