event,start,end,n_active,n_bins,wc,p,abs_wc,significant
1011,22438.5872,22438.6688,36,5,-0.1391460014094855,0.7125748502994012,0.1391460014094855,False
1013,22439.6112,22439.7072,15,5,-0.27558414309077645,0.3872255489021956,0.27558414309077645,False
1014,22449.5776,22449.6712,23,5,0.24766422921278447,0.5149700598802395,0.24766422921278447,False
1015,22450.6352,22450.7488,28,6,-0.10324960436098995,0.6986027944111777,0.10324960436098995,False
1017,22451.8536,22451.9928,27,7,0.7613952956758966,0.003992015968063872,0.7613952956758966,True
1018,22452.9528,22453.076,32,7,0.7638125639753073,0.001996007984031936,0.7638125639753073,True
1020,22459.8592,22459.9576,25,5,0.5557969045303175,0.15768463073852296,0.5557969045303175,False
1024,22474.5344,22474.6496,28,6,0.014917842997444504,0.9700598802395209,0.014917842997444504,False
1029,22581.1056,22581.22,22,6,0.05428865884528644,0.8562874251497006,0.05428865884528644,False
1031,22582.5544,22582.6392,22,5,0.4832152805204407,0.2934131736526946,0.4832152805204407,False
1034,22596.6888,22596.7832,24,5,-0.8046642885586578,0.001996007984031936,0.8046642885586578,True
1035,22597.4944,22597.6144,21,7,0.15593239757202532,0.5828343313373253,0.15593239757202532,False
1043,22613.8648,22613.9832,37,6,0.6285354390869993,0.08782435129740519,0.6285354390869993,False
1048,22629.6096,22629.7112,20,6,0.03984891984625914,0.846307385229541,0.03984891984625914,False
1051,22636.4656,22636.5784,22,6,-0.4333874189483925,0.0499001996007984,0.4333874189483925,True
1055,22647.9288,22648.076,23,8,0.20532577596412,0.4151696606786427,0.20532577596412,False
1056,22654.516,22654.6392,27,7,-0.4660994743362167,0.1317365269461078,0.4660994743362167,False
1058,22660.9712,22661.128,38,8,0.30229740798406024,0.29141716566866266,0.30229740798406024,False
1059,22663.4976,22663.6208,34,7,-0.46067442738256675,0.14570858283433133,0.46067442738256675,False
1066,22680.172,22680.3528,37,10,0.10139545972461783,0.6946107784431138,0.10139545972461783,False
1068,22681.3928,22681.5072,21,6,0.7952939045961611,0.00998003992015968,0.7952939045961611,True
1072,22687.5936,22687.6768,22,5,0.13915540496775367,0.7784431137724551,0.13915540496775367,False
1082,22714.5232,22714.6032,20,5,0.48583259258239103,0.22954091816367264,0.48583259258239103,False
1083,22724.0696,22724.2016,33,7,0.2623734221025711,0.43313373253493015,0.2623734221025711,False
1086,22729.9792,22730.0864,24,6,0.05088480372148898,0.8662674650698603,0.05088480372148898,False
1089,22745.2352,22745.3704,28,7,0.5940738993313389,0.06986027944111776,0.5940738993313389,False
1094,22764.2536,22764.3856,26,7,0.5820433000068777,0.013972055888223553,0.5820433000068777,True
1097,22768.0472,22768.156,26,6,0.36292076240143,0.21756487025948104,0.36292076240143,False
1104,22813.3416,22813.5,34,8,-0.4813776177213226,0.08383233532934131,0.4813776177213226,False
1105,22830.1032,22830.3136,40,11,0.5192383607252686,0.015968063872255488,0.5192383607252686,True
1109,22842.956,22843.12,30,9,-0.12481252258093647,0.6526946107784432,0.12481252258093647,False
1115,22865.5208,22865.608,31,5,-0.7533504675417563,0.021956087824351298,0.7533504675417563,True
1116,22865.6416,22865.7304,31,5,0.19044423150778392,0.6467065868263473,0.19044423150778392,False
1119,22871.0152,22871.1392,29,7,0.6814437527590965,0.011976047904191617,0.6814437527590965,True
1120,22877.8272,22877.9088,31,5,-0.005327749082052931,0.9860279441117764,0.005327749082052931,False
1122,22884.3024,22884.424,29,7,-0.697843200026798,0.013972055888223553,0.697843200026798,True
1123,22890.5192,22890.6872,34,9,-0.4848490447642952,0.08782435129740519,0.4848490447642952,False
1136,22928.1992,22928.3048,23,6,-0.7760273658485078,0.003992015968063872,0.7760273658485078,True
1142,22947.3744,22947.4656,23,5,-0.2174271181924996,0.6147704590818364,0.2174271181924996,False
1144,22961.1688,22961.2576,22,5,0.2760295294770933,0.5548902195608783,0.2760295294770933,False
1145,22961.6016,22961.7512,38,8,-0.9629830984535599,0.001996007984031936,0.9629830984535599,True
1146,22965.212,22965.3032,33,5,0.8683643235797793,0.041916167664670656,0.8683643235797793,True
1150,22987.288,22987.3736,26,5,0.17572340465723432,0.5768463073852296,0.17572340465723432,False
1151,22987.6336,22987.7256,28,5,0.1250010345619359,0.7764471057884231,0.1250010345619359,False
1154,22998.1408,22998.2432,32,6,-0.42477696115118196,0.17365269461077845,0.42477696115118196,False
1155,23000.9984,23001.1328,33,7,-0.3993640596828135,0.08183632734530938,0.3993640596828135,False
1157,23014.1456,23014.2984,34,8,-0.34712894588184723,0.2994011976047904,0.34712894588184723,False
1158,23025.4368,23025.5312,25,5,0.06829388463513328,0.8343313373253493,0.06829388463513328,False
1160,23041.7952,23041.9664,34,9,0.30698636632427945,0.14171656686626746,0.30698636632427945,False
1165,23055.7664,23055.8608,24,5,0.2981557535581474,0.5129740518962076,0.2981557535581474,False
1166,23067.876,23068.0104,28,7,-0.1108700530446715,0.7524950099800399,0.1108700530446715,False
1168,23072.1632,23072.3336,30,9,-0.029925546401017113,0.9241516966067864,0.029925546401017113,False
1172,23082.3488,23082.456,28,6,0.5616090107526475,0.015968063872255488,0.5616090107526475,True
1174,23086.952,23087.0608,19,6,-0.43952083647121143,0.2275449101796407,0.43952083647121143,False
1175,23093.9976,23094.1224,27,7,-0.19285169319584464,0.5209580838323353,0.19285169319584464,False
1177,23126.0992,23126.2032,27,6,0.5000042241024605,0.07584830339321358,0.5000042241024605,False
1179,23133.4504,23133.56,25,6,0.48460447355272274,0.25748502994011974,0.48460447355272274,False
1184,23146.0984,23146.2928,45,10,0.8129433795151463,0.001996007984031936,0.8129433795151463,True
1185,23182.656,23182.8648,40,11,-0.004364598764823665,0.9840319361277445,0.004364598764823665,False
1191,23214.6208,23214.7016,29,5,-0.9054714453882264,0.001996007984031936,0.9054714453882264,True
1193,23231.3088,23231.3888,22,5,-0.6835365279054801,0.02594810379241517,0.6835365279054801,True
1196,23235.4256,23235.5368,33,6,-0.41994344714564974,0.16966067864271456,0.41994344714564974,False
1199,23247.616,23247.7336,34,6,0.5792307632130869,0.059880239520958084,0.5792307632130869,False
1201,23251.1688,23251.3256,49,8,-0.9565246564336735,0.001996007984031936,0.9565246564336735,True
1202,23267.3784,23267.632,55,13,-0.22289578574437927,0.41916167664670656,0.22289578574437927,False
1206,23294.8192,23294.94,27,7,0.27715965811035487,0.35528942115768464,0.27715965811035487,False
1212,23315.4544,23315.5856,37,7,-0.9674687486202374,0.001996007984031936,0.9674687486202374,True
1214,23316.1672,23316.288,28,7,0.8224563644529121,0.001996007984031936,0.8224563644529121,True
1216,23329.7112,23329.7944,24,5,0.3725694041865219,0.313373253493014,0.3725694041865219,False
1218,23337.552,23337.7152,34,9,0.11583228265870822,0.6946107784431138,0.11583228265870822,False
1222,23347.3328,23347.5128,49,10,-0.29734797362945675,0.313373253493014,0.29734797362945675,False
1224,23357.2272,23357.4072,39,10,0.4173046790244627,0.10179640718562874,0.4173046790244627,False
1227,23364.1144,23364.2072,32,5,-0.6436769812166068,0.05788423153692615,0.6436769812166068,False
1228,23371.2632,23371.3496,20,5,-0.03863434587930939,0.9401197604790419,0.03863434587930939,False
1233,23376.0592,23376.1712,29,6,0.8368532245980147,0.003992015968063872,0.8368532245980147,True
1236,23378.28,23378.428,35,8,-0.15959714519938648,0.6187624750499002,0.15959714519938648,False
1239,23381.2368,23381.4096,40,9,0.5874180128479883,0.011976047904191617,0.5874180128479883,True
1245,23390.5472,23390.6344,20,5,0.44525998973263714,0.17365269461077845,0.44525998973263714,False
1251,23396.2776,23396.388,29,6,-0.31005875564411184,0.3373253493013972,0.31005875564411184,False
1260,23410.4992,23410.608,29,6,-0.752705565402429,0.007984031936127744,0.752705565402429,True
1265,23446.06,23446.1624,27,6,0.10109383001001447,0.8243512974051896,0.10109383001001447,False
