session_id,n_blocks,median_block_len,min_run,n_units,n_biased,bias,n_regions,asset_id,path,size_gb
d32876dd-8303-4720-8e7e-20678dc2fd71,7,51.0,7,488,334,0.31296992481203,3,853fe5c8-f916-4d03-9071-5bc535ffa34a,sub-NYU-46/sub-NYU-46_ses-d32876dd-8303-4720-8e7e-20678dc2fd71_desc-processed_behavior+ecephys.nwb,0.454309174
c23b4118-db40-4333-af1d-933154b533c6,341,1.0,1,317,367,0.0510204081632653,3,8a655f1c-88d4-4baa-b5d5-72d5a0df3742,sub-PL031/sub-PL031_ses-c23b4118-db40-4333-af1d-933154b533c6_desc-processed_behavior+ecephys.nwb,0.495463533
233617ec-c5cf-4eda-afc8-3b1d94f36d73,323,1.0,1,391,354,0.1370799881058578,4,b6f3c78c-3052-4b0e-a198-c18ae4f421ec,sub-PL030/sub-PL030_ses-233617ec-c5cf-4eda-afc8-3b1d94f36d73_desc-processed_behavior+ecephys.nwb,0.526363917
931a70ae-90ee-448e-bedb-9d41f3eda647,9,31.0,19,698,411,0.5238095238095237,5,e90667f5-b785-4037-904b-aed0f4f323ee,sub-DY-010/sub-DY-010_ses-931a70ae-90ee-448e-bedb-9d41f3eda647_desc-processed_behavior+ecephys.nwb,0.541942506
cde63527-7f5a-4cc3-8ac2-215d82e7da26,11,34.0,12,829,418,0.058681185722928,3,84fdb807-6d2d-4a7a-b83a-aca7167dc5d0,sub-DY-018/sub-DY-018_ses-cde63527-7f5a-4cc3-8ac2-215d82e7da26_desc-processed_behavior+ecephys.nwb,0.587665568
2ab7d2c2-bcb7-4ae6-9626-f3786c22d970,459,1.0,1,357,501,-0.0481927710843373,3,9c5c7ce7-51b8-4c1b-b54e-c6ff0ffda07d,sub-PL033/sub-PL033_ses-2ab7d2c2-bcb7-4ae6-9626-f3786c22d970_desc-processed_behavior+ecephys.nwb,0.613305129
824cf03d-4012-4ab1-b499-c83a92c5589e,13,43.0,21,530,674,0.5170549860205033,5,ea183595-cbfd-4e41-aa1f-3950debad048,sub-UCLA011/sub-UCLA011_ses-824cf03d-4012-4ab1-b499-c83a92c5589e_desc-processed_behavior+ecephys.nwb,0.631742761
02fbb6da-3034-47d6-a61b-7d06c796a830,12,39.0,21,669,556,0.4293659621802002,4,8571cb9e-03c3-4c36-a890-1d8fd6d2d397,sub-DY-010/sub-DY-010_ses-02fbb6da-3034-47d6-a61b-7d06c796a830_desc-processed_behavior+ecephys.nwb,0.656264187
7eeb8423-49e6-4d40-ab6f-703d17af231a,494,1.0,1,692,542,0.0421951219512195,3,105f598f-94be-4803-ab41-b3100f374f60,sub-PL037/sub-PL037_ses-7eeb8423-49e6-4d40-ab6f-703d17af231a_desc-processed_behavior+ecephys.nwb,0.686630351
ff48aa1d-ef30-4903-ac34-8c41b738c1b9,17,42.0,24,817,855,0.5204291044776119,2,4de0bb49-1766-4e37-97b7-7f80c07a376f,sub-CSH-ZAD-025/sub-CSH-ZAD-025_ses-ff48aa1d-ef30-4903-ac34-8c41b738c1b9_desc-processed_behavior+ecephys.nwb,0.712157082
195443eb-08e9-4a18-a7e1-d105b2ce1429,18,50.0,25,234,947,0.2857309941520468,2,671c8f87-dcf8-45c3-a43e-6e2bf730b770,sub-NR-0027/sub-NR-0027_ses-195443eb-08e9-4a18-a7e1-d105b2ce1429_desc-processed_behavior+ecephys.nwb,0.732611332
500a71dd-8768-4211-a1fe-1fafc9fcbf29,255,1.0,1,623,318,0.1485009806668534,4,801c00e6-74fe-4970-bb42-a2edd35a0d08,sub-PL030/sub-PL030_ses-500a71dd-8768-4211-a1fe-1fafc9fcbf29_desc-processed_behavior+ecephys.nwb,0.7611707
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,12,61.5,27,786,710,0.4933259176863181,6,633c5612-5906-491d-bd3c-4589a03c83e8,sub-KS023/sub-KS023_ses-a92c4b1d-46bd-457e-a1f4-414265f0e2d4_desc-processed_behavior+ecephys.nwb,0.794902788
