session,unit,n_spikes,rate,mrl,mrl_unbiased,pref_phase,rayleigh_z,rayleigh_p,mrl_null_mean,mrl_null_p95,mrl_z,shuffle_p,burst,cell_type,mrl_cooled,pref_phase_cooled,n_spikes_cooled,rate_cooled,mrl_null_cooled,shuffle_p_cooled
Peter-MS21-180628-155921-concat,1382,31736,25.123067784963528,0.09067678092583753,0.0905042912840461,3.54311277995187,260.9422336201596,2.8667196739626338e-114,0.006092975327391023,0.011221708364466928,27.953827609722683,0.004975124378109453,0.18204236860088538,interneuron,0.210376269719495,3.2858554455312405,5238.0,21.250458438679566,0.015255733668932287,0.004975124378109453
Peter-MS21-180628-155921-concat,1392,3234,2.560121036569576,0.028719047903037698,0.0227096584812416,5.216605338385129,2.667350526085854,0.06942639325040957,0.017841148351708566,0.03493914701709371,1.1636991868064295,0.15422885572139303,1.4301919720767888,pyramidal,0.12983864687121893,4.062770998335943,564.0,2.2881364183687047,0.038737588327135065,0.004975124378109453
Peter-MS21-180628-155921-concat,1393,994,0.7868770285560168,0.10968852611852051,0.10505541301670183,4.387463994388309,11.959383325481035,6.208851627183349e-06,0.03653872923148646,0.07175375496411135,4.054391266667048,0.004975124378109453,7.484018264840182,pyramidal,0.09228738650756846,5.735535223431944,205.0,0.8316807903645115,0.0773161228984403,0.3681592039800995
Peter-MS21-180628-155921-concat,1395,2566,2.031314341322675,0.13100876874836384,0.1295381229030831,3.2307301879994155,44.0410213566772,6.22995458500855e-20,0.018655608121805542,0.03683449346973076,11.147877318940386,0.004975124378109453,0.9166666666666667,pyramidal,0.31125184059200695,3.0767180944254817,418.0,1.6958174164505648,0.045840675078258133,0.004975124378109453
Peter-MS21-180628-155921-concat,1433,1380,1.092444969222639,0.06651313510414221,0.060844408941372226,5.372705977724174,6.105116055106987,0.002221291088516727,0.02981383725051984,0.056710921788977714,2.4153822721495444,0.01990049751243781,3.570175438596492,pyramidal,0.0622146273138658,5.803517504212103,212.0,0.8600796466208607,0.08206291086206978,0.6268656716417911
Peter-MS21-180628-155921-concat,1450,2204,1.7447454435990553,0.026891982484967793,0.01641890763781227,5.5827197569806035,1.5938859032258794,0.20314963591468183,0.01901481227918082,0.03755748529566737,0.8142924213176406,0.20398009950248755,0.7719298245614032,pyramidal,0.03975210067060387,3.158210749722642,590.0,2.393617884463716,0.04045577523283394,0.48258706467661694
Peter-MS21-180628-155921-concat,1459,1357,1.0742375530689283,0.04780003983805264,0.03935817157510168,4.77339070762583,3.100533048160852,0.04499687062457933,0.025888375721177317,0.05433236756426034,1.5458853635901608,0.10945273631840796,1.8663663663663663,pyramidal,0.24624700295569105,4.166729123350487,274.0,1.1116123734628105,0.0627858329755801,0.004975124378109453
Peter-MS21-180628-155921-concat,1470,1680,1.3299330060101693,0.039487417826881435,0.031057885205537306,3.5471292109814563,2.6195503599463192,0.072818005876591,0.02166437515358087,0.04591950608435371,1.4172223855665098,0.1044776119402985,3.132328308207705,pyramidal,,,,,,
Peter-MS21-180628-155921-concat,1484,4275,3.3842045242223056,0.029838746435786493,0.025623938956189713,4.358255649487254,3.8062496223729143,0.02222245880593074,0.015524773430701076,0.030291338215341797,1.7068033484237557,0.05970149253731343,2.0608272506082725,pyramidal,0.08048764968074307,3.437026867251988,831.0,3.371349935575166,0.035226067314355895,0.029850746268656716
Peter-MS21-180628-155921-concat,1499,1801,1.425719847514473,0.023735629636111567,0.002852638711692754,6.073516837032743,1.0146475857150066,0.36258049697123623,0.026016854486391808,0.05018238168606771,-0.1674104598003059,0.46766169154228854,1.9427860696517418,pyramidal,,,,,,
Peter-MS21-180628-155921-concat,1518,6324,5.006247815481137,0.07370921993718732,0.07263439667239667,3.1344502914062384,34.35860253210648,1.1457964996407043e-15,0.01223788451870608,0.02334462731783763,9.99530169558734,0.004975124378109453,0.9862068965517241,pyramidal,0.16965059562406928,3.3705005925521667,985.0,3.9961247732148477,0.029518847859302325,0.004975124378109453
Peter-MS21-180628-155921-concat,1528,36444,28.85004670894917,0.14084462643608467,0.14074911374212923,4.63831039369627,722.9472373585173,4.0285170757e-314,0.00808621665970978,0.015491176267809601,32.8837344862683,0.004975124378109453,1.1502511975698098,interneuron,0.33815734366123384,4.713446479667002,6325.0,25.660395117344073,0.020992145147652238,0.004975124378109453
Peter-MS21-180628-155921-concat,1540,672,0.5319732024040676,0.10240148893092858,0.09492828602729923,4.704944877716793,7.046635636502172,0.000858831071711233,0.03486810212633482,0.07038086940675645,3.614868480929242,0.009950248756218905,5.296296296296296,pyramidal,,,,,,
Peter-MS21-180628-155921-concat,1542,1761,1.3940547759428024,0.1003115566923959,0.09746765548310567,5.1979668602414115,17.719901203057145,1.9367677836479428e-08,0.022110253858617323,0.04329207196325297,6.310826690157334,0.004975124378109453,1.8394241417497232,pyramidal,0.34952385876361003,4.130106227622555,229.0,0.9290482975291372,0.06531499061209255,0.004975124378109453
Peter-MS21-180628-155921-concat,1570,2234,1.7684942472778082,0.03558710502683493,0.028621340961019256,5.043711948121561,2.8292315267226495,0.05904270915142082,0.020419969990494204,0.04039721227225181,1.3195900232918445,0.11442786069651742,1.7954022988505747,pyramidal,0.15574311527435053,4.390595130854928,352.0,1.428056771747844,0.05771306705253018,0.009950248756218905
Peter-MS21-180628-155921-concat,1576,790,0.6253851635404962,0.03958178985102108,0.017357323119319312,3.4865540784447697,1.2377072893702123,0.29013513435019567,0.033047616349812264,0.06435606394131577,0.367364639508318,0.373134328358209,0.9617486338797813,pyramidal,0.11449923803303647,3.0909400597575933,214.0,0.8681936055512461,0.06578577720569308,0.10945273631840796
Peter-MS21-180628-155921-concat,1586,637,0.5042662647788558,0.10812912542814455,0.10068745812963381,4.999795899581875,7.447745246849901,0.0005734916768867353,0.04750878010183866,0.08733029579808987,2.6528544023304446,0.009950248756218905,4.960784313725489,pyramidal,,,,,,
Peter-MS21-180628-155921-concat,1588,35827,28.36161297995615,0.08194460800522843,0.08177526229528344,2.976256134706367,240.57539517156414,2.2428243462819787e-105,0.005798963261828362,0.010767662843225414,26.28038164586296,0.004975124378109453,0.6290172968843782,interneuron,0.2327919888567835,3.054759165207789,6479.0,26.285169954983758,0.014528904277820538,0.004975124378109453
Peter-MS21-180628-155921-concat,1592,772,0.6111358813332444,0.03878366706262451,0.01446052928246669,2.064230672105764,1.161221425396518,0.3132023594339095,0.048820409011194554,0.09483403668700559,-0.41255861688723683,0.6517412935323383,32.666666666666664,pyramidal,,,,,,
Peter-MS21-180628-155921-concat,1598,2566,2.031314341322675,0.050273690932247636,0.04624463007179812,3.265511319554488,6.485421303874672,0.0015211948306327484,0.01842340644639372,0.03700595492217297,3.201718997516201,0.004975124378109453,1.4243589743589742,pyramidal,0.19341219965432963,3.1374430875841437,440.0,1.785070964684805,0.04676268346496354,0.004975124378109453
Peter-MS21-180628-155921-concat,1610,2098,1.660833003934128,0.1104566650014491,0.10830337611797464,3.5296423755013335,25.59701582112245,7.110552950299522e-12,0.01955736501258373,0.036657500374818595,9.045416728408112,0.004975124378109453,1.6739130434782612,pyramidal,0.1990321286437739,3.0200161672680466,256.0,1.0385867430893412,0.05589586991095818,0.004975124378109453
Peter-MS21-180628-155921-concat,1625,5151,4.077669591641894,0.023542970497813804,0.018979049715556476,0.21519026141702544,2.8550522897436568,0.05754599137429371,0.01342401388575186,0.02676699205822594,1.3974384146646428,0.0845771144278607,1.3792675356921165,pyramidal,0.05269833490031381,5.126866930218927,928.0,3.764876943698862,0.0333009479815678,0.14427860696517414
Peter-MS21-180628-155921-concat,1632,2573,2.0368557288477174,0.15005076555132454,0.14877897611061852,1.764829228467621,57.93169256005173,5.0628557769227693e-26,0.018045818033245894,0.03463018140039434,14.167487849809747,0.004975124378109453,0.0,pyramidal,0.33133951828815406,2.0081569215642667,406.0,1.647133662868252,0.04720509192510165,0.004975124378109453
Peter-MS21-180628-155921-concat,1640,1290,1.0211985581863798,0.010354716927786743,0.0,1.6133007122567622,0.1383140098244254,0.8708686557519318,0.024305517230712947,0.0479061007412025,-1.097868793263833,0.8706467661691543,0.2365591397849462,pyramidal,0.08533681171863762,0.18230278927398508,204.0,0.8276238108993188,0.0593008886397517,0.17412935323383086
Peter-MS21-180628-155921-concat,1644,3557,2.8158164895108166,0.026381462553556164,0.020370626860046023,4.715687657119151,2.4756064319148887,0.08410500455028881,0.01596838095805779,0.030380486713179156,1.3233872821219628,0.11940298507462686,1.3262411347517729,pyramidal,0.23065659014167997,4.4170234619102,505.0,2.0487746299223333,0.04450137127331897,0.004975124378109453
Peter-MS21-180628-155921-concat,1676,5238,4.1465411223102775,0.02474951755222222,0.02053549527287179,5.199198407671289,3.208477286676905,0.04041063046468733,0.01328669633523474,0.02680658515681617,1.6601931204133251,0.07960199004975124,1.9243002544529262,pyramidal,0.11830932910257451,5.157163421451989,834.0,3.3835208739707445,0.036255529301995375,0.004975124378109453
Peter-MS21-180628-155921-concat,1690,3907,3.092885865762935,0.07926898693259758,0.0776476954051721,5.223420235217327,24.54991693437451,2.102184825741055e-11,0.01752527037997937,0.03440664994941643,6.801820533672529,0.004975124378109453,3.3855165069222575,pyramidal,0.141826534967922,3.8613177590309893,411.0,1.6674185601942157,0.05059057697771219,0.004975124378109453
Peter-MS21-180628-155921-concat,1695,58234,46.09959444761678,0.10757306385013422,0.10749414119275276,2.629216683376958,673.8817554255618,2.0261890068791718e-293,0.004862642731440433,0.00969883530441812,39.15693886433264,0.004975124378109453,0.9618940322740979,interneuron,0.18642378864117798,2.6642657451335507,7308.0,29.648405931628538,0.012059683536811505,0.004975124378109453
Peter-MS21-180628-155921-concat,1697,38067,30.13485698796971,0.09547185149783775,0.09533542738828317,3.7504314154005516,346.9759248668615,1.0601175708864938e-151,0.006459774644170971,0.012616938630151009,26.68204862255096,0.004975124378109453,0.7070841505557113,interneuron,0.23777428876649595,3.80802205722022,6390.0,25.924098782581602,0.01534509485471899,0.004975124378109453
Peter-MS21-180628-155921-concat,1711,15732,12.453872649138084,0.08774286730864839,0.08738267229670908,4.531918325781631,121.1176909320597,1.9961306567702198e-53,0.006795133699448576,0.013297597056712459,22.716578206092702,0.004975124378109453,0.08390022675736962,interneuron,0.18528043813763315,4.073750109082397,2332.0,9.460876112829467,0.01804090127142302,0.004975124378109453
