session,unit,n_cooled,n_normal,rate_cooled,rate_normal,mrl_cooled_matched,mrl_normal_matched,mrl_cooled,mrl_normal,pref_cooled,pref_normal,rayleigh_p_cooled
Peter-MS21-180628-155921-concat,1958,10846,66342,44.00199927948045,52.51810445519443,0.22560899566572085,0.15672482301217466,0.22560899566572085,0.09685268420189172,3.0801975258097736,3.1037521437100266,3.2205615317559957e-239
Peter-MS21-180628-155921-concat,1963,3991,36273,16.191405045584222,28.71467852798028,0.19122007261267204,0.11858545310660866,0.19122007261267204,0.08304979096023415,2.964880421431978,3.0382878804368714,2.1951416120509037e-64
Peter-MS21-180628-155921-concat,1964,646,5830,2.6208087345145095,4.615184181571004,0.2606062884983046,0.1134352675938245,0.26060628849830464,0.0985968001463249,4.731214677678285,4.804453589458987,4.5493524594106704e-20
Peter-MS21-180628-155921-concat,1966,215,2052,0.8722505850164389,1.6244181716267068,0.27379596886157254,0.09683646106477337,0.2732667515807355,0.013996728594165944,4.196428497871828,4.47361814662521,8.109688444635843e-08
Peter-MS21-180628-155921-concat,1970,1447,7836,5.870449286133893,6.203187520890289,0.11285735511820487,0.08825365270381576,0.11286932112386971,0.06648813220429335,5.26600872502779,5.57970312060088,9.360848121807381e-09
Peter-MS21-180628-155921-concat,1973,886,3369,3.594483806160767,2.6669906531239644,0.13971379926448085,0.08136127948670818,0.14061917698357,0.04107190986108133,4.171177733614002,4.980220367857065,2.2787033439448232e-08
Peter-MS21-180628-155921-concat,1976,1801,6676,7.306620016812123,5.284900445311839,0.08059899606290274,0.06973312785069484,0.0874941794114189,0.02875025550591502,4.103724916676451,4.482778390172317,1.0058041218856153e-06
Peter-MS21-180628-155921-concat,1983,767,4885,3.1117032498028308,3.8670968656902835,0.02463095129625595,0.05802231338865745,0.024911308662736456,0.03144889633807847,2.5984383703673517,5.976137309680519,0.6214230161609363
Peter-MS21-180628-155921-concat,1985,832,4813,3.375406915040359,3.8100997368612766,0.13489722294850076,0.06127587219076218,0.1343747208105313,0.02819627337686714,5.400332526797859,5.0460281065835435,2.8169992296579027e-07
Peter-MS21-180628-155921-concat,1986,667,2586,2.7060053032835567,2.0471468771085104,0.11926610819551282,0.0835686038833983,0.11353754003404895,0.05622627544408032,3.9742035281422883,4.542519877098681,0.0001805404798880247
Peter-MS21-180628-155921-concat,1987,1420,8120,5.76091084057369,6.4280095290491515,0.1504222001920697,0.07067291736498715,0.15042220019206964,0.027801857733857138,4.013134508559963,3.808636661674791,9.36198390472048e-15
Peter-MS21-180628-155921-concat,1988,3560,21504,14.44284689608615,17.023142476930165,0.18568236092718807,0.09944801184790945,0.18568236092718807,0.07629812206749786,2.903124261378892,3.211621689227625,2.3777642996547053e-54
Peter-MS21-180628-155921-concat,1991,364,1771,1.476740525330157,1.40197104383572,0.17911101800534,0.09551998935099482,0.1760615100561365,0.019662899234921472,2.8815299348680923,3.169918672611888,1.1695548603609957e-05
Peter-MS21-180628-155921-concat,1993,536,2901,2.174540993343308,2.2965093157354173,0.031256765716710926,0.0631811822398752,0.03012009017686083,0.036626431882043245,5.0110725246179895,6.022278120980955,0.6151270599909906
Peter-MS21-180628-155921-concat,2000,1044,6563,4.23548656166122,5.19544661812187,0.15630030654565605,0.08358207211836656,0.1579197264827363,0.04083381887794736,4.195750883602257,4.653619676784112,4.235398020027272e-12
Peter-MS21-180628-155921-concat,2001,1230,6529,4.990084742187069,5.168531307285949,0.06200322719236641,0.049779888696056845,0.06148605138357465,0.017177071037805212,4.186073620286764,4.788499329816487,0.009537090267819473
Peter-MS21-180628-155921-concat,2004,1017,4141,4.125948116101015,3.2781265344572086,0.02483469960693565,0.07306023472011322,0.022473547645972404,0.02161254121153145,3.1765641376874485,5.4136450513587775,0.5984222505357297
Peter-MS21-180628-155921-concat,2005,458,1387,1.8580965950582744,1.0979863567476813,0.06783940595585748,0.13753827632313928,0.06173581439082816,0.061618171467861936,1.3094401971824317,0.9701392403381712,0.17458609258156355
Peter-MS21-180628-155921-concat,2008,965,4942,3.9149851839109933,3.9122195926799144,0.09834053075371617,0.08866765073203955,0.09864788055516445,0.062443740012354164,4.109777318872375,4.671701934182282,8.199277621366958e-05
Peter-MS21-180628-155921-concat,2011,799,4582,3.2415265926889987,3.627233948534878,0.09679595979488889,0.07717832529233334,0.09824793346971188,0.03172281920448779,2.448597667367786,4.039656667643355,0.00044106076364581066
Peter-MS21-180628-155921-concat,2012,752,4055,3.05084855782494,3.2100466305781166,0.1194132328004088,0.054448864479167636,0.12106002096557893,0.056205443621228486,3.2542860552826256,5.1171103007833985,1.5819445459028055e-05
Peter-MS21-180628-155921-concat,2022,791,3806,3.2090707569674564,3.012931560044467,0.19930887879391962,0.11656757086942696,0.1990141923377497,0.10197773636659227,4.343303154040017,4.6233293949286,1.8470187819730863e-14
Peter-MS21-180628-155921-concat,2024,624,2481,2.531555186280269,1.9640260642328748,0.03363446977659788,0.08327277172944603,0.029562567273871448,0.026250812525456323,3.6741155796381935,4.474287727448772,0.5798278576924104
Peter-MS21-180628-155921-concat,2025,341,1959,1.383429997630724,1.5507968802225722,0.1364709171661745,0.10997358382499997,0.13750754844976723,0.058991856078460296,3.9715974547280086,5.525735216492899,0.0015508185608738264
Peter-MS21-180628-155921-concat,2026,679,4800,2.7546890568658697,3.7998085886004835,0.05428939693071786,0.07080490873532197,0.05482365388742767,0.044275039641826566,0.3420409524083622,5.207605565871564,0.12991752944878218
Peter-MS21-180628-155921-concat,2057,1549,7693,6.2842611915835525,6.089984890021566,0.08453405931839286,0.050679204986916825,0.08482966274240329,0.024933735265618224,3.7869734562683472,3.887185972357361,1.4186301625205182e-05
Peter-MS21-180628-155921-concat,2074,1583,8878,6.4221984934001055,7.028062635332311,0.12491305155889591,0.10239935567567622,0.12425161218593689,0.08204846719455827,5.100837184680024,5.511226772047726,2.230133583654293e-11
Peter-MS21-180628-155921-concat,2077,1699,12089,6.892808111362464,9.569976255748175,0.15396096542325335,0.16788138989755746,0.15396096542325333,0.11378107767077074,1.225996207207528,1.1313862220075999,2.57348869163412e-18
